id,bus1.cterm,bus2.cterm,dline,typ_id,nlnum,desc,GPScoords
ElmLne_0001,ElmTerm_0010,ElmTerm_virtual_0001,11.80838407593179,TypLne_2,2, ,"[[41.6207267, 2.1093], [41.6226012, 2.1071174], [41.6257444, 2.1033855], [41.6264378, 2.0995548], [41.6268866, 2.0968964], [41.6269658, 2.0964279], [41.6269759, 2.0963677], [41.6269858, 2.0963093], [41.6274154, 2.0937648], [41.6251474, 2.0905908], [41.6220298, 2.0862695], [41.6174824, 2.0834708], [41.6161596, 2.0802899], [41.6150264, 2.0770111], [41.6133557, 2.0721834], [41.610904, 2.0683852], [41.6078634, 2.0655338], [41.6040508, 2.062037], [41.6002056, 2.0584899], [41.5955681, 2.0541679], [41.5923847, 2.0523527], [41.5902431, 2.0511287], [41.5870995, 2.0493693], [41.5855847, 2.0484808], [41.58456, 2.0478798], [41.581968, 2.0464371], [41.5791356, 2.0448339], [41.5779442, 2.0441686], [41.5776858, 2.0440243], [41.5760111, 2.043089], [41.5726742, 2.0444178], [41.5703117, 2.0453536], [41.5694503, 2.0456965], [41.5681327, 2.0462209], [41.565753, 2.0471512], [41.5621708, 2.0485763], [41.558853, 2.0498853], [41.556535, 2.05081], [41.5540447, 2.0521373], [41.5516699, 2.0551983]]"
ElmLne_0002,ElmTerm_0086,ElmTerm_0087,149.85009986027416,TypLne_3,2, ,"[[41.2059653, 0.5721297], [41.2068344, 0.5801062], [41.2070754, 0.5823826999999999], [41.2091905, 0.5865216], [41.2109266, 0.5898409], [41.2129837, 0.5937741999999999], [41.2167509, 0.5990295999999999], [41.2199011, 0.6034338], [41.222766, 0.6074541999999999], [41.2244482, 0.6098161], [41.2268963, 0.6132283], [41.2299495, 0.6175250999999999], [41.2328131, 0.6215254], [41.2356667, 0.6255317], [41.2376106, 0.6282656], [41.2395338, 0.630956], [41.2420161, 0.6344352999999999], [41.2453083, 0.6390718], [41.2473463, 0.641903], [41.2495847, 0.6451323], [41.2521829, 0.6487324], [41.2549706, 0.6526259], [41.2585972, 0.6577063], [41.2619033, 0.662357], [41.2633672, 0.6644064], [41.2667248, 0.6691879], [41.2681519, 0.671191], [41.2714428, 0.6757556], [41.2745335, 0.6801164], [41.2773991, 0.6841453], [41.2789322, 0.6862891999999999], [41.28285, 0.6917917], [41.2856352, 0.6957088], [41.2883274, 0.6994885], [41.2904932, 0.7025431999999999], [41.2920781, 0.7047677999999999], [41.2935447, 0.7068251], [41.2956296, 0.7098253], [41.29805, 0.7132291], [41.3014791, 0.7180576], [41.3031247, 0.7203358999999999], [41.3060347, 0.7244419], [41.3082612, 0.7275836999999999], [41.3099121, 0.7299131999999999], [41.3136834, 0.7351997], [41.3177622, 0.740914], [41.3204761, 0.7447429999999999], [41.3354558, 0.7658811999999999], [41.337998, 0.7698630999999999], [41.3509507, 0.7901537], [41.3567443, 0.8028978], [41.3585812, 0.8070467], [41.3600279, 0.8102787], [41.3651596, 0.8217492], [41.3673048, 0.8265463], [41.3688005, 0.829888], [41.370599, 0.8339147], [41.3724653, 0.8380862], [41.374807, 0.8433225], [41.3765869, 0.8473064], [41.3783904, 0.8513748], [41.3804562, 0.8560357], [41.3833723, 0.8625368999999999], [41.3858758, 0.8680553], [41.3874752, 0.8716583], [41.3880165, 0.8745069999999999], [41.3891205, 0.8803184], [41.3904336, 0.8870091999999999], [41.3912667, 0.8913660999999999], [41.3918319, 0.8943312], [41.3927166, 0.8991979], [41.394345799999996, 0.9076717], [41.4125686, 1.002467], [41.4152227, 1.008478], [41.4144977, 1.0126955], [41.4152275, 1.0165312], [41.4165252, 1.0232246], [41.4174437, 1.0281015], [41.4182562, 1.0323433], [41.4193881, 1.0382400999999999], [41.4205308, 1.0442997], [41.4208605, 1.0459526], [41.4219683, 1.0517106], [41.422625, 1.0551795], [41.4238569, 1.0615915], [41.4250055, 1.0677069], [41.4256906, 1.0712104], [41.4262011, 1.0739087999999999], [41.4274028, 1.0803452], [41.4285032, 1.0860499], [41.4294756, 1.0911261], [41.4298425, 1.0931016], [41.4312981, 1.1006746], [41.4319164, 1.1039102], [41.4325754, 1.1071908], [41.4331028, 1.1097985], [41.4342859, 1.1156481], [41.4350176, 1.1192957], [41.4357265, 1.1227719999999999], [41.4365224, 1.1265834], [41.437119, 1.1296929], [41.4385687, 1.1368392], [41.4393592, 1.1406587], [41.4405596, 1.1466123], [41.4413053, 1.1502712], [41.4419096, 1.1531997999999999], [41.4428426, 1.1591609], [41.4435164, 1.1634659], [41.4442417, 1.1680998], [41.4447702, 1.1714447], [41.4452698, 1.1740987999999999], [41.4461158, 1.1785117999999999], [41.4472747, 1.1846142], [41.4480051, 1.1884812], [41.4491846, 1.1947263], [41.4502069, 1.2001387000000001], [41.4513992, 1.206452], [41.4523057, 1.2112516], [41.4529069, 1.2144426], [41.453538, 1.2177927], [41.4543631, 1.2221113], [41.4550849, 1.2260039], [41.4559337, 1.2302476], [41.4566177, 1.2339473], [41.4571839, 1.2370098999999999], [41.4579878, 1.2413583], [41.4585412, 1.2443517], [41.4590941, 1.2470936], [41.4597154, 1.2504174], [41.460429, 1.2542149], [41.4611074, 1.257825], [41.4617161, 1.2610643], [41.4625871, 1.2656996999999999], [41.4635006, 1.2705617999999999], [41.4644924, 1.2758403], [41.4649608, 1.2783327], [41.4655075, 1.2810898], [41.4662015, 1.2848195], [41.4671624, 1.2899357], [41.4678349, 1.2935161], [41.468285, 1.2959125], [41.4690759, 1.3001235], [41.4697967, 1.3039613], [41.4704132, 1.3072314999999999], [41.4709742, 1.3102071], [41.4718655, 1.3147381999999999], [41.4723713, 1.3176184], [41.4730352, 1.3211396], [41.473709, 1.3247138999999999], [41.4742511, 1.3275898], [41.47516, 1.3324113], [41.4759049, 1.3363627999999999], [41.4766975, 1.3405676], [41.4775822, 1.3452608], [41.4788836, 1.3521645], [41.4797101, 1.3565494], [41.4803391, 1.3598862999999999], [41.4809707, 1.363237], [41.4822352, 1.3699458], [41.4831218, 1.3746494999999999], [41.4842093, 1.3804113], [41.4842063, 1.3804123], [41.4852712, 1.386038], [41.4859529, 1.3896942], [41.4871038, 1.395781], [41.4878618, 1.3997243], [41.4888354, 1.4048324], [41.4897057, 1.409495], [41.4904076, 1.4131900000000002], [41.4914695, 1.4166718], [41.492712, 1.4207256], [41.494622, 1.4269573], [41.4953909, 1.4294661], [41.4967412, 1.4338716], [41.4979513, 1.4378202], [41.4993229, 1.4422954], [41.5008864, 1.4473972], [41.5024105, 1.4521979], [41.5039017, 1.4572365], [41.5055334, 1.4624562], [41.5067224, 1.4664401], [41.5082882, 1.4713769], [41.5099344, 1.4767697], [41.5104947, 1.478605], [41.5123026, 1.4845278], [41.5135242, 1.4885298], [41.5148629, 1.4929157], [41.516297, 1.4974824], [41.5174964, 1.5014411], [41.5194251, 1.5076865], [41.5217729, 1.5154516999999998], [41.5234059, 1.5207408], [41.5244946, 1.5243625], [41.5255613, 1.5278862], [41.5272399, 1.533319], [41.5282315, 1.5365519], [41.5293927, 1.5402947999999999], [41.5305788, 1.5443284], [41.5319866, 1.5488856], [41.5335485, 1.5540064999999998], [41.5349641, 1.5586481], [41.5364265, 1.5634428], [41.5379453, 1.5685112], [41.5396257, 1.5739936], [41.5411043, 1.5788181], [41.5424148, 1.5830273], [41.5433535, 1.5861567], [41.5453244, 1.5940339], [41.546093, 1.5971060000000001], [41.5469599, 1.6005706], [41.5476629, 1.6031784], [41.548451, 1.6063450000000001], [41.5491121, 1.6090019], [41.5496624, 1.6112129], [41.5510442, 1.6166159], [41.5525247, 1.622624], [41.5537324, 1.6275012], [41.5545255, 1.6307044], [41.5555853, 1.6349847], [41.556338, 1.6379735], [41.5571196, 1.6411813], [41.5574485, 1.6424957999999998], [41.5588139, 1.6479534], [41.5600283, 1.6526204], [41.5607292, 1.6555064], [41.5615861, 1.6590345], [41.5625706, 1.6628182], [41.5634518, 1.6664249999999998], [41.5640978, 1.6689384], [41.5651161, 1.6730687], [41.5661606, 1.677305], [41.5698225, 1.6817936], [41.5722, 1.6847607999999998], [41.5742169, 1.6872553], [41.5787143, 1.692818], [41.5804767, 1.6950159], [41.5827665, 1.6978716999999999], [41.5862842, 1.7022127], [41.5893049, 1.7059495999999998], [41.5915782, 1.7087715], [41.5960598, 1.7143242], [41.5988946, 1.7178293999999998], [41.6018352, 1.7215242], [41.6052114, 1.7257153], [41.6070626, 1.7280104], [41.6111294, 1.7330608], [41.6129907, 1.7353421999999998], [41.6170928, 1.7404711], [41.6227982, 1.7456409], [41.6274478, 1.7498285999999998], [41.6302593, 1.7523726], [41.6324617, 1.7543720999999999], [41.6363379, 1.7563638], [41.6390084, 1.7575520999999998], [41.6413563, 1.7607385], [41.6450271, 1.7658421999999998], [41.6457056, 1.7697127], [41.646709, 1.775267], [41.6475658, 1.7799901], [41.6479449, 1.7821001], [41.6486998, 1.7870406], [41.6497095, 1.793733], [41.6504484, 1.7985755], [41.6511089, 1.8029169], [41.6518949, 1.8080726999999999], [41.6527931, 1.8139764999999999], [41.6528059, 1.8168324999999999], [41.6528795, 1.8216617], [41.6529543, 1.8276293], [41.6529895, 1.8318989], [41.6530649, 1.8377998999999998], [41.6531149, 1.8425894999999999], [41.6531661, 1.8467543], [41.6541381, 1.8523133999999999], [41.6553578, 1.8590759000000001], [41.6568014, 1.8646824999999998], [41.6573568, 1.8712923], [41.6597052, 1.8764333999999998], [41.660986, 1.8791988], [41.6624419, 1.8824044999999998], [41.6632848, 1.8848633], [41.6645393, 1.8885127], [41.6662356, 1.8934985], [41.6671749, 1.8962415], [41.6679921, 1.8989021], [41.6707689, 1.9043421999999999], [41.6727797, 1.9089630999999998], [41.6734177, 1.9105488], [41.6758524, 1.9162382], [41.6786511, 1.9225379], [41.6798211, 1.9252207000000001], [41.6824918, 1.9313641], [41.6852737, 1.9377583999999999], [41.6866009, 1.9407704], [41.6888527, 1.9459157999999999], [41.6917242, 1.9525328], [41.6930712, 1.9555869], [41.6948691, 1.9597124], [41.695133, 1.9624551000000001], [41.6960223, 1.9713231], [41.6966759, 1.9776918], [41.6970084, 1.9811386], [41.6978019, 1.9889123], [41.6983609, 1.9944541], [41.6977793, 2.0037251], [41.6973392, 2.0104653], [41.6987855, 2.019852], [41.698243, 2.0234205], [41.6972082, 2.0301008], [41.6966565, 2.0336427], [41.6958566, 2.0390172], [41.6952742, 2.0428278], [41.6944921, 2.0480344], [41.6936025, 2.0537201], [41.6930981, 2.0570343], [41.6927255, 2.0595387], [41.6927028, 2.0596872], [41.6921688, 2.0631772], [41.6916137, 2.0668357], [41.6909661, 2.0709606], [41.6901906, 2.0760804], [41.6877586, 2.0789443], [41.682911, 2.0823246], [41.6809072, 2.0837481], [41.6788128, 2.0852498], [41.6746218, 2.0882139], [41.6712639, 2.0906039], [41.6663548, 2.0934732], [41.6645672, 2.0944744], [41.6602943, 2.0969453], [41.6568025, 2.0989816], [41.6505845, 2.100883], [41.646656899999996, 2.1021065], [41.643008, 2.1032288], [41.640854, 2.1039139], [41.636402, 2.1033472], [41.6346114, 2.1052229], [41.6306531, 2.1094708], [41.627769, 2.111379], [41.6242031, 2.1108724], [41.6223317, 2.1116492], [41.620148, 2.1125511]]"
ElmLne_0003,ElmTerm_virtual_0002,ElmTerm_0087,0.5531770235494069,TypLne_3,2, ,"[[41.6240271, 2.1115468], [41.620315, 2.113494], [41.6196987, 2.1135761], [41.6193383, 2.1136769]]"
ElmLne_0004,ElmTerm_0087,ElmTerm_virtual_0002,0.44086622425148964,TypLne_3,2, ,"[[41.6202204, 2.1130296], [41.6240271, 2.1115468]]"
ElmLne_0005,ElmTerm_virtual_0003,ElmTerm_0087,41.35676191443151,TypLne_3,2, ,"[[41.523974, 1.8239542], [41.5264193, 1.8242826], [41.5278044, 1.825016], [41.5335749, 1.8280251], [41.5377216, 1.8301725], [41.5428813, 1.8329304999999998], [41.5474347, 1.8352586], [41.552057, 1.837653], [41.5564828, 1.8420538], [41.5607086, 1.846221], [41.5631934, 1.8486098], [41.5653192, 1.8527160999999999], [41.5686217, 1.8589232999999998], [41.5692228, 1.8616380000000001], [41.5705969, 1.8679823999999998], [41.571488, 1.8720583], [41.5728575, 1.8783154999999998], [41.5749401, 1.8794990999999999], [41.5783456, 1.8814558], [41.5794733, 1.8821037], [41.5833454, 1.8843038], [41.5847574, 1.8851190999999998], [41.5876043, 1.8851762], [41.5892301, 1.885205], [41.5922301, 1.8852701], [41.5969321, 1.8853314], [41.5999679, 1.8853697], [41.6049485, 1.8854739], [41.6068461, 1.8873864999999999], [41.6094753, 1.8900359], [41.613078, 1.893742], [41.6166008, 1.8973559999999998], [41.6185675, 1.8984052999999999], [41.6207957, 1.8995402000000001], [41.6230849, 1.9007011999999999], [41.6239117, 1.9045684999999999], [41.6248966, 1.9091477000000001], [41.6256643, 1.9127109], [41.626327, 1.915837], [41.628913, 1.9187159999999999], [41.6339692, 1.9204388], [41.6356879, 1.9210462], [41.6392058, 1.9221997], [41.6434136, 1.9236442], [41.6478942, 1.9269907], [41.6522298, 1.9302224], [41.654577, 1.9319585], [41.6575482, 1.9341751999999999], [41.6638861, 1.9387491], [41.6663851, 1.9405611999999999], [41.669023, 1.9424627], [41.6725208, 1.9450139], [41.6770048, 1.9478117], [41.6799467, 1.9496319999999998], [41.6824755, 1.9511797999999998], [41.6856778, 1.953192], [41.6883873, 1.9548833], [41.6899665, 1.9614265], [41.6914539, 1.9675880000000001], [41.6921921, 1.9707019], [41.6935784, 1.9765058999999998], [41.6942293, 1.9792467999999999], [41.6954139, 1.9840787], [41.6966869, 1.9894878999999999], [41.6979057, 1.9944422], [41.6973882, 2.0019543], [41.6972147, 2.0044719], [41.6967978, 2.0105689], [41.6972855, 2.013794], [41.6980915, 2.018415], [41.6982681, 2.0196676], [41.697791, 2.0226624], [41.6967153, 2.02972], [41.6964054, 2.031816], [41.6953866, 2.0383311], [41.6948693, 2.0417857], [41.6940043, 2.0473393], [41.693021, 2.0536752], [41.6925551, 2.0566939], [41.6920128, 2.060201], [41.6919965, 2.0624603], [41.6914234, 2.0653316], [41.6907363, 2.0688589], [41.6904183, 2.0704733], [41.6877325, 2.0731006], [41.6840667, 2.0767306], [41.6815936, 2.0791401], [41.6789394, 2.0817619], [41.6765326, 2.0840917], [41.6744913, 2.0860959], [41.6706382, 2.0899277], [41.6661728, 2.0926721], [41.664291, 2.0938233], [41.660364799999996, 2.0962034], [41.65769, 2.0978272], [41.6549266, 2.0987423], [41.6503813, 2.1001778], [41.6463736, 2.101493], [41.6407785, 2.1032808], [41.6364467, 2.1025179], [41.6343667, 2.1045548], [41.6321159, 2.1068045], [41.6298116, 2.1090187], [41.6278513, 2.1109237], [41.6246878, 2.1100635], [41.6223683, 2.1110978], [41.6201597, 2.1120729]]"
ElmLne_0006,ElmTerm_virtual_0004,ElmTerm_0088,0.423674420836705,TypLne_3,2, ,"[[41.5219344, 1.8237002], [41.5226021, 1.8279769], [41.5226574, 1.8286935]]"
ElmLne_0007,ElmTerm_0006,ElmTerm_0035,24.510732116351925,TypLne_2,1, ,"[[41.524513, 1.8293822], [41.5262702, 1.8287653], [41.5270776, 1.8255187], [41.5283168, 1.8204045999999998], [41.5290701, 1.8173571], [41.5306444, 1.8108655], [41.5317642, 1.8063680999999998], [41.5328383, 1.8019313000000001], [41.5335696, 1.7989864999999998], [41.5347534, 1.7939785], [41.5360003, 1.7903622000000001], [41.5376112, 1.7856902], [41.5385657, 1.7829041], [41.540158, 1.7782635], [41.5413807, 1.7747028999999999], [41.5423615, 1.7718414999999998], [41.5440387, 1.7669606], [41.5454913, 1.7626935], [41.5468356, 1.7587738], [41.5482358, 1.7546939], [41.5488633, 1.752872], [41.5495544, 1.7508539], [41.5535896, 1.7441392], [41.5678411, 1.7204210999999998], [41.5694762, 1.7176881], [41.5716469, 1.7141009999999999], [41.5765291, 1.7059978], [41.5789656, 1.7019544], [41.5799371, 1.7003374999999998], [41.581224, 1.6981589], [41.5832785, 1.694734], [41.5866571, 1.6891097], [41.5881096, 1.6866471], [41.5912631, 1.6814236], [41.593021, 1.6784417999999999], [41.5958525, 1.6738096], [41.5979443, 1.6703179000000001], [41.6000645, 1.6667787], [41.6011929, 1.6651039], [41.6031227, 1.6622712], [41.6056544, 1.658551], [41.6072816, 1.6561599], [41.6090988, 1.6534894], [41.6107827, 1.6510150000000001], [41.6136752, 1.6467641], [41.6153766, 1.6439564], [41.6317203, 1.6169821999999998], [41.6382155, 1.6062345], [41.6453833, 1.5943727], [41.647171900000004, 1.591981], [41.648514, 1.5901763999999998]]"
ElmLne_0008,ElmTerm_0012,ElmTerm_0113,8.515860926951017,TypLne_2,1, ,"[[41.5690907, 2.1852597], [41.568361, 2.183853], [41.5677725, 2.1824867], [41.5661533, 2.1828066], [41.5659118, 2.1806706], [41.5657346, 2.178375], [41.5657021, 2.175815], [41.565674, 2.1739399], [41.5656711, 2.1707284], [41.5662027, 2.1694968], [41.5672136, 2.1684862], [41.5682997, 2.1689836], [41.571623, 2.168171], [41.5736847, 2.167673], [41.5739489, 2.1664716], [41.5741416, 2.1577715], [41.5744144, 2.1537896], [41.5745613, 2.150252], [41.5749472, 2.1474669], [41.5729129, 2.1437834000000002], [41.5720581, 2.1411302], [41.5714241, 2.1347172], [41.5752632, 2.1257827], [41.5752007, 2.1103568], [41.5762098, 2.1032849], [41.5765667, 2.1014937], [41.5765884, 2.1014366], [41.5774234, 2.099237], [41.5776588, 2.0986169], [41.5778429, 2.0981318]]"
ElmLne_0009,ElmTerm_0013,ElmTerm_virtual_0007,33.51194605261534,TypLne_2,1, ,"[[41.7068224, 2.4704791999999998], [41.7070848, 2.4699484], [41.7070377, 2.4660487], [41.7070241, 2.4642389], [41.7070009, 2.4611674], [41.7069975, 2.4607149], [41.7065752, 2.4545244], [41.7063017, 2.4499395], [41.7058713, 2.4434043], [41.7023115, 2.4391426], [41.6998818, 2.4361417], [41.69779, 2.4336849], [41.6973015, 2.4331187], [41.6947918, 2.4302102], [41.6939703, 2.4219482], [41.6934765, 2.4172762], [41.6933657, 2.4160731], [41.6930373, 2.4125067], [41.6916381, 2.4060762], [41.6918843, 2.4017699], [41.6915125, 2.3980964], [41.6921057, 2.3926924], [41.6921995, 2.3917946], [41.692499, 2.388926], [41.6926725, 2.3874035], [41.693062499999996, 2.3837544], [41.6934723, 2.3800743], [41.6939036, 2.3756795], [41.6945001, 2.3705742], [41.6949875, 2.3658253], [41.6954634, 2.3616473], [41.6957751, 2.3605759], [41.6967638, 2.3571771999999998], [41.6986095, 2.3509035], [41.6979107, 2.3477243], [41.6969558, 2.3435378], [41.6973185, 2.3360797], [41.6974771, 2.3324258], [41.6978512, 2.3249603], [41.6986892, 2.3182454], [41.6994321, 2.3122563], [41.6999661, 2.3079668], [41.7005503, 2.3033126], [41.7010823, 2.2988969], [41.7022477, 2.2893172], [41.7025721, 2.2867653], [41.7015307, 2.2806646], [41.7008956, 2.277102], [41.700158, 2.2727500000000003], [41.6991118, 2.2668084], [41.6983704, 2.26265], [41.6975421, 2.258362], [41.6968505, 2.2537825], [41.6959813, 2.248778], [41.6953114, 2.2449209], [41.6942432, 2.2387705], [41.692933, 2.2312127999999998], [41.6918171, 2.2245753], [41.6909704, 2.2212164], [41.6897106, 2.216219], [41.6887886, 2.2125619], [41.6879142, 2.2090933], [41.6869247, 2.2051682], [41.6861099, 2.2034889], [41.6829029, 2.1969238], [41.6805038, 2.1916546], [41.6783731, 2.1869489], [41.6768789, 2.1836525], [41.6748109, 2.1823329], [41.6716851, 2.1803385], [41.6680449, 2.1779971], [41.6643226, 2.1755912], [41.6609026, 2.1733997], [41.6568257, 2.1707552], [41.653997, 2.1689217], [41.6508188, 2.1668829], [41.6504513, 2.1666435], [41.6476422, 2.1648141], [41.6473611, 2.164631], [41.6435639, 2.1621574], [41.6410945, 2.1599454], [41.636789, 2.156089], [41.6336377, 2.1532751], [41.630493, 2.1490337999999998], [41.6272446, 2.1446648], [41.6254114, 2.1422135], [41.6245324, 2.1364185], [41.6240151, 2.1330754], [41.6233118, 2.1284639], [41.6195553, 2.1259022]]"
ElmLne_0010,ElmTerm_0089,ElmTerm_0114,20.80195832469128,TypLne_3,1, ,"[[41.3251577, 2.0276551], [41.3255222, 2.0277961], [41.326316, 2.0257061], [41.3265891, 2.0242336], [41.3284342, 2.0215793], [41.3315535, 2.017124], [41.3368567, 2.0095178], [41.3419025, 2.0040187], [41.3462423, 1.9994021], [41.3472177, 1.9983749], [41.3522027, 1.993067], [41.3531122, 1.9926108], [41.3557025, 1.992467], [41.3580136, 1.9923164], [41.3599369, 1.9921966], [41.3648298, 1.9918699], [41.3662832, 1.9918358999999999], [41.3725279, 1.9956171], [41.3738379, 1.9964677], [41.3775214, 2.0025432], [41.3784853, 2.0041977], [41.3810423, 2.0084719], [41.38234, 2.010628], [41.3836882, 2.0127232], [41.3861105, 2.0165144], [41.387691, 2.018943], [41.3904434, 2.0231507], [41.3926604, 2.0266858], [41.3949678, 2.0302856], [41.396808, 2.0331586], [41.3997058, 2.0376807], [41.4007114, 2.0383545], [41.4021833, 2.0381983], [41.4039249, 2.0366464], [41.4054775, 2.0353196], [41.4070095, 2.0339275], [41.4086689, 2.0333675], [41.4131454, 2.0318164], [41.4159158, 2.0308151], [41.4191982, 2.0296863], [41.4237745, 2.0281634], [41.4254233, 2.0268667], [41.4298434, 2.0235505], [41.4335294, 2.0208495], [41.4379325, 2.0180828], [41.4409466, 2.0160766], [41.4451312, 2.0125308], [41.4476208, 2.0104577], [41.4488706, 2.0091163], [41.45517, 2.0023381], [41.4598799, 1.9977261], [41.4619949, 1.9968172], [41.4642691, 1.9975827], [41.4666178, 1.9983611], [41.4691209, 2.0013082], [41.4727081, 2.005482], [41.4735098, 2.0064176], [41.4738583, 2.0073324], [41.4738428, 2.0077286], [41.4736207, 2.0082371]]"
