id,unom,desc
ElmTerm_0010,220.0,Subestació de Sentmenat
ElmTerm_virtual_0001,220.0,virtual terminal
ElmTerm_0086,380.0,added terminal voltage
ElmTerm_0087,380.0,added terminal voltage
ElmTerm_virtual_0002,380.0,virtual terminal
ElmTerm_virtual_0003,380.0,virtual terminal
ElmTerm_virtual_0004,380.0,virtual terminal
ElmTerm_0088,380.0,added terminal voltage
ElmTerm_0006,220.0,Subestació de Pierola
ElmTerm_0035,220.0,Subestació transformadora de Rubió
ElmTerm_0012,220.0, 
ElmTerm_0113,220.0,floating end terminal
ElmTerm_0013,220.0,Subestació de Sant Celoni
ElmTerm_virtual_0007,220.0,virtual terminal
ElmTerm_0089,380.0,added terminal voltage
ElmTerm_0114,380.0,floating end terminal
ElmTerm_virtual_0008,380.0,virtual terminal
ElmTerm_virtual_0009,380.0,virtual terminal
ElmTerm_0050,220.0,Subestació de Santa Coloma
ElmTerm_virtual_0010,220.0,virtual terminal
ElmTerm_virtual_0011,220.0,virtual terminal
ElmTerm_0049,220.0,Subestació Via Favència
ElmTerm_virtual_0012,380.0,virtual terminal
ElmTerm_0090,380.0,added terminal voltage
ElmTerm_0039,220.0,Subestació de Sant Just
ElmTerm_virtual_0013,220.0,virtual terminal
ElmTerm_virtual_0014,220.0,virtual terminal
ElmTerm_0091,220.0,added terminal voltage
ElmTerm_virtual_0015,220.0,virtual terminal
ElmTerm_virtual_0016,220.0,virtual terminal
ElmTerm_0015,220.0, 
ElmTerm_0092,380.0,added terminal voltage
ElmTerm_tieline_0001,380.0,tieline terminal
ElmTerm_virtual_0017,220.0,virtual terminal
ElmTerm_0018,220.0, 
ElmTerm_0093,220.0,added terminal voltage
ElmTerm_tieline_0002,380.0,tieline terminal
ElmTerm_0020,220.0,Central hidroelèctrica de Riba-roja
ElmTerm_0115,380.0,floating end terminal
ElmTerm_virtual_0018,380.0,virtual terminal
ElmTerm_tieline_0003,380.0,tieline terminal
ElmTerm_0094,380.0,added terminal voltage
ElmTerm_0095,380.0,added terminal voltage
ElmTerm_0022,220.0,Subestació els Aubals
ElmTerm_virtual_0019,220.0,virtual terminal
ElmTerm_tieline_0004,220.0,tieline terminal
ElmTerm_0116,220.0,floating end terminal
ElmTerm_virtual_0020,220.0,virtual terminal
ElmTerm_0117,380.0,floating end terminal
ElmTerm_0096,380.0,added terminal voltage
ElmTerm_virtual_0021,220.0,virtual terminal
ElmTerm_0002,220.0,Subestació de Begues
ElmTerm_virtual_0022,220.0,virtual terminal
ElmTerm_virtual_0023,220.0,virtual terminal
ElmTerm_0122,220.0,floating end terminal
ElmTerm_virtual_0024,380.0,virtual terminal
ElmTerm_virtual_0025,380.0,virtual terminal
ElmTerm_virtual_0026,220.0,virtual terminal
ElmTerm_virtual_0027,220.0,virtual terminal
ElmTerm_0025,220.0, 
ElmTerm_virtual_0028,220.0,virtual terminal
ElmTerm_0027,220.0,Subestació de Torres de Segre
ElmTerm_tieline_0005,220.0,tieline terminal
ElmTerm_0028,220.0,Subestació d'Albatàrrec
ElmTerm_0026,220.0, 
ElmTerm_virtual_0029,220.0,virtual terminal
ElmTerm_virtual_0030,220.0,virtual terminal
ElmTerm_virtual_0031,220.0,virtual terminal
ElmTerm_0031,220.0, 
ElmTerm_0030,220.0, 
ElmTerm_0125,220.0,floating end terminal
