id,buslv.cterm,bushv.cterm,typ_id
ElmTr2_0001,ElmTerm_0093,ElmTerm_0098,TypTr2_0002
ElmTr2_0002,ElmTerm_0105,ElmTerm_0086,TypTr2_0002
ElmTr2_0003,ElmTerm_0024,ElmTerm_0103,TypTr2_0002
ElmTr2_0004,ElmTerm_0023,ElmTerm_0089,TypTr2_0002
ElmTr2_0005,ElmTerm_0002,ElmTerm_0096,TypTr2_0002
ElmTr2_0006,ElmTerm_0091,ElmTerm_0090,TypTr2_0002
ElmTr2_0007,ElmTerm_0006,ElmTerm_0088,TypTr2_0002
ElmTr2_0008,ElmTerm_0010,ElmTerm_0087,TypTr2_0002
ElmTr2_0009,ElmTerm_0097,ElmTerm_0101,TypTr2_0002
ElmTr2_0010,ElmTerm_0112,ElmTerm_0111,TypTr2_0002
ElmTr2_0011,ElmTerm_0110,ElmTerm_0108,TypTr2_0002
ElmTr2_0012,ElmTerm_0151,ElmTerm_0143,TypTr2_0002
