name,source,capacity(MW),assigned_term,lat,lon,sh_pp_agg,idx
Central hidroelèctrica de Susqueda,hydro,88.6,ElmTerm_0111,2.6959480175642327,41.97254813646683,POINT (2.695948017564233 41.97254813646683),SM_0001
Central hidroelèctrica de Flix,hydro,42.5,ElmTerm_0086,0.5710315480939782,41.20447119274279,POINT (0.5710315480939782 41.20447119274279),SM_0002
Central Tèrmica de Cicle Combinat Sant Adrià de Besòs,gas,1671.0,ElmTerm_0144,2.2220415,41.4244741,POINT (2.2220415 41.4244741),SM_0003
Central hidroelèctrica de Camarasa,hydro,58.7,ElmTerm_0053,0.9726602016513192,42.25037114406654,POINT (0.9726602016513192 42.25037114406654),SM_0004
Central hidroelèctrica de Terradets,hydro,32.5,ElmTerm_0053,0.9726602016513192,42.25037114406654,POINT (0.9726602016513192 42.25037114406654),SM_0005
Central tèrmica de Cicle Combinat Plana del Vent,gas,834.0,ElmTerm_0095,0.8693685996797514,40.9595428,POINT (0.8693685996797514 40.9595428),SM_0006
Central hidroelèctrica de Riba-roja,hydro,261.3,ElmTerm_0020,0.43086563800716277,41.24224005441426,POINT (0.4308656380071628 41.24224005441426),SM_0007
Central hidroelèctrica de Sau,hydro,55.6,ElmTerm_0097,2.282239634221383,41.95719867188693,POINT (2.282239634221383 41.95719867188693),SM_0008
Tranctaments de Juneda S.A,waste,16.0,ElmTerm_0038,0.8280047587331432,41.530641001235715,POINT (0.8280047587331432 41.53064100123571),SM_0009
Central tèrmica del Port de Barcelona,gas,866.0,ElmTerm_0044,2.1054213973697276,41.37700793021904,POINT (2.105421397369728 41.37700793021904),SM_0010
Central hidroelèctrica de Montamara,hydro,92.4,ElmTerm_0042,1.2593908128762596,42.64613586395931,POINT (1.25939081287626 42.64613586395931),SM_0011
Central hidroelèctrica de Tavascan Inferior i Superior,hydro,150.9,ElmTerm_0042,1.2593908128762596,42.64613586395931,POINT (1.25939081287626 42.64613586395931),SM_0012
Central Hidroelèctrica Estany Gento-Sallente,hydro,439.8,ElmTerm_0100,0.9920049996345917,42.5075142,POINT (0.9920049996345917 42.5075142),SM_0013
Central hidroelèctrica de Canelles,hydro,107.4,ElmTerm_0026,0.497077742616838,41.62870592461978,POINT (0.497077742616838 41.62870592461978),SM_0014
Tarragona Power,gas,417.0,ElmTerm_0029,1.1980048456506565,41.11404638127944,POINT (1.198004845650656 41.11404638127944),SM_0015
Central nuclear d'Ascó,nuclear,1988.0,ElmTerm_0106,0.5692684997902603,41.2011359,POINT (0.5692684997902603 41.2011359),SM_0016
Termosolar Borges,solar,25.0,ElmTerm_0038,0.8280047587331432,41.530641001235715,POINT (0.8280047587331432 41.53064100123571),SM_0017
Central d'Arties,hydro,99.3,ElmTerm_0100,0.9920049996345917,42.5075142,POINT (0.9920049996345917 42.5075142),SM_0018
Central nuclear de Vandellòs II,nuclear,1087.0,ElmTerm_0093,0.8664091996808438,40.95289329999999,POINT (0.8664091996808438 40.95289329999999),SM_0019
Parc Eòlic Coll de Moro,wind,45.6,ElmTerm_0139,0.44321699999999997,41.1372665,POINT (0.443217 41.1372665),SM_0020
Parc Eòlic Torre Madrina,wind,24.0,ElmTerm_0139,0.44321699999999997,41.1372665,POINT (0.443217 41.1372665),SM_0021
Parc Eòlic de Vilalba dels Arcs,wind,24.0,ElmTerm_0139,0.44321699999999997,41.1372665,POINT (0.443217 41.1372665),SM_0022
Parque Eólico Corbera,wind,48.4,ElmTerm_0139,0.44321699999999997,41.1372665,POINT (0.443217 41.1372665),SM_0023
Parque Eólico Vilalba,wind,36.8,ElmTerm_0139,0.44321699999999997,41.1372665,POINT (0.443217 41.1372665),SM_0024
Parque Eólico Fatallera,wind,46.0,ElmTerm_0139,0.44321699999999997,41.1372665,POINT (0.443217 41.1372665),SM_0025
Parque Eólico Les Rotes,wind,44.0,ElmTerm_0094,0.5053336128919946,41.38839500439261,POINT (0.5053336128919946 41.38839500439261),SM_0026
Parque Eólico Sant Antoni II,wind,37.5,ElmTerm_0094,0.5053336128919946,41.38839500439261,POINT (0.5053336128919946 41.38839500439261),SM_0027
Parque Eólico Sant Antoni I,wind,12.5,ElmTerm_0094,0.5053336128919946,41.38839500439261,POINT (0.5053336128919946 41.38839500439261),SM_0028
Parque Eólico Monclues,wind,28.0,ElmTerm_0094,0.5053336128919946,41.38839500439261,POINT (0.5053336128919946 41.38839500439261),SM_0029
Central Hidroelèctrica Llavorsí,hydro,52.4,ElmTerm_0102,1.2132114995531555,42.49621239999997,POINT (1.213211499553156 42.49621239999997),SM_0030
aggregated_pp,biomass,0.75,ElmTerm_0134,1.8583488,42.1744087,POINT (1.8583488 42.1744087),SM_0031
aggregated_pp,hydro,0.6,ElmTerm_0132,1.8553888,42.1750474,POINT (1.8553888 42.1750474),SM_0032
aggregated_pp,solar,0.1,ElmTerm_0038,0.8280047587331432,41.530641001235715,POINT (0.8280047587331432 41.53064100123571),SM_0033
aggregated_pp,solar,2.0,ElmTerm_0102,1.2132114995531555,42.49621239999997,POINT (1.213211499553156 42.49621239999997),SM_0034
aggregated_pp,wind,2.35,ElmTerm_0040,1.4460183108801927,41.67966172035359,POINT (1.446018310880193 41.67966172035359),SM_0035
aggregated_pp,wind,0.23,ElmTerm_0041,1.667156134009021,41.57703813309108,POINT (1.667156134009021 41.57703813309108),SM_0036
aggregated_pp,wind,36.0,ElmTerm_0094,0.5053336128919946,41.38839500439261,POINT (0.5053336128919946 41.38839500439261),SM_0037
aggregated_pp,wind,48.6,ElmTerm_0139,0.44321699999999997,41.1372665,POINT (0.443217 41.1372665),SM_0038
