name,geometry
Subestació de Begues,"POLYGON ((1.9006274 41.3559252, 1.9013099 41.3543705, 1.902732 41.354727, 1.9027785 41.354739, 1.9026664 41.3549968, 1.9027297 41.3550131, 1.9028924 41.3546522, 1.9031452 41.3547217, 1.9030966 41.3548218, 1.9041432 41.3550882, 1.9033163 41.3569246, 1.9022713 41.3566652, 1.9017081 41.3561859, 1.9006274 41.3559252))"
Subestació de Begues,"POLYGON ((1.9006274 41.3559252, 1.9013099 41.3543705, 1.902732 41.354727, 1.9027785 41.354739, 1.9026664 41.3549968, 1.9027297 41.3550131, 1.9028924 41.3546522, 1.9031452 41.3547217, 1.9030966 41.3548218, 1.9041432 41.3550882, 1.9033163 41.3569246, 1.9022713 41.3566652, 1.9017081 41.3561859, 1.9006274 41.3559252))"
Subestació Badalona,"POLYGON ((2.2337417 41.427085, 2.2339954 41.4268857, 2.2341592 41.4268664, 2.2343919 41.4269151, 2.2354398 41.4276488, 2.2346139 41.4283, 2.2344223 41.4282683, 2.2343804 41.4282638, 2.2343344 41.4282427, 2.2342997 41.4282208, 2.2342784 41.428197, 2.2340908 41.4279711, 2.2336414 41.4274179, 2.233901 41.4272017, 2.2337417 41.427085))"
Estació receptora de Can Figueres,"POLYGON ((2.0474081 41.556022, 2.0466384 41.5556095, 2.0466852 41.5552515, 2.0474627 41.5544284, 2.0480998 41.5544906, 2.0485392 41.5547202, 2.0487473 41.5548662, 2.0474081 41.556022))"
Subestació de Pierola,"POLYGON ((1.8302592 41.5214994, 1.8289074 41.5214431, 1.8288859 41.5216841, 1.8286713 41.5216841, 1.8284675 41.5246963, 1.8306776 41.5247284, 1.830742 41.5237485, 1.8309137 41.5237324, 1.8309888 41.5235075, 1.8309029 41.5232103, 1.8306347 41.5229211, 1.8306562 41.5218769, 1.8301948 41.5218448, 1.8302592 41.5214994))"
Subestació de Pierola,"POLYGON ((1.8302592 41.5214994, 1.8289074 41.5214431, 1.8288859 41.5216841, 1.8286713 41.5216841, 1.8284675 41.5246963, 1.8306776 41.5247284, 1.830742 41.5237485, 1.8309137 41.5237324, 1.8309888 41.5235075, 1.8309029 41.5232103, 1.8306347 41.5229211, 1.8306562 41.5218769, 1.8301948 41.5218448, 1.8302592 41.5214994))"
 ,"POLYGON ((1.8935386 41.5083624, 1.8949727 41.508091, 1.8955342 41.5079848, 1.8953089 41.5070448, 1.8931953 41.5074224, 1.8935386 41.5083624))"
Subestació de Canyet,"POLYGON ((2.2342264 41.466388, 2.234275 41.4658485, 2.2347621 41.4658633, 2.2349171 41.4658679, 2.2350696 41.4659943, 2.2345831 41.466354, 2.2344988 41.4663977, 2.2342264 41.466388))"
Subestació de Sentmenat,"POLYGON ((2.1111096 41.6206635, 2.1090325 41.6195211, 2.1096193 41.6188836, 2.1095518 41.6188394, 2.1099148 41.6184828, 2.1100753 41.6185585, 2.1101512 41.619095, 2.1106663 41.618306, 2.1108014 41.6182397, 2.1109702 41.6182587, 2.1145248 41.6188709, 2.1142969 41.6196789, 2.1142251 41.6198935, 2.1136383 41.6198051, 2.1133048 41.6198461, 2.1122367 41.6200229, 2.1119539 41.6201365, 2.111633 41.6204521, 2.1113333 41.6207235, 2.1111096 41.6206635))"
Subestació de Sentmenat,"POLYGON ((2.1111096 41.6206635, 2.1090325 41.6195211, 2.1096193 41.6188836, 2.1095518 41.6188394, 2.1099148 41.6184828, 2.1100753 41.6185585, 2.1101512 41.619095, 2.1106663 41.618306, 2.1108014 41.6182397, 2.1109702 41.6182587, 2.1145248 41.6188709, 2.1142969 41.6196789, 2.1142251 41.6198935, 2.1136383 41.6198051, 2.1133048 41.6198461, 2.1122367 41.6200229, 2.1119539 41.6201365, 2.111633 41.6204521, 2.1113333 41.6207235, 2.1111096 41.6206635))"
Subestació de Juià,"POLYGON ((2.9005196 42.0233476, 2.9005829 42.0233373, 2.9006597 42.0233248, 2.9007704 42.0235137, 2.9019207 42.0232536, 2.9011968 42.0213826, 2.8999443 42.0216456, 2.8994515 42.0217491, 2.9002171 42.0236662, 2.9005386 42.0235807, 2.9005196 42.0233476))"
 ,"POLYGON ((2.1845028 41.5686598, 2.1847935 41.5670185, 2.1850258 41.5670278, 2.18556 41.5670492, 2.1868199 41.567247, 2.1867552 41.5675172, 2.1870313 41.5675502, 2.1869638 41.5678073, 2.1868688 41.5685824, 2.186858 41.5686708, 2.186394 41.5687542, 2.1861209 41.5687806, 2.1845028 41.5686598))"
Subestació de Sant Celoni,"POLYGON ((2.4708008 41.7073562, 2.4708365 41.7074078, 2.4704502 41.7075833, 2.4695442 41.7064647, 2.469951 41.7062973, 2.4698495 41.7061709, 2.4709124 41.7057203, 2.471844 41.7069154, 2.4715512 41.7070416, 2.4713455 41.7071229, 2.4708008 41.7073562))"
Subestació elèctrica de Can Jardí,"POLYGON ((2.0222794 41.4758941, 2.0220175 41.4751093, 2.022357 41.4747351, 2.0225412 41.4746843, 2.0227304 41.4745135, 2.0229728 41.4744663, 2.022774 41.4738486, 2.0233704 41.4737178, 2.0247039 41.4738559, 2.0254216 41.4739322, 2.0256107 41.4744953, 2.025475 41.4748586, 2.0249076 41.4757015, 2.0245827 41.4755598, 2.0236711 41.4756652, 2.0234804 41.4756712, 2.0233414 41.4757664, 2.0226919 41.4758899, 2.0222794 41.4758941))"
 ,"POLYGON ((2.0758341 41.4872003, 2.0758555 41.4871059, 2.0760414 41.4869151, 2.0762498 41.4868186, 2.076392 41.4867382, 2.0764805 41.486692, 2.0766315 41.4866459, 2.0767058 41.4866357, 2.0768077 41.4866357, 2.0768721 41.4866578, 2.0769212 41.4867242, 2.0769472 41.4868005, 2.077007 41.4868609, 2.077066 41.486903, 2.0771089 41.4869412, 2.0771296 41.4870094, 2.0771518 41.487106, 2.0758341 41.4872003))"
Subestació de Vandellòs,"POLYGON ((0.8808997 40.9776183, 0.8797895 40.9766519, 0.8802515999999999 40.9763692, 0.8796702999999999 40.9758145, 0.8789288 40.9751069, 0.8787931 40.9750674, 0.8786164999999999 40.9748786, 0.8784327 40.9748273, 0.8774915 40.9754217, 0.8785698 40.9764097, 0.8781401999999999 40.9766615, 0.8795464 40.9780209, 0.8797117999999999 40.9780913, 0.8798037 40.9781879, 0.8802523999999999 40.9779238, 0.8803114 40.9779736, 0.8808997 40.9776183))"
Subestació de Vandellòs,"POLYGON ((0.8763363 40.9749254, 0.8778332999999999 40.9740288, 0.8768836 40.9731249, 0.8756978 40.9738352, 0.8758855 40.9740138, 0.8755742 40.9742002, 0.8763363 40.9749254))"
 ,"POLYGON ((0.5613501 41.1994881, 0.5639516 41.1987373, 0.5642874 41.1994075, 0.5616626 41.2001275, 0.5613501 41.1994881))"
 ,"POLYGON ((0.5680900000000001 41.2048165, 0.5697826 41.2065045, 0.5739088 41.2041624, 0.5739731 41.2041259, 0.5722805 41.2024379, 0.5721128999999999 41.202533, 0.5680900000000001 41.2048165))"
Central hidroelèctrica de Riba-roja,"POLYGON ((0.4308073 41.2429369, 0.4314613 41.2417222, 0.4309526 41.2415541, 0.4307961 41.24176, 0.4302763 41.2427561, 0.4308073 41.2429369))"
Subestació elèctrica de Maials,"POLYGON ((0.5040848999999999 41.3881408, 0.5051285999999999 41.3881361, 0.5051652999999999 41.3875338, 0.5051932 41.387414, 0.5058433 41.3874206, 0.5058272 41.387759, 0.5062255 41.3877722, 0.5062284 41.3878018, 0.5063866 41.3878007, 0.5063864 41.3887665, 0.5063926 41.3889451, 0.5064402 41.3890508, 0.5063657 41.3890741, 0.5062766 41.389029, 0.5050633999999999 41.3890033, 0.5049287 41.3890604, 0.5043078 41.3890055, 0.5040238 41.3890121, 0.5040648 41.3881991, 0.5040848999999999 41.3881408))"
Subestació els Aubals,"POLYGON ((0.6409673 41.1179674, 0.6425615 41.118027, 0.6424966999999999 41.118713, 0.6423466 41.1189112, 0.6408613 41.1188405, 0.6409673 41.1179674))"
Subestació de Viladecans,"POLYGON ((2.0279978 41.3263167, 2.0282217 41.327104, 2.029402 41.3260914, 2.0298848 41.3256914, 2.0290801 41.3251754, 2.0295341 41.324817, 2.0287069 41.3242189, 2.0286295 41.3242706, 2.0281265 41.3239914, 2.0280557 41.3239598, 2.0280239 41.3239522, 2.02789 41.3241053, 2.0270433 41.3247078, 2.0268461 41.3248337, 2.0266101 41.3248327, 2.0265014 41.3248951, 2.0263097 41.3248982, 2.0262936 41.3250371, 2.0267214 41.3252879, 2.0261072 41.3258549, 2.0260763 41.3259657, 2.0260951 41.3260251, 2.0264344 41.3262225, 2.0265108 41.3262336, 2.0268153 41.3260705, 2.0270754 41.3258549, 2.0273812 41.3255387, 2.027522 41.3255347, 2.0276763 41.3256233, 2.0278895 41.3259486, 2.0279646 41.3259828, 2.027923 41.3260312, 2.0280142 41.3260805, 2.0279978 41.3263167))"
Subestació Castellet i la Gornal,"POLYGON ((1.5801587 41.2557365, 1.5801934 41.255701, 1.5812165 41.2553223, 1.5814303 41.2553035, 1.5816039 41.2553285, 1.5821514 41.2553619, 1.5823733 41.255418, 1.5830194 41.2554652, 1.5831136 41.2555686, 1.5831 41.2556187, 1.5831458 41.255674, 1.5831874 41.2556677, 1.5835096 41.2561093, 1.5820531 41.2569342, 1.5818573 41.2568319, 1.5818337 41.2567818, 1.5817754 41.2567515, 1.5817629 41.2567714, 1.581706 41.2567703, 1.5811902 41.2564633, 1.580495 41.2559467, 1.5801587 41.2557365))"
 ,"POLYGON ((1.2911137 41.2829878, 1.2912978 41.2829863, 1.292083 41.2835625, 1.2914716 41.2838145, 1.2907334 41.283289, 1.2911137 41.2829878))"
 ,"POLYGON ((0.4967495 41.6282746, 0.4973987 41.6282714, 0.497408 41.6291368, 0.4967545 41.629139, 0.4967495 41.6282746))"
Subestació de Torres de Segre,"POLYGON ((0.4927603 41.5000063, 0.4933165 41.4997444, 0.4936948 41.4996295, 0.4942981 41.5002973, 0.4934126 41.5007506, 0.4927603 41.5000063))"
