voltage,name,idx,sh_terminals,trafos
220.0,virtual terminal,ElmTerm_virtual_0001,POINT (2.0551983 41.5516699),[]
380.0,virtual terminal,ElmTerm_virtual_0002,POINT (2.1115468 41.6240271),[]
380.0,virtual terminal,ElmTerm_virtual_0003,POINT (1.8239542 41.523974),[]
380.0,virtual terminal,ElmTerm_virtual_0004,POINT (1.8237002 41.5219344),[]
220.0,floating end terminal,ElmTerm_0113,POINT (2.0981318 41.5778429),[]
220.0,virtual terminal,ElmTerm_virtual_0007,POINT (2.1259022 41.6195553),[]
380.0,floating end terminal,ElmTerm_0114,POINT (2.0082371 41.4736207),[]
380.0,virtual terminal,ElmTerm_virtual_0008,POINT (0.8422988 41.0249101),[]
380.0,virtual terminal,ElmTerm_virtual_0009,POINT (1.7101479 41.2688895),[]
220.0,virtual terminal,ElmTerm_virtual_0010,POINT (2.0116993 41.4724767),[]
220.0,virtual terminal,ElmTerm_virtual_0011,POINT (2.1953379 41.4637391),[]
380.0,virtual terminal,ElmTerm_virtual_0012,POINT (2.0200874 41.4761118),[]
220.0,virtual terminal,ElmTerm_virtual_0013,POINT (2.0778822 41.3965611),[]
220.0,virtual terminal,ElmTerm_virtual_0014,POINT (2.0113046 41.4726885),[]
220.0,virtual terminal,ElmTerm_virtual_0015,POINT (2.0675031 41.4902684),[]
220.0,virtual terminal,ElmTerm_virtual_0016,POINT (2.1036785 41.4794293),[]
380.0,tieline terminal,ElmTerm_tieline_0001,POINT (-0.1257991 39.9698286),[]
220.0,virtual terminal,ElmTerm_virtual_0017,POINT (0.5225115 41.1853498),[]
380.0,tieline terminal,ElmTerm_tieline_0002,POINT (-0.2791872 41.2174712),[]
380.0,floating end terminal,ElmTerm_0115,POINT (1.1235167 41.4052385),[]
380.0,virtual terminal,ElmTerm_virtual_0018,POINT (1.1173077 41.4172815),[]
380.0,tieline terminal,ElmTerm_tieline_0003,POINT (0.2785114 41.3672661),[]
220.0,virtual terminal,ElmTerm_virtual_0019,POINT (1.1881035 41.2155269),[]
220.0,tieline terminal,ElmTerm_tieline_0004,POINT (-0.3432634 41.2968456),[]
220.0,floating end terminal,ElmTerm_0116,POINT (1.985835 41.4448673),[]
220.0,virtual terminal,ElmTerm_virtual_0020,POINT (1.9819235 41.3771771),[]
380.0,floating end terminal,ElmTerm_0117,POINT (2.0083724 41.4738297),[]
220.0,virtual terminal,ElmTerm_virtual_0021,POINT (1.8679815 41.3843177),[]
