loc_name,desc,buslv.cterm,buslv.__switch__.on_off,bushv.cterm,bushv.__switch__.on_off,typ_id
ElmTr2_0001, ,ElmTerm_0590,1,ElmTerm_0448,1,TypTr2_0001
ElmTr2_0002, ,ElmTerm_0513,1,ElmTerm_0512,1,TypTr2_0001
ElmTr2_0003, ,ElmTerm_0579,1,ElmTerm_0159,1,TypTr2_0001
ElmTr2_0004, ,ElmTerm_0130,1,ElmTerm_0129,1,TypTr2_0001
ElmTr2_0005, ,ElmTerm_0124,1,ElmTerm_0123,1,TypTr2_0003
ElmTr2_0006, ,ElmTerm_0583,1,ElmTerm_0520,1,TypTr2_0003
ElmTr2_0007, ,ElmTerm_0321,1,ElmTerm_0320,1,TypTr2_0001
ElmTr2_0008, ,ElmTerm_0127,1,ElmTerm_0126,1,TypTr2_0003
ElmTr2_0009, ,ElmTerm_0593,1,ElmTerm_0185,1,TypTr2_0001
ElmTr2_0010, ,ElmTerm_0368,1,ElmTerm_0595,1,TypTr2_0001
ElmTr2_0011, ,ElmTerm_0046,1,ElmTerm_0596,1,TypTr2_0001
ElmTr2_0012, ,ElmTerm_0523,1,ElmTerm_0522,1,TypTr2_0002
ElmTr2_0013, ,ElmTerm_0111,1,ElmTerm_0110,1,TypTr2_0003
ElmTr2_0014, ,ElmTerm_0077,1,ElmTerm_0075,1,TypTr2_0003
ElmTr2_0015, ,ElmTerm_0011,1,ElmTerm_0010,1,TypTr2_0001
ElmTr2_0016, ,ElmTerm_0481,1,ElmTerm_0480,1,TypTr2_0003
ElmTr2_0017, ,ElmTerm_0079,1,ElmTerm_0078,1,TypTr2_0002
ElmTr2_0018, ,ElmTerm_0589,1,ElmTerm_0101,1,TypTr2_0001
ElmTr2_0019, ,ElmTerm_0184,1,ElmTerm_0183,1,TypTr2_0001
ElmTr2_0020, ,ElmTerm_0119,1,ElmTerm_0118,1,TypTr2_0001
ElmTr2_0021, ,ElmTerm_0006,1,ElmTerm_0005,1,TypTr2_0001
ElmTr2_0022, ,ElmTerm_0190,1,ElmTerm_0189,1,TypTr2_0001
ElmTr2_0023, ,ElmTerm_0115,1,ElmTerm_0114,1,TypTr2_0001
ElmTr2_0024, ,ElmTerm_0053,1,ElmTerm_0584,1,TypTr2_0001
ElmTr2_0025, ,ElmTerm_0113,1,ElmTerm_0112,1,TypTr2_0001
ElmTr2_0026, ,ElmTerm_0349,1,ElmTerm_0348,1,TypTr2_0003
