loc_name,uknom,cpZone,cpArea,desc
ElmTerm_0011,110.0,AT332,AT33,Umspannwerk Thaur
ElmTerm_virtual_0001,110.0,AT332,AT33,virtual terminal
ElmTerm_0061,110.0,AT312,AT31,Umspannwerk Katzbach
ElmTerm_virtual_0002,110.0,AT312,AT31,virtual terminal
ElmTerm_0523,220.0,AT334,AT33,APG Umspannwerk Westtirol
ElmTerm_0428,220.0,AT335,AT33,Umspannwerk Zell am Ziller
ElmTerm_0008,220.0,AT126,AT12,Umspannwerk Bisamberg
ElmTerm_0065,220.0,AT126,AT12,Umspannwerk Greifenstein
ElmTerm_0066,110.0,AT126,AT12,Umspannwerk Stockerau
ElmTerm_0139,110.0,AT125,AT12,Umspannwerk Hollabrunn
ElmTerm_0380,110.0,AT130,AT13, 
ElmTerm_0406,110.0,AT130,AT13,Umspannwerk Kraftwerk Donaustadt
ElmTerm_0028,220.0,AT130,AT13,Umspannwerk Wien Südost
ElmTerm_virtual_0003,220.0,AT130,AT13,virtual terminal
ElmTerm_0453,110.0,AT127,AT12,Umspannwerk Schwechat
ElmTerm_0029,110.0,AT130,AT13,Umspannwerk Wien Südost
ElmTerm_0013,110.0,AT127,AT12,Umspannwerk Moosbrunn
ElmTerm_0373,110.0,AT127,AT12,Umspannwerk Ebreichsdorf
ElmTerm_0027,380.0,AT130,AT13,Umspannwerk Wien Südost
ElmTerm_0405,380.0,AT130,AT13,Kabelüberführungsstation Pfarrgasse
ElmTerm_0014,110.0,AT127,AT12,Umspannwerk Wr. Neudorf
ElmTerm_0459,110.0,AT130,AT13,Umspannwerk Liesing
ElmTerm_0348,380.0,AT127,AT12,Umspannwerk Sarasdorf
ElmTerm_virtual_0004,380.0,AT127,AT12,virtual terminal
ElmTerm_0015,110.0,AT130,AT13,Umspannwerk Wien West
ElmTerm_0016,110.0,AT126,AT12,Schaltanlage Kritzendorf
ElmTerm_0087,110.0,AT126,AT12, 
ElmTerm_virtual_0005,220.0,AT332,AT33,virtual terminal
ElmTerm_tieline_0001,220.0,TL,TL,tieline terminal
ElmTerm_0020,110.0,AT130,AT13,Umspannwerk Wien Nord
ElmTerm_0009,110.0,AT126,AT12,Umspannwerk Bisamberg
ElmTerm_0064,110.0,AT127,AT12,Umspannwerk Traiskirchen
ElmTerm_virtual_0006,110.0,AT127,AT12,virtual terminal
ElmTerm_0035,110.0,AT127,AT12,Umspannwerk Enzersdorf
ElmTerm_virtual_0007,380.0,AT126,AT12,virtual terminal
ElmTerm_virtual_0008,380.0,AT127,AT12,virtual terminal
ElmTerm_virtual_0009,380.0,AT127,AT12,virtual terminal
ElmTerm_0068,110.0,AT130,AT13, 
ElmTerm_0034,110.0,AT130,AT13,Umspannwerk Kaiserebersdorf
ElmTerm_0030,380.0,AT123,AT12,Umspannwerk Pottenbrunn
ElmTerm_virtual_0010,380.0,AT123,AT12,virtual terminal
ElmTerm_0038,220.0,AT121,AT12,Umspannwerk Ybbsfeld
ElmTerm_virtual_0011,220.0,AT121,AT12,virtual terminal
ElmTerm_0053,110.0,AT323,AT32,Umspannwerk Hagenau
ElmTerm_virtual_0012,110.0,AT323,AT32,virtual terminal
ElmTerm_0270,110.0,AT127,AT12,Umspannwerk Wasenbruck
ElmTerm_virtual_0013,110.0,AT313,AT31,virtual terminal
ElmTerm_0250,110.0,AT313,AT31,Umspannwerk Mauthausen
ElmTerm_0042,110.0,AT332,AT33,Umspannwerk Innsbruck-Ost
ElmTerm_0043,110.0,AT315,AT31,Schaltwerk Ohlsdorf
ElmTerm_virtual_0014,110.0,AT315,AT31,virtual terminal
ElmTerm_0215,110.0,AT315,AT31,Umspannwerk Vöcklabruck
ElmTerm_0418,110.0,AT332,AT33,Umspannwerk Zirl
ElmTerm_0317,110.0,AT334,AT33,Tiwag Umspannwerk Ötztal
ElmTerm_virtual_0015,110.0,AT332,AT33,virtual terminal
ElmTerm_0050,110.0,AT332,AT33,Umspannwerk Wilten
ElmTerm_0597,110.0,AT332,AT33,floating end terminal
ElmTerm_virtual_0016,110.0,AT332,AT33,virtual terminal
ElmTerm_0369,110.0,AT332,AT33,Umspannwerk Hall
ElmTerm_0547,110.0,AT335,AT33, 
ElmTerm_virtual_0017,110.0,AT335,AT33,virtual terminal
ElmTerm_0532,220.0,AT341,AT34,Umspannwerk Walgauwerk
ElmTerm_virtual_0018,220.0,AT342,AT34,virtual terminal
ElmTerm_virtual_0019,110.0,AT312,AT31,virtual terminal
ElmTerm_virtual_0020,110.0,AT312,AT31,virtual terminal
ElmTerm_0207,110.0,AT312,AT31,Kraftwerk Ottensheim
ElmTerm_0328,110.0,AT312,AT31,Umspannwerk Wegscheid
ElmTerm_0048,110.0,AT313,AT31,Umspannwerk Wasserkraftwerk Abwinden-Asten
ElmTerm_virtual_0021,110.0,AT312,AT31,virtual terminal
ElmTerm_0036,110.0,AT312,AT31,UW Hütte Süd 110kV
ElmTerm_0407,110.0,AT312,AT31,Umspannwerk Franzosenhausweg
ElmTerm_0390,110.0,AT312,AT31,Umspannwerk Hütte Ost
ElmTerm_0550,110.0,AT312,AT31,Umspannwerk Linz Ost
ElmTerm_virtual_0022,110.0,AT312,AT31,virtual terminal
ElmTerm_0233,110.0,AT311,AT31,Umspannwerk Grieskirchen
ElmTerm_0576,110.0,AT312,AT31,added terminal voltage
ElmTerm_0248,220.0,AT334,AT33,Umspannwerk Silz
