GKZ,name,Energy consumption (MWh/year),Nominal Value (MW),assigned_term,dist_to_term,sh_loads_agg
['20619'],['Malta'],44800,5.114155251141553,ElmTerm_0001,['7.108956354803749'],POINT (13.3527727 47.065707)
"['10703', '30704', '30712', '30722']","['Bruckneudorf', 'Bruck an der Leitha', 'Höflein', 'Scharndorf']",372500,42.52283105022831,ElmTerm_0004,"['3.6831355802927144', '0.9248498500012601', '4.191204944052543', '7.618895859925978']",POINT (16.76754922052305 48.03382616273393)
"['70502', '70516', '70527', '70528']","['Angath', 'Mariastein', 'Thiersee', 'Angerberg']",132500,15.125570776255708,ElmTerm_0006,"['1.7079484399842058', '2.264424924315465', '8.31624826847363', '3.4809040743151938']",POINT (12.07605729776147 47.52231765397102)
"['31202', '31207', '31229']","['Enzersfeld im Weinviertel', 'Harmannsdorf', 'Stetten']",193600,22.100456621004568,ElmTerm_0008,"['3.0791679716182623', '6.329817821478948', '1.0201165090501194']",POINT (16.37828004256362 48.35775529503479)
"['70302', '70303', '70353', '70358']","['Aldrans', 'Ampass', 'Sistrans', 'Thaur']",186600,21.3013698630137,ElmTerm_0011,"['3.5277575267378793', '1.330880875852986', '4.7365424105031595', '3.925376295302132']",POINT (11.47136469439234 47.27284131958112)
"['41604', '41613', '41614', '41618']","['Eidenberg', 'Kirchschlag bei Linz', 'Lichtenberg', 'Puchenau']",215700,24.623287671232877,ElmTerm_0012,"['10.686265301523868', '9.983345319618026', '5.495028866466988', '5.042548060960755']",POINT (14.30085008540282 48.32474153973336)
"['30621', '30729', '30731', '30732', '30737', '31718']","['Mitterndorf an der Fischa', 'Ebergassing', 'Gramatneusiedl', 'Himberg', 'Moosbrunn', 'Münchendorf']",521200,59.497716894977174,ElmTerm_0013,"['4.283953425514445', '5.372671919385332', '1.8174657586671628', '4.357561991251977', '1.9047294639085983', '5.472106929208943']",POINT (16.46273992444288 48.02755363951642)
"['31702', '31707', '31710', '31712', '31715', '31716', '31717', '31725']","['Biedermannsdorf', 'Gießhübl', 'Guntramsdorf', 'Hinterbrühl', 'Laxenburg', 'Maria Enzersdorf', 'Mödling', 'Wiener Neudorf']",1782600,203.49315068493152,ElmTerm_0014,"['2.9746830930043044', '5.798958223935162', '3.8302048201699432', '6.90448406172686', '4.413313706661121', '2.4687203001873903', '2.016027851986962', '0.9862550370349659']",POINT (16.30823089625241 48.0817681871111)
"['31714', '31950', '31952', '91301', '91401']","['Laab im Walde', 'Mauerbach', 'Purkersdorf', 'Wien 13. - Hietzing', 'Wien 14. - Penzing']",2475400,282.5799086757991,ElmTerm_0015,"['6.555176744888416', '7.650191468280054', '5.634418154943554', '2.6824440936090608', '2.2886883232899846']",POINT (16.23679766378242 48.20073329989176)
['80414'],['Rankweil'],406500,46.4041095890411,ElmTerm_0018,['1.0233850029469935'],POINT (9.615469292052792 47.27991085046321)
"['91901', '92001']","['Wien 19. - Döbling', 'Wien 20. - Brigittenau']",2293200,261.7808219178082,ElmTerm_0020,"['4.165605254424947', '2.149197812147064']",POINT (16.38991975529328 48.2575890070401)
"['70805', '70806', '70810', '70811', '70814', '70816', '70818', '70820', '70822', '70823', '70824', '70826', '70827', '70828', '70829', '70830', '70832', '70833', '70834', '70835', '70836', '70837']","['Breitenwang', 'Ehenbichl', 'Forchach', 'Grän', 'Heiterwang', 'Höfen', 'Jungholz', 'Lechaschau', 'Musau', 'Namlos', 'Nesselwängle', 'Pflach', 'Pinswang', 'Reutte', 'Schattwald', 'Stanzach', 'Tannheim', 'Vils', 'Vorderhornbach', 'Wängle', 'Weißenbach am Lech', 'Zöblen']",1092500,124.71461187214614,ElmTerm_0021,"['2.4154598471705895', '5.774965459581766', '14.017806352885795', '14.262060886147417', '5.356745187381433', '6.722104342201336', '23.84116816213421', '4.088685882019957', '7.572518046953265', '16.142112769152885', '11.618228781777468', '3.2041250410838313', '6.632269850454902', '3.1379884789549', '21.960937435154598', '18.381586416024884', '18.037117377758463', '11.365006186192891', '21.775501150990387', '6.279246885270286', '17.64441537796532', '20.94141210232029']",POINT (10.74868335407884 47.49363218088833)
"['91601', '91701']","['Wien 16. - Ottakring', 'Wien 17. - Hernals']",2069600,236.25570776255708,ElmTerm_0022,"['1.4295239154027444', '3.538190988764315']",POINT (16.31123551862549 48.20514484641551)
"['62042', '62048']","['Obdach', 'Weißkirchen in Steiermark']",325600,37.1689497716895,ElmTerm_0023,"['11.82623266197339', '5.112211642409061']",POINT (14.74821801115724 47.15515634959034)
"['30734', '30735', '30736', '31701']","['Lanzendorf', 'Leopoldsdorf', 'Maria-Lanzendorf', 'Achau']",259400,29.611872146118724,ElmTerm_0028,"['1.5255382177627788', '2.3979666668331343', '2.9005942828801596', '5.504284854261203']",POINT (16.42006913686916 48.12390360961496)
['31903'],['Böheimkirchen'],143900,16.426940639269407,ElmTerm_0030,['5.410131556759908'],POINT (15.68935221128794 48.22490768781617)
"['31614', '31642', '31651', '31655']","['Großebersdorf', 'Pillichsdorf', 'Ulrichskirchen-Schleinbach', 'Wolkersdorf im Weinviertel']",408300,46.60958904109589,ElmTerm_0032,"['3.207442874608969', '2.7663478657713916', '6.513081075521497', '3.544505068907086']",POINT (16.5045529935389 48.36085935344309)
"['70916', '70927']","['Hippach', 'Schwendau']",50800,5.799086757990868,ElmTerm_0033,"['6.698882438495981', '3.4781321057253662']",POINT (11.85078318014079 47.16249227836748)
"['30706', '30711', '30730', '30733', '30739', '30834', '30844']","['Enzersdorf an der Fischa', 'Haslau-Maria Ellend', 'Fischamend', 'Klein-Neusiedl', 'Schwadorf', 'Mannsdorf an der Donau', 'Orth an der Donau']",514800,58.76712328767124,ElmTerm_0035,"['0.1138678229013377', '7.861812490407525', '5.746054561127127', '4.112041166215239', '3.66285894885842', '9.923515991029236', '11.422820682304142']",POINT (16.61505137789587 48.06506157101519)
"['31915', '31946']","['Kapelln', 'Perschling']",61800,7.054794520547945,ElmTerm_0037,"['2.937601690779021', '5.824892070721044']",POINT (15.73735954107257 48.26874594999999)
"['31505', '31527', '31540']","['Blindenmarkt', 'Neumarkt an der Ybbs', 'St. Martin-Karlsbach']",148800,16.986301369863014,ElmTerm_0038,"['4.14486928182052', '1.3976665670076167', '3.312151717078351']",POINT (15.0478115445982 48.14670021440866)
"['30501', '30504', '30517', '30520', '30522']","['Allhartsberg', 'Aschbach-Markt', 'Kematen an der Ybbs', 'Neuhofen an der Ybbs', 'Oed-Oehling']",844700,96.42694063926942,ElmTerm_0040,"['4.066777824683644', '6.105010528199204', '3.7305993996588818', '4.174720343553447', '6.4341947125504015']",POINT (14.81185242498591 48.06277742841822)
"['31539', '31550', '31553']","['St. Leonhard am Forst', 'Zelking-Matzleinsdorf', 'Emmersdorf an der Donau']",140500,16.03881278538813,ElmTerm_0041,"['8.435825546106168', '3.5615426447558094', '5.889733682072222']",POINT (15.2696276573065 48.21805275263066)
"['70346', '70348']","['Rum', 'Scharnitz']",195600,22.328767123287673,ElmTerm_0042,"['2.913329196162027', '14.159974879120744']",POINT (11.42870933400781 47.27146774424339)
['40713'],['Ohlsdorf'],209200,23.881278538812786,ElmTerm_0043,['1.4021005736771956'],POINT (13.79752494513448 47.97037349999999)
