name,template,capacity(MW),assigned_term,dist_to_term,sh_pp_og,idx
Kleinwasserkraftwerk Zündt,Hydro,0.008,ElmTerm_0018,1.7670140067968418,POINT (9.6313228 47.2682136),SM_0001
Windkraftanlage Freudenau,Wind,0.6,ElmTerm_0640,1.5977258815343798,POINT (16.4639497 48.185106),SM_0002
,Wind,0.225,ElmTerm_0406,0.8048960363329466,POINT (16.4555481 48.1956754),SM_0003
22268,Wind,2.0,ElmTerm_0037,2.6058370796968227,POINT (15.7253382 48.2467202),SM_0004
44527,Wind,0.6,ElmTerm_0030,2.964359902332931,POINT (15.7255644 48.2362579),SM_0005
44528,Wind,0.6,ElmTerm_0030,3.1435805568714867,POINT (15.7280562 48.2365064),SM_0006
41214,Wind,0.5,ElmTerm_0030,2.717853447073991,POINT (15.7219556 48.236121),SM_0007
41210,Wind,0.5,ElmTerm_0030,2.22733157704559,POINT (15.7128796 48.2373823),SM_0008
,Wind,0.11,ElmTerm_0037,2.1543583064219542,POINT (15.7389048 48.2493987),SM_0009
E-Werk Franz,Hydro,0.13,ElmTerm_0417,0.5264573223660644,POINT (15.4130928 47.0902082),SM_0010
Kraftwerk Gunggl,Hydro,4.0,ElmTerm_0490,1.25922344733721,POINT (11.7947955 47.0881727),SM_0011
Windenergieanlage Steiglberg,Wind,2.0,ElmTerm_0370,12.911962121748735,POINT (13.356128 48.0958123),SM_0012
Rudi,Wind,1.5,ElmTerm_0438,3.2877861187914283,POINT (16.9925183 47.9672351),SM_0013
,Wind,0.75,ElmTerm_0387,6.666814331262753,POINT (16.6093107 48.2793856),SM_0014
WKA2,Wind,1.2,ElmTerm_0066,15.686382091337064,POINT (16.3461465 48.4995315),SM_0015
WKA1,Wind,1.2,ElmTerm_0066,15.639266727998674,POINT (16.3477766 48.4980033),SM_0016
,Wind,1.8,ElmTerm_0273,3.289034451798312,POINT (16.7584866 48.595029),SM_0017
,Wind,1.8,ElmTerm_0286,5.790361228267201,POINT (16.2035848 47.6086579),SM_0018
