name,template,capacity(MW),assigned_term,lat,lon,sh_pp_agg,idx
,Hydro,93.0,ElmTerm_0635,12.5667812,47.2626347,POINT (12.5667812 47.2626347),SM_0001
Kraftwerk Kühtai 2,Hydro,130.0,ElmTerm_0526,11.005710996056347,47.20772840000003,POINT (11.00571099605635 47.20772840000003),SM_0002
Fernheizkraftwerk Linz-Mitte,Gas,251.0,ElmTerm_0063,14.32256098839457,48.300645378775215,POINT (14.32256098839457 48.30064537877522),SM_0003
Wärmekraftwerk Korneuburg,Gas,455.0,ElmTerm_0087,16.339751409666352,48.33076629770176,POINT (16.33975140966635 48.33076629770176),SM_0004
Kraftwerk Passau-Ingling,Hydro,86.4,ElmTerm_0462,13.442854231279618,48.43454641266203,POINT (13.44285423127962 48.43454641266203),SM_0005
Kraftwerk Donaustadt,Gas,395.0,ElmTerm_0406,16.46444642975461,48.19982474778195,POINT (16.46444642975461 48.19982474778195),SM_0006
Innkraftwerk Braunau-Simbach,Hydro,100.0,ElmTerm_0221,13.008406971686293,48.24303045920537,POINT (13.00840697168629 48.24303045920537),SM_0007
Rodundwerk II,Hydro,295.0,ElmTerm_0467,9.87444993891307,47.0848459824697,POINT (9.87444993891307 47.0848459824697),SM_0008
Kraftwerk Fisching,Hydro,22.0,ElmTerm_0426,14.723267733325645,47.17421128895831,POINT (14.72326773332565 47.17421128895831),SM_0009
Kraftwerk Urreiting,Hydro,17.0,ElmTerm_0555,13.210428602542606,47.37880353132693,POINT (13.21042860254261 47.37880353132693),SM_0010
Achenseekraftwerk,Hydro,79.0,ElmTerm_0547,11.757262744113497,47.389304671928656,POINT (11.7572627441135 47.38930467192866),SM_0011
Kraftwerk Gmunden,Hydro,12.2,ElmTerm_0171,13.785622903424066,47.923435714902475,POINT (13.78562290342407 47.92343571490247),SM_0012
Kraftwerk Dürnrohr,Gas,352.0,ElmTerm_0578,15.925061790758821,48.327497766683756,POINT (15.92506179075882 48.32749776668376),SM_0013
Walgaukraftwerk,Hydro,94.0,ElmTerm_0532,9.670056034197732,47.198903987436985,POINT (9.670056034197732 47.19890398743699),SM_0014
Kraftwerk Untere Sill,Hydro,28.0,ElmTerm_0050,11.393539843395866,47.25229948749199,POINT (11.39353984339587 47.25229948749199),SM_0015
Wasserkraftwerk Staning,Hydro,43.0,ElmTerm_0599,14.4685429,48.0987687,POINT (14.4685429 48.0987687),SM_0016
Kraftwerk Timelkam,Gas,405.0,ElmTerm_0069,13.588260576547247,48.010778070308454,POINT (13.58826057654725 48.01077807030845),SM_0017
Müllverbrennungsanlage Pfaffenau / Biogas Wien,Gas,14.0,ElmTerm_0640,16.4792467,48.1749857,POINT (16.4792467 48.1749857),SM_0018
Wasserkraftwerk Weyer,Hydro,36.8,ElmTerm_0612,14.6394609,47.8481423,POINT (14.6394609 47.8481423),SM_0019
Pumpspeicherkraftwerk Ottenstein,Hydro,48.0,ElmTerm_0551,15.332079841420848,48.592411543805476,POINT (15.33207984142085 48.59241154380548),SM_0020
Kraftwerk Theiß,Gas,800.0,ElmTerm_0090,15.705590854128966,48.393953497645064,POINT (15.70559085412897 48.39395349764506),SM_0021
Kraftwerk Traun-Pucking,Hydro,45.8,ElmTerm_0057,14.22387987900567,48.20476543146954,POINT (14.22387987900567 48.20476543146954),SM_0022
Wasserkraftwerk Oberaudorf-Ebbs,Hydro,59.0,ElmTerm_0573,12.200769995656016,47.64103000000003,POINT (12.20076999565602 47.64103000000003),SM_0023
Donaukraftwerk Altenwörth,Hydro,328.0,ElmTerm_0361,15.855122553706252,48.37318098298078,POINT (15.85512255370625 48.37318098298078),SM_0024
Malta Hauptstufe,Hydro,730.0,ElmTerm_0130,13.32776969461215,46.87095677317493,POINT (13.32776969461215 46.87095677317493),SM_0025
Malta Unterstufe,Hydro,41.0,ElmTerm_0136,13.35956272736669,46.833182515215654,POINT (13.35956272736669 46.83318251521565),SM_0026
Obervermuntwerk 1,Hydro,29.0,ElmTerm_0466,10.054116810336737,46.96893749758307,POINT (10.05411681033674 46.96893749758307),SM_0027
Kraftwerk Wölla,Hydro,18.0,ElmTerm_0646,13.0715954,46.8674827,POINT (13.0715954 46.8674827),SM_0028
Kraftwerk Zirknitz,Hydro,32.0,ElmTerm_0508,12.956974319101258,46.995395755390085,POINT (12.95697431910126 46.99539575539008),SM_0029
Kraftwerk Außerfragant,Hydro,96.0,ElmTerm_0132,13.1100049758515,46.933986169546536,POINT (13.1100049758515 46.93398616954654),SM_0030
Kraftwerk Kreuzbergmaut,Hydro,18.0,ElmTerm_0555,13.210428602542606,47.37880353132693,POINT (13.21042860254261 47.37880353132693),SM_0031
Kraftwerk Innerfragant,Hydro,178.0,ElmTerm_0379,13.051915594512412,46.97745929910731,POINT (13.05191559451241 46.97745929910731),SM_0032
Kraftwerk Aschach,Hydro,324.0,ElmTerm_0212,14.01960506677233,48.38520842909634,POINT (14.01960506677233 48.38520842909634),SM_0033
Wasserkraftwerk St. Pantaleon-Erla,Hydro,51.0,ElmTerm_0251,14.531886606077423,48.224406978754836,POINT (14.53188660607742 48.22440697875484),SM_0034
Kraftwerk Friesach,Hydro,12.0,ElmTerm_0661,15.3365537,47.1862674,POINT (15.3365537 47.1862674),SM_0035
Kraftwerk Partenstein,Hydro,33.8,ElmTerm_0570,13.986383395073878,48.433703699999995,POINT (13.98638339507388 48.4337037),SM_0036
Kraftwerk Pernegg,Hydro,26.0,ElmTerm_0109,15.273971305168587,47.42332735103298,POINT (15.27397130516859 47.42332735103298),SM_0037
Kraftwerk Ranna,Hydro,19.0,ElmTerm_0533,13.751876381836126,48.489641336812255,POINT (13.75187638183613 48.48964133681226),SM_0038
Kraftwerk Wald,Hydro,23.5,ElmTerm_0614,12.2300805,47.2438389,POINT (12.2300805 47.2438389),SM_0039
Kraftwerk Bösdornau,Hydro,25.0,ElmTerm_0604,11.8336599,47.152134,POINT (11.8336599 47.152134),SM_0040
Kraftwerk Gabersdorf,Hydro,15.0,ElmTerm_0662,15.5847885,46.7852796,POINT (15.5847885 46.7852796),SM_0041
Kraftwerk Kirchbichl,Hydro,19.3,ElmTerm_0339,12.087516116444519,47.51525314121865,POINT (12.08751611644452 47.51525314121865),SM_0042
Kraftwerk Funsingau,Hydro,25.0,ElmTerm_0615,12.0583917,47.2355602,POINT (12.0583917 47.2355602),SM_0043
Kraftwerk Kaprun Hauptstufe,Hydro,260.0,ElmTerm_0077,12.742247480334564,47.259235908188735,POINT (12.74224748033456 47.25923590818874),SM_0044
Kraftwerk Kaprun Oberstufe Limberg (1),Hydro,113.0,ElmTerm_0633,12.7195951,47.196803,POINT (12.7195951 47.196803),SM_0045
Speicherkraftwerk Dobra-Krumau,Hydro,16.2,ElmTerm_0354,15.442981811190027,48.58985343634367,POINT (15.44298181119003 48.58985343634367),SM_0046
Kraftwerk Hieflau,Hydro,63.0,ElmTerm_0280,14.74258906365209,47.605632072772245,POINT (14.74258906365209 47.60563207277225),SM_0047
Kraftwerk St. Veit,Hydro,17.0,ElmTerm_0128,13.137987335686145,47.31536868364601,POINT (13.13798733568614 47.31536868364601),SM_0048
Kraftwerk St. Johann,Hydro,17.0,ElmTerm_0555,13.210428602542606,47.37880353132693,POINT (13.21042860254261 47.37880353132693),SM_0049
Kraftwerk Krippau,Hydro,30.0,ElmTerm_0611,14.6894195,47.7036518,POINT (14.6894195 47.7036518),SM_0050
Kraftwerk Altenmarkt,Hydro,25.7,ElmTerm_0622,14.6528812,47.7383689,POINT (14.6528812 47.7383689),SM_0051
Lünerseewerk,Hydro,232.0,ElmTerm_0385,9.873758321799993,47.073214818440505,POINT (9.873758321799993 47.0732148184405),SM_0052
Rodundwerk I,Hydro,198.0,ElmTerm_0383,9.881058269133176,47.08444470324538,POINT (9.881058269133176 47.08444470324538),SM_0053
Wasserkraftwerk Opponitz,Hydro,12.62,ElmTerm_0536,14.830181575215278,47.8904169859736,POINT (14.83018157521528 47.8904169859736),SM_0054
Annabrücke,Hydro,90.0,ElmTerm_0172,14.483112805165476,46.559562108024714,POINT (14.48311280516548 46.55956210802471),SM_0055
Kraftwerk Rosegg-St. Jakob,Hydro,80.0,ElmTerm_0159,14.027972802539539,46.56831819131435,POINT (14.02797280253954 46.56831819131435),SM_0056
Fernheizkraftwerk Linz-Süd,Gas,172.0,ElmTerm_0049,14.347485964315794,48.26722965705101,POINT (14.34748596431579 48.26722965705101),SM_0057
Kraftwerk Klösterle,Hydro,16.0,ElmTerm_0452,10.179462860799747,47.13800504875977,POINT (10.17946286079975 47.13800504875977),SM_0058
Kraftwerk Andelsbuch,Hydro,15.1,ElmTerm_0357,9.8775095965351,47.40136598696717,POINT (9.8775095965351 47.40136598696717),SM_0059
Kraftwerk Alberschwende,Hydro,30.0,ElmTerm_0080,9.852832005019831,47.47199250023979,POINT (9.852832005019831 47.47199250023979),SM_0060
Kraftwerk Langenegg,Hydro,74.0,ElmTerm_0080,9.852832005019831,47.47199250023979,POINT (9.852832005019831 47.47199250023979),SM_0061
Kraftwerk Peggau-Deutschfeistritz,Hydro,13.2,ElmTerm_0661,15.3365537,47.1862674,POINT (15.3365537 47.1862674),SM_0062
Kraftwerk Klaus,Hydro,20.0,ElmTerm_0234,14.113445210303945,47.90774467995354,POINT (14.11344521030395 47.90774467995354),SM_0063
Biomassekraftwerk Timelkam,Gas,15.0,ElmTerm_0069,13.588260576547247,48.010778070308454,POINT (13.58826057654725 48.01077807030845),SM_0064
Kraftwerk Simmering,Gas,1156.0,ElmTerm_0411,16.43029870187496,48.18271491700115,POINT (16.43029870187496 48.18271491700115),SM_0065
Kraftwerk Mayrhofen,Hydro,355.0,ElmTerm_0033,11.850783180140795,47.16249227836748,POINT (11.85078318014079 47.16249227836748),SM_0066
Thermisches Kraftwerk Laakirchen CMOÖ,Gas,61.0,ElmTerm_0241,13.814016895129193,47.981344950000015,POINT (13.81401689512919 47.98134495000001),SM_0067
Kraftwerk Obere Sill,Hydro,20.9,ElmTerm_0587,11.392455143535285,47.23631868902143,POINT (11.39245514353528 47.23631868902143),SM_0068
Kraftwerk Rosenau,Hydro,34.0,ElmTerm_0062,14.378000628447747,47.99377297593938,POINT (14.37800062844775 47.99377297593938),SM_0069
Kraftwerk Freibach,Hydro,16.4,ElmTerm_0172,14.483112805165476,46.559562108024714,POINT (14.48311280516548 46.55956210802471),SM_0070
Kraftwerk Gralla,Hydro,15.0,ElmTerm_0628,15.5656527,46.8279377,POINT (15.5656527 46.8279377),SM_0071
Kraftwerk Obervogau,Hydro,13.0,ElmTerm_0616,15.5720422,46.7455542,POINT (15.5720422 46.7455542),SM_0072
Kraftwerk Spielfeld,Hydro,13.0,ElmTerm_0624,15.6211308,46.7162244,POINT (15.6211308 46.7162244),SM_0073
Kraftwerk Kühtai,Hydro,289.0,ElmTerm_0526,11.005710996056347,47.20772840000003,POINT (11.00571099605635 47.20772840000003),SM_0074
Kraftwerk Silz,Hydro,500.0,ElmTerm_0248,10.966258454265352,47.26953050486745,POINT (10.96625845426535 47.26953050486745),SM_0075
Kraftwerk Gerlos,Hydro,200.0,ElmTerm_0428,11.897843801023008,47.233447264529794,POINT (11.89784380102301 47.23344726452979),SM_0076
Kraftwerk Gössendorf,Hydro,19.0,ElmTerm_0562,15.477319838790836,47.017500492385636,POINT (15.47731983879084 47.01750049238564),SM_0077
Müllverbrennungsanlage Zistersdorf,Gas,15.0,ElmTerm_0273,16.800135035169717,48.605814746452616,POINT (16.80013503516972 48.60581474645262),SM_0078
Flusskraftwerk Schwarzach,Hydro,138.0,ElmTerm_0128,13.137987335686145,47.31536868364601,POINT (13.13798733568614 47.31536868364601),SM_0079
KW Amlach,Hydro,60.0,ElmTerm_0571,12.749385795475025,46.80185979999999,POINT (12.74938579547502 46.80185979999999),SM_0080
Kraftwerk Mellach,Hydro,16.0,ElmTerm_0125,15.484073684707454,46.90909809239682,POINT (15.48407368470745 46.90909809239682),SM_0081
Kraftwerk Schwabeck,Hydro,79.0,ElmTerm_0176,14.874255591277548,46.65819524451187,POINT (14.87425559127755 46.65819524451187),SM_0082
Kraftwerk Dionysen,Hydro,16.0,ElmTerm_0109,15.273971305168587,47.42332735103298,POINT (15.27397130516859 47.42332735103298),SM_0083
Wasserkraftwerk Werfen,Hydro,16.0,ElmTerm_0555,13.210428602542606,47.37880353132693,POINT (13.21042860254261 47.37880353132693),SM_0084
Malta Oberstufe,Hydro,120.0,ElmTerm_0645,13.3529122,47.0657893,POINT (13.3529122 47.0657893),SM_0085
,Hydro,24.0,ElmTerm_0608,12.8183368,47.4906569,POINT (12.8183368 47.4906569),SM_0086
Paternion,Hydro,24.0,ElmTerm_0140,13.592968114589475,46.73978248566139,POINT (13.59296811458947 46.73978248566139),SM_0087
Kraftwerk Bischofshofen,Hydro,16.0,ElmTerm_0555,13.210428602542606,47.37880353132693,POINT (13.21042860254261 47.37880353132693),SM_0088
Kraftwerk Oberstufe Lutz,Hydro,19.3,ElmTerm_0368,9.713283005590364,47.191231326688786,POINT (9.713283005590364 47.19123132668879),SM_0089
Kraftwerk Kalsdorf,Hydro,19.0,ElmTerm_0583,15.491168444270084,46.91008698214188,POINT (15.49116844427008 46.91008698214188),SM_0090
Kraftwerk Bärenwerk,Hydro,14.0,ElmTerm_0634,12.7217142,47.2002092,POINT (12.7217142 47.2002092),SM_0091
Kraftwerk Arnstein,Hydro,30.0,ElmTerm_0082,15.158944126479911,47.018558615934374,POINT (15.15894412647991 47.01855861593437),SM_0092
Kraftwerk Rabenstein,Hydro,14.0,ElmTerm_0630,15.3172078,47.2804421,POINT (15.3172078 47.2804421),SM_0093
Kraftwerk Weinzödl,Hydro,19.0,ElmTerm_0417,15.416050976745733,47.094493025090145,POINT (15.41605097674573 47.09449302509015),SM_0094
Fernheizkraftwerk Graz-Puchstraße,Gas,100.0,ElmTerm_0246,15.440919298569122,47.049564153087374,POINT (15.44091929856912 47.04956415308737),SM_0095
Wasserkraftwerk Ering-Frauenstein,Hydro,72.9,ElmTerm_0591,13.086339795364795,48.25323455000002,POINT (13.0863397953648 48.25323455000002),SM_0096
Kraftwerk Garsten-St. Ulrich,Hydro,38.0,ElmTerm_0476,14.411920963653548,48.01759309394222,POINT (14.41192096365355 48.01759309394222),SM_0097
Kraftwerk Sohlstufe Lehen,Hydro,13.7,ElmTerm_0056,13.029645265666167,47.831060680260165,POINT (13.02964526566617 47.83106068026017),SM_0098
Kraftwerk Villach,Hydro,25.0,ElmTerm_0602,13.7897028,46.6516666,POINT (13.7897028 46.6516666),SM_0099
Wasserkraftwerk Schönau,Hydro,29.8,ElmTerm_0622,14.6528812,47.7383689,POINT (14.6528812 47.7383689),SM_0100
Wasserkraftwerk Grossraming,Hydro,72.0,ElmTerm_0083,14.517352262017068,47.892113282943484,POINT (14.51735226201707 47.89211328294348),SM_0101
Wasserkraftwerk Strubklamm,Hydro,15.0,ElmTerm_0055,13.082388338463689,47.70660481157388,POINT (13.08238833846369 47.70660481157388),SM_0102
