name,geometry
Umspannwerk Bruck an der Leitha,"POLYGON ((16.7681459 48.033103, 16.7678103 48.0332983, 16.7673219 48.0335761, 16.7668203 48.0338223, 16.7664529 48.03396, 16.7670624 48.0344824, 16.7685087 48.0337427, 16.7681459 48.033103))"
Umspannwerk Kirchbichl,"POLYGON ((12.0753741 47.5216414, 12.0758242 47.5220068, 12.0748681 47.5228, 12.0748772 47.5228361, 12.0756119 47.5232447, 12.07578 47.5232418, 12.0766327 47.5225448, 12.0767303 47.5225432, 12.0770415 47.5225387, 12.0773924 47.5222578, 12.0773776 47.5221904, 12.0757865 47.5213186, 12.0756992 47.5213167, 12.0753749 47.5215807, 12.0753741 47.5216414))"
Umspannwerk Kirchbichl,"POLYGON ((12.0753741 47.5216414, 12.0758242 47.5220068, 12.0748681 47.5228, 12.0748772 47.5228361, 12.0756119 47.5232447, 12.07578 47.5232418, 12.0766327 47.5225448, 12.0767303 47.5225432, 12.0770415 47.5225387, 12.0773924 47.5222578, 12.0773776 47.5221904, 12.0757865 47.5213186, 12.0756992 47.5213167, 12.0753749 47.5215807, 12.0753741 47.5216414))"
Umspannwerk Bisamberg,"POLYGON ((16.37468 48.3555401, 16.3746361 48.3561728, 16.3752936 48.3561923, 16.3752896 48.3563589, 16.3757417 48.3563756, 16.3762755 48.3562963, 16.3761365 48.3567418, 16.3761295 48.356798, 16.3761227 48.356853, 16.3762338 48.3573255, 16.3759348 48.3573603, 16.375967 48.3574931, 16.3761091 48.3574744, 16.3761614 48.3575269, 16.3762602 48.3579021, 16.3763404 48.3579842, 16.3763738 48.3581063, 16.3763393 48.3582098, 16.3765801 48.359232, 16.3768078 48.3601462, 16.3770461 48.3610844, 16.3792429 48.360842, 16.3788454 48.3592385, 16.3788412 48.3592215, 16.3792621 48.359163, 16.3793667 48.3590819, 16.3794138 48.3590763, 16.3794713 48.3590695, 16.3794167 48.358852, 16.3798235 48.3588155, 16.3798155 48.3587794, 16.3798084 48.3587473, 16.3799337 48.3587356, 16.3799041 48.3585963, 16.3799189 48.3585792, 16.3799383 48.358557, 16.3798534 48.3581624, 16.3805252 48.3580874, 16.3805129 48.3580348, 16.3810196 48.3579822, 16.3809369 48.3575932, 16.3809928 48.3575882, 16.3818704 48.3575096, 16.3816548 48.3571476, 16.3817625 48.3571196, 16.3817074 48.357026, 16.3816368 48.3569061, 16.3815291 48.3569342, 16.381347 48.356625, 16.3812402 48.356369, 16.3810953 48.3558954, 16.3810321 48.3559003, 16.3809669 48.3559053, 16.3809664 48.3558953, 16.3808956 48.3558937, 16.3808547 48.3558849, 16.3808177 48.3558609, 16.3808157 48.3558593, 16.3807926 48.3558408, 16.3807635 48.3557974, 16.3807376 48.3557586, 16.3800324 48.3558318, 16.3800091 48.3557324, 16.3790892 48.3558263, 16.3789038 48.3558419, 16.3788836 48.3557522, 16.3788589 48.3556579, 16.3788276 48.3555506, 16.3780645 48.3556297, 16.3780068 48.3556618, 16.3780309 48.3557794, 16.3779882 48.3557845, 16.3779411 48.3557901, 16.377874 48.3557625, 16.3778459 48.3556475, 16.3770417 48.3557313, 16.3770239 48.3556476, 16.3770159 48.3556099, 16.3766217 48.3555994, 16.3765563 48.3556053, 16.3764539 48.355616, 16.37634 48.3556269, 16.3761766 48.3556212, 16.3761796 48.3555799, 16.3758098 48.355568, 16.375809 48.35558, 16.37468 48.3555401))"
Umspannwerk Bisamberg,"POLYGON ((16.37468 48.3555401, 16.3746361 48.3561728, 16.3752936 48.3561923, 16.3752896 48.3563589, 16.3757417 48.3563756, 16.3762755 48.3562963, 16.3761365 48.3567418, 16.3761295 48.356798, 16.3761227 48.356853, 16.3762338 48.3573255, 16.3759348 48.3573603, 16.375967 48.3574931, 16.3761091 48.3574744, 16.3761614 48.3575269, 16.3762602 48.3579021, 16.3763404 48.3579842, 16.3763738 48.3581063, 16.3763393 48.3582098, 16.3765801 48.359232, 16.3768078 48.3601462, 16.3770461 48.3610844, 16.3792429 48.360842, 16.3788454 48.3592385, 16.3788412 48.3592215, 16.3792621 48.359163, 16.3793667 48.3590819, 16.3794138 48.3590763, 16.3794713 48.3590695, 16.3794167 48.358852, 16.3798235 48.3588155, 16.3798155 48.3587794, 16.3798084 48.3587473, 16.3799337 48.3587356, 16.3799041 48.3585963, 16.3799189 48.3585792, 16.3799383 48.358557, 16.3798534 48.3581624, 16.3805252 48.3580874, 16.3805129 48.3580348, 16.3810196 48.3579822, 16.3809369 48.3575932, 16.3809928 48.3575882, 16.3818704 48.3575096, 16.3816548 48.3571476, 16.3817625 48.3571196, 16.3817074 48.357026, 16.3816368 48.3569061, 16.3815291 48.3569342, 16.381347 48.356625, 16.3812402 48.356369, 16.3810953 48.3558954, 16.3810321 48.3559003, 16.3809669 48.3559053, 16.3809664 48.3558953, 16.3808956 48.3558937, 16.3808547 48.3558849, 16.3808177 48.3558609, 16.3808157 48.3558593, 16.3807926 48.3558408, 16.3807635 48.3557974, 16.3807376 48.3557586, 16.3800324 48.3558318, 16.3800091 48.3557324, 16.3790892 48.3558263, 16.3789038 48.3558419, 16.3788836 48.3557522, 16.3788589 48.3556579, 16.3788276 48.3555506, 16.3780645 48.3556297, 16.3780068 48.3556618, 16.3780309 48.3557794, 16.3779882 48.3557845, 16.3779411 48.3557901, 16.377874 48.3557625, 16.3778459 48.3556475, 16.3770417 48.3557313, 16.3770239 48.3556476, 16.3770159 48.3556099, 16.3766217 48.3555994, 16.3765563 48.3556053, 16.3764539 48.355616, 16.37634 48.3556269, 16.3761766 48.3556212, 16.3761796 48.3555799, 16.3758098 48.355568, 16.375809 48.35558, 16.37468 48.3555401))"
Umspannwerk Bisamberg,"POLYGON ((16.37468 48.3555401, 16.3746361 48.3561728, 16.3752936 48.3561923, 16.3752896 48.3563589, 16.3757417 48.3563756, 16.3762755 48.3562963, 16.3761365 48.3567418, 16.3761295 48.356798, 16.3761227 48.356853, 16.3762338 48.3573255, 16.3759348 48.3573603, 16.375967 48.3574931, 16.3761091 48.3574744, 16.3761614 48.3575269, 16.3762602 48.3579021, 16.3763404 48.3579842, 16.3763738 48.3581063, 16.3763393 48.3582098, 16.3765801 48.359232, 16.3768078 48.3601462, 16.3770461 48.3610844, 16.3792429 48.360842, 16.3788454 48.3592385, 16.3788412 48.3592215, 16.3792621 48.359163, 16.3793667 48.3590819, 16.3794138 48.3590763, 16.3794713 48.3590695, 16.3794167 48.358852, 16.3798235 48.3588155, 16.3798155 48.3587794, 16.3798084 48.3587473, 16.3799337 48.3587356, 16.3799041 48.3585963, 16.3799189 48.3585792, 16.3799383 48.358557, 16.3798534 48.3581624, 16.3805252 48.3580874, 16.3805129 48.3580348, 16.3810196 48.3579822, 16.3809369 48.3575932, 16.3809928 48.3575882, 16.3818704 48.3575096, 16.3816548 48.3571476, 16.3817625 48.3571196, 16.3817074 48.357026, 16.3816368 48.3569061, 16.3815291 48.3569342, 16.381347 48.356625, 16.3812402 48.356369, 16.3810953 48.3558954, 16.3810321 48.3559003, 16.3809669 48.3559053, 16.3809664 48.3558953, 16.3808956 48.3558937, 16.3808547 48.3558849, 16.3808177 48.3558609, 16.3808157 48.3558593, 16.3807926 48.3558408, 16.3807635 48.3557974, 16.3807376 48.3557586, 16.3800324 48.3558318, 16.3800091 48.3557324, 16.3790892 48.3558263, 16.3789038 48.3558419, 16.3788836 48.3557522, 16.3788589 48.3556579, 16.3788276 48.3555506, 16.3780645 48.3556297, 16.3780068 48.3556618, 16.3780309 48.3557794, 16.3779882 48.3557845, 16.3779411 48.3557901, 16.377874 48.3557625, 16.3778459 48.3556475, 16.3770417 48.3557313, 16.3770239 48.3556476, 16.3770159 48.3556099, 16.3766217 48.3555994, 16.3765563 48.3556053, 16.3764539 48.355616, 16.37634 48.3556269, 16.3761766 48.3556212, 16.3761796 48.3555799, 16.3758098 48.355568, 16.375809 48.35558, 16.37468 48.3555401))"
Umspannwerk Thaur,"POLYGON ((11.4709989 47.2737291, 11.4707769 47.2737324, 11.4706556 47.2737343, 11.4704594 47.2737372, 11.4703504 47.2736937, 11.4703039 47.2736, 11.4702648 47.2722939, 11.4702631 47.272237, 11.4702552 47.2719735, 11.4720357 47.2719428, 11.4724238 47.272007, 11.4724771 47.2737097, 11.4709989 47.2737291))"
Umspannwerk Thaur,"POLYGON ((11.4709989 47.2737291, 11.4707769 47.2737324, 11.4706556 47.2737343, 11.4704594 47.2737372, 11.4703504 47.2736937, 11.4703039 47.2736, 11.4702648 47.2722939, 11.4702631 47.272237, 11.4702552 47.2719735, 11.4720357 47.2719428, 11.4724238 47.272007, 11.4724771 47.2737097, 11.4709989 47.2737291))"
Umspannwerk Linz-Nord,"POLYGON ((14.3000249 48.3243884, 14.300267 48.3246308, 14.3003306 48.3246944, 14.300352 48.3247158, 14.3005915 48.3248424, 14.3005641 48.3248606, 14.3005593 48.3249144, 14.3010229 48.3253034, 14.3017092 48.3248928, 14.3017451 48.3248712, 14.3002638 48.3241767, 14.3000249 48.3243884))"
Umspannwerk Moosbrunn,"POLYGON ((16.4626106 48.0282607, 16.4634795 48.0277991, 16.4632 48.0267623, 16.4617603 48.0275402, 16.4626106 48.0282607))"
