voltage,name,Area,Zone,idx,sh_terminals,trafos
110.0,virtual terminal,AT33,AT332,ElmTerm_virtual_0001,POINT (11.4499242 47.2662317),[]
110.0,virtual terminal,AT31,AT312,ElmTerm_virtual_0002,POINT (14.3389278 48.3223391),[]
220.0,virtual terminal,AT13,AT130,ElmTerm_virtual_0003,POINT (16.4267171 48.1399689),[]
380.0,virtual terminal,AT12,AT127,ElmTerm_virtual_0004,POINT (16.6916854 48.0309091),[]
220.0,virtual terminal,AT33,AT332,ElmTerm_virtual_0005,POINT (11.1027179 47.2939609),[]
220.0,tieline terminal,TL,TL,ElmTerm_tieline_0001,POINT (11.2656267 47.4012553),[]
110.0,virtual terminal,AT12,AT127,ElmTerm_virtual_0006,POINT (16.6195213 48.0264473),[]
380.0,virtual terminal,AT12,AT126,ElmTerm_virtual_0007,POINT (16.5166899 48.3377993),[]
380.0,virtual terminal,AT12,AT127,ElmTerm_virtual_0008,POINT (16.6469155 48.1195311),[]
380.0,virtual terminal,AT12,AT127,ElmTerm_virtual_0009,POINT (16.6822111 48.0757396),[]
380.0,virtual terminal,AT12,AT123,ElmTerm_virtual_0010,POINT (15.6931378 48.2271673),[]
220.0,virtual terminal,AT12,AT121,ElmTerm_virtual_0011,POINT (15.0641549 48.1880709),[]
110.0,virtual terminal,AT32,AT323,ElmTerm_virtual_0012,POINT (12.9599849 47.7813627),[]
110.0,virtual terminal,AT31,AT313,ElmTerm_virtual_0013,POINT (14.4942446 48.3573113),[]
110.0,virtual terminal,AT31,AT315,ElmTerm_virtual_0014,POINT (13.804198 47.9824591),[]
110.0,virtual terminal,AT33,AT332,ElmTerm_virtual_0015,POINT (11.3961173 47.2364742),[]
110.0,floating end terminal,AT33,AT332,ElmTerm_0597,POINT (11.3423473 47.137291),[]
110.0,virtual terminal,AT33,AT332,ElmTerm_virtual_0016,POINT (11.4309952 47.1882045),[]
110.0,virtual terminal,AT33,AT335,ElmTerm_virtual_0017,POINT (11.8305578 47.4057307),[]
220.0,virtual terminal,AT34,AT342,ElmTerm_virtual_0018,POINT (9.684559500000001 47.2036543),[]
110.0,virtual terminal,AT31,AT312,ElmTerm_virtual_0019,POINT (14.386722 48.2270452),[]
110.0,virtual terminal,AT31,AT312,ElmTerm_virtual_0020,POINT (14.4141526 48.1970276),[]
110.0,virtual terminal,AT31,AT312,ElmTerm_virtual_0021,POINT (14.3969355 48.2315851),[]
