Time from [CET/CEST],Time to [CET/CEST],Power [MW]
2019-01-01 00:00:00,2019-01-01 00:15:00,6138.800
2019-01-01 00:15:00,2019-01-01 00:30:00,6108.400
2019-01-01 00:30:00,2019-01-01 00:45:00,6053.600
2019-01-01 00:45:00,2019-01-01 01:00:00,5998.800
2019-01-01 01:00:00,2019-01-01 01:15:00,5975.600
2019-01-01 01:15:00,2019-01-01 01:30:00,5889.600
2019-01-01 01:30:00,2019-01-01 01:45:00,5837.200
2019-01-01 01:45:00,2019-01-01 02:00:00,5707.600
2019-01-01 02:00:00,2019-01-01 02:15:00,5764.000
2019-01-01 02:15:00,2019-01-01 02:30:00,5665.200
2019-01-01 02:30:00,2019-01-01 02:45:00,5565.600
2019-01-01 02:45:00,2019-01-01 03:00:00,5482.000
2019-01-01 03:00:00,2019-01-01 03:15:00,5405.600
2019-01-01 03:15:00,2019-01-01 03:30:00,5341.600
2019-01-01 03:30:00,2019-01-01 03:45:00,5285.200
2019-01-01 03:45:00,2019-01-01 04:00:00,5263.200
2019-01-01 04:00:00,2019-01-01 04:15:00,5273.600
2019-01-01 04:15:00,2019-01-01 04:30:00,5254.000
2019-01-01 04:30:00,2019-01-01 04:45:00,5268.800
2019-01-01 04:45:00,2019-01-01 05:00:00,5296.800
2019-01-01 05:00:00,2019-01-01 05:15:00,5376.400
2019-01-01 05:15:00,2019-01-01 05:30:00,5433.200
2019-01-01 05:30:00,2019-01-01 05:45:00,5468.000
2019-01-01 05:45:00,2019-01-01 06:00:00,5478.400
2019-01-01 06:00:00,2019-01-01 06:15:00,5436.800
2019-01-01 06:15:00,2019-01-01 06:30:00,5492.400
2019-01-01 06:30:00,2019-01-01 06:45:00,5532.800
2019-01-01 06:45:00,2019-01-01 07:00:00,5604.400
2019-01-01 07:00:00,2019-01-01 07:15:00,5797.200
2019-01-01 07:15:00,2019-01-01 07:30:00,5892.800
2019-01-01 07:30:00,2019-01-01 07:45:00,6028.800
2019-01-01 07:45:00,2019-01-01 08:00:00,6072.800
2019-01-01 08:00:00,2019-01-01 08:15:00,6111.200
2019-01-01 08:15:00,2019-01-01 08:30:00,6185.600
2019-01-01 08:30:00,2019-01-01 08:45:00,6233.600
2019-01-01 08:45:00,2019-01-01 09:00:00,6284.400
2019-01-01 09:00:00,2019-01-01 09:15:00,6439.600
2019-01-01 09:15:00,2019-01-01 09:30:00,6494.800
2019-01-01 09:30:00,2019-01-01 09:45:00,6574.800
2019-01-01 09:45:00,2019-01-01 10:00:00,6667.600
2019-01-01 10:00:00,2019-01-01 10:15:00,6790.400
2019-01-01 10:15:00,2019-01-01 10:30:00,6864.400
