Time from [CET/CEST],Time to [CET/CEST],Power [MW]
2021-02-16 00:00:00,2021-02-16 01:00:00,7185.600
2021-02-16 01:00:00,2021-02-16 02:00:00,6954.300
2021-02-16 02:00:00,2021-02-16 03:00:00,6820.400
2021-02-16 03:00:00,2021-02-16 04:00:00,6730.300
2021-02-16 04:00:00,2021-02-16 05:00:00,6967.400
2021-02-16 05:00:00,2021-02-16 06:00:00,7570.200
2021-02-16 06:00:00,2021-02-16 07:00:00,8562.000
2021-02-16 07:00:00,2021-02-16 08:00:00,9333.300
2021-02-16 08:00:00,2021-02-16 09:00:00,9715.500
2021-02-16 09:00:00,2021-02-16 10:00:00,9754.000
2021-02-16 10:00:00,2021-02-16 11:00:00,9741.900
2021-02-16 11:00:00,2021-02-16 12:00:00,9720.700
2021-02-16 12:00:00,2021-02-16 13:00:00,9474.400
2021-02-16 13:00:00,2021-02-16 14:00:00,9304.900
2021-02-16 14:00:00,2021-02-16 15:00:00,9159.500
2021-02-16 15:00:00,2021-02-16 16:00:00,9068.400
2021-02-16 16:00:00,2021-02-16 17:00:00,9013.400
2021-02-16 17:00:00,2021-02-16 18:00:00,9376.800
2021-02-16 18:00:00,2021-02-16 19:00:00,9462.700
2021-02-16 19:00:00,2021-02-16 20:00:00,8973.500
2021-02-16 20:00:00,2021-02-16 21:00:00,8471.500
2021-02-16 21:00:00,2021-02-16 22:00:00,7912.000
2021-02-16 22:00:00,2021-02-16 23:00:00,7771.400
2021-02-16 23:00:00,2021-02-17 00:00:00,7317.500
