Time from [CET/CEST],Time to [CET/CEST],Power [MW]
2021-01-01 00:00:00,2021-01-01 01:00:00,6299.100
2021-01-01 01:00:00,2021-01-01 02:00:00,6057.100
2021-01-01 02:00:00,2021-01-01 03:00:00,5888.900
2021-01-01 03:00:00,2021-01-01 04:00:00,5641.800
2021-01-01 04:00:00,2021-01-01 05:00:00,5596.100
2021-01-01 05:00:00,2021-01-01 06:00:00,5764.900
2021-01-01 06:00:00,2021-01-01 07:00:00,5841.500
2021-01-01 07:00:00,2021-01-01 08:00:00,6080.600
2021-01-01 08:00:00,2021-01-01 09:00:00,6287.700
2021-01-01 09:00:00,2021-01-01 10:00:00,6569.600
2021-01-01 10:00:00,2021-01-01 11:00:00,6861.100
2021-01-01 11:00:00,2021-01-01 12:00:00,7050.200
2021-01-01 12:00:00,2021-01-01 13:00:00,6972.300
2021-01-01 13:00:00,2021-01-01 14:00:00,6846.500
2021-01-01 14:00:00,2021-01-01 15:00:00,6740.500
2021-01-01 15:00:00,2021-01-01 16:00:00,6798.300
2021-01-01 16:00:00,2021-01-01 17:00:00,7051.100
2021-01-01 17:00:00,2021-01-01 18:00:00,7347.600
2021-01-01 18:00:00,2021-01-01 19:00:00,7296.200
2021-01-01 19:00:00,2021-01-01 20:00:00,7063.700
2021-01-01 20:00:00,2021-01-01 21:00:00,6739.500
2021-01-01 21:00:00,2021-01-01 22:00:00,6393.000
2021-01-01 22:00:00,2021-01-01 23:00:00,6491.900
2021-01-01 23:00:00,2021-01-02 00:00:00,6175.400
2021-01-02 00:00:00,2021-01-02 01:00:00,5917.100
2021-01-02 01:00:00,2021-01-02 02:00:00,5648.000
2021-01-02 02:00:00,2021-01-02 03:00:00,5535.500
2021-01-02 03:00:00,2021-01-02 04:00:00,5430.100
2021-01-02 04:00:00,2021-01-02 05:00:00,5485.200
2021-01-02 05:00:00,2021-01-02 06:00:00,5754.500
2021-01-02 06:00:00,2021-01-02 07:00:00,5956.300
2021-01-02 07:00:00,2021-01-02 08:00:00,6369.400
2021-01-02 08:00:00,2021-01-02 09:00:00,6703.200
2021-01-02 09:00:00,2021-01-02 10:00:00,7080.800
2021-01-02 10:00:00,2021-01-02 11:00:00,7413.300
2021-01-02 11:00:00,2021-01-02 12:00:00,7561.100
2021-01-02 12:00:00,2021-01-02 13:00:00,7503.900
2021-01-02 13:00:00,2021-01-02 14:00:00,7346.800
2021-01-02 14:00:00,2021-01-02 15:00:00,7210.300
2021-01-02 15:00:00,2021-01-02 16:00:00,7206.700
2021-01-02 16:00:00,2021-01-02 17:00:00,7399.600
2021-01-02 17:00:00,2021-01-02 18:00:00,7629.100
2021-01-02 18:00:00,2021-01-02 19:00:00,7469.600
2021-01-02 19:00:00,2021-01-02 20:00:00,7111.300
2021-01-02 20:00:00,2021-01-02 21:00:00,6786.800
2021-01-02 21:00:00,2021-01-02 22:00:00,6423.500
2021-01-02 22:00:00,2021-01-02 23:00:00,6519.900
