## Dieser Datensatz wurde heruntergeladen von: www.energiemosaik.at
## Stand: März 2022. Datengrundlagen für Heute: 2019. Zeithorizont für Morgen: 2050
##
## Die Vergleichbarkeit mit den Datensätzen aus der Vorversion (Stand: Oktober 2019) ist nur eingeschränkt gegeben.
## Die Gründe dafür sind die Integration zusätzlicher, mittlerweile verfügbarer Datengrundlagen
## und die Weiterentwicklung der Modellierung, die dem Energiemosaik Austria zugrunde liegt.
##
## Nutzungsbedingungen / Lizenz
## Die Inhalte der Webseite „Energiemosaik Austria“ dürfen vervielfältigt, weiterverbreitet, verändert und als Grundlage für
## weiterführende Analysen verwendet werden. Sowohl bei analoger als auch bei digitaler Weiterverwendung der Daten,
## Darstellungen und Texte dieser Webseite ist folgender Quellvermerk in gut lesbarer Form an geeigneter Stelle anzubringen:
## 
## Kurzzitat: Abart-Heriszt 2022, Energiemosaik Austria
"## Langzitat: Abart-Heriszt, L. und Reichel, S (2022): Energiemosaik Austria."
##            Österreichweite Visualisierung von Energieverbrauch und Treibhausgasemissionen auf Gemeindeebene.
##            Wien, Salzburg. Lizenz: CC BY-NC-SA 3.0 AT. www.energiemosaik.at (aufgerufen am tt.mm.jjjj)
##
## Lizenz: Creative Commons - Namensnennung - Nicht-kommerziell - Weitergabe unter gleichen Bedingungen 3.0 Österreich
##         CC BY-NC-SA 3.0 AT (https://creativecommons.org/licenses/by-nc-sa/3.0/at/)
## 
## Bei Darstellungen im Internet ist der Quellvermerk mit einem Link auf www.energiemosaik.at zu hinterlegen.
## Mehr Informationen finden Sie in unseren Nutzungsbedingungen in der Fußzeile der Webseite.
##
## Datensatz: Energieverbrauch Nutzungen

Gemeindecode;Gemeindename;Energieverbrauch insgesamt (MWh / a);Energieverbrauch Wohnen (MWh / a);Energieverbrauch Land- und Forstwirtschaft (MWh / a);Energieverbrauch Industrie und Gewerbe (MWh / a);Energieverbrauch Dienstleistungen (MWh / a);Energieverbrauch Mobilität (MWh / a)
10101;Eisenstadt;541800;124500;3400;21700;181600;210600
10201;Rust;46800;24100;1600;600;5300;15100
10301;Breitenbrunn am Neusiedler See;55100;23100;1200;14900;2400;13500
10302;Donnerskirchen;37800;20600;1900;1800;2300;11200
10303;Großhöflein;46500;21100;1300;6700;4600;12800
10304;Hornstein;85000;37900;2000;18100;4400;22600
10305;Klingenbach;23500;12900;300;1400;1300;7600
10306;Leithaprodersdorf;25900;12000;2500;1800;1600;8100
10307;Mörbisch am See;42700;24200;1000;900;2600;14000
10308;Müllendorf;67400;14000;1200;29200;6900;16100
10309;Neufeld an der Leitha;98200;33900;300;37100;4600;22400
10310;Oggau am Neusiedler See;34100;18700;1900;300;1700;11400
10311;Oslip;29100;14200;1800;3500;1100;8600
10312;Purbach am Neusiedler See;70600;31600;1800;13900;4100;19200
10313;Sankt Margarethen im Burgenland;63700;30200;2900;3000;6100;21400
10314;Schützen am Gebirge;27000;15000;1600;1000;1300;8000
10315;Siegendorf;77900;31200;2500;18500;3700;22000
10316;Steinbrunn;53100;28000;1800;4200;2200;16800
10317;Trausdorf an der Wulka;41000;23700;1800;1000;2300;12200
10318;Wimpassing an der Leitha;72400;15100;800;38100;2200;16200
10319;Wulkaprodersdorf;44600;20900;1500;3800;5300;13100
10320;Loretto;10500;5700;200;800;400;3400
10321;Stotzing;13800;8200;600;200;300;4600
10322;Zillingtal;20000;10600;1900;400;700;6500
10323;Zagersdorf;19200;9900;800;400;1500;6700
10401;Bocksdorf;16900;8900;900;1000;1300;4800
10402;Burgauberg-Neudauberg;35400;15500;800;8600;1200;9300
10403;Eberau;23700;12100;2700;2000;800;6100
10404;Gerersdorf-Sulz;24700;12400;1500;3600;800;6300
10405;Güssing;190700;38200;3500;66200;32900;49900
10406;Güttenbach;18800;9200;1300;1300;600;6400
10407;Heiligenbrunn;18200;10200;2700;100;500;4800
10408;Kukmirn;40600;22100;3000;1200;1900;12400
10409;Neuberg im Burgenland;18000;11200;700;0;400;5700
10410;Neustift bei Güssing;9400;5500;600;0;400;2900
10411;Olbendorf;29300;15900;900;2000;1400;9100
10412;Ollersdorf im Burgenland;20900;10900;400;2400;1100;6100
10413;Sankt Michael im Burgenland;25500;12600;1600;1600;2400;7300
10414;Stegersbach;71400;29000;900;7100;10700;23800
10415;Stinatz;22400;13000;400;600;700;7700
10416;Strem;25700;16600;1700;100;1400;5800
10417;Tobaj;30900;16300;3300;800;1300;9200
10418;Hackerberg;7400;4000;300;300;400;2500
10419;Wörterberg;9700;5500;300;400;300;3200
10420;Großmürbisch;5400;3300;400;0;200;1500
10421;Inzenhof;6800;4000;300;0;400;2100
10422;Kleinmürbisch;4600;2800;300;0;100;1400
10423;Tschanigraben;1400;1000;100;0;0;300
10424;Heugraben;4500;2600;400;0;100;1300
10425;Rohr im Burgenland;7600;4500;600;100;200;2300
10426;Bildein;8500;4200;1700;100;300;2200
10427;Rauchwart;10100;5700;1300;100;400;2600
10428;Moschendorf;10200;5200;1300;600;300;2800
10501;Deutsch Kaltenbrunn;35600;19400;1900;2200;1200;10900
10502;Eltendorf;27500;9100;1800;8200;1000;7400
10503;Heiligenkreuz im Lafnitztal;393600;14200;1800;360000;6600;11000
