NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;NAME;OPENING;POWER_IN_KWP;ANNUAL_PRODUCTION_IN_MWH
AT1;AT13;AT130;90001;0;2019;Kraftwerk Wien Donaustadt;04.05.2012;500;500
AT1;AT13;AT130;90001;0;2019;Leopoldau Gasspeicher;13.12.2012;480;432
AT1;AT13;AT130;90001;0;2019;Liesing Fernheizwerk Süd;08.04.2013;500;500
AT1;AT13;AT130;90001;0;2019;Simmering Zentralfriedhof Tor 3;08.04.2013;490;490
AT1;AT13;AT130;90001;0;2019;Hietzing Umspannwerk West;24.09.2013;134,5;135
AT1;AT13;AT130;90001;0;2019;Wien Mitte The Mall;02.12.2013;356;324
AT1;AT13;AT130;90001;0;2019;Spar Siemensstraße;09.12.2013;80,33;74,801
AT1;AT13;AT130;90001;0;2019;Spar Wagramer Straße;09.12.2013;96,9;92,7
AT1;AT13;AT130;90001;0;2019;WiPark Park&Ride Siebenhirten;03.02.2014;132;132
AT1;AT13;AT130;90001;0;2019;Liesing II Fernheizwerk Süd;01.03.2014;494;500
AT1;AT13;AT130;90001;0;2019;HTL Wien 10;28.05.2014;255,25;255
AT1;AT13;AT130;90001;0;2019;LGV-Frischgemüse;09.07.2014;300;300
AT1;AT13;AT130;90001;0;2019;LGV-Frischgemüse II;22.05.2015;555;575
AT1;AT13;AT130;90001;0;2019;Am Schöpfwerk;02.09.2016;319;330
AT1;AT13;AT130;90001;0;2019;Hafen Freudenau;24.05.2017;280;286
