Photovoltaikanlagen in Österreich

Leistung der Photovoltaikanlagen (kWpeak) auf 1000 Einwohner
Gemeinden
2021-03-01
© Statistik Austria (Kartographie),Klima- und Energiefonds (Idee, Daten und Inhalte, www.klimafonds.gv.at), OeMAG (Daten, www.oem-ag.at)
Download: 2022-05-03 11:27:9

ID;Name;Wert;abs.;
10101;Eisenstadt;195.39;2,910;
10201;Rust;111.07;222;
10301;Breitenbrunn am Neusiedler See;212.07;399;
10302;Donnerskirchen;256.49;472;
10303;Großhöflein;377.14;800;
10304;Hornstein;182.1;578;
10305;Klingenbach;29.94;37;
10306;Leithaprodersdorf;232.35;283;
10307;Mörbisch am See;317.6;708;
10308;Müllendorf;425.49;589;
10309;Neufeld an der Leitha;120.36;432;
10310;Oggau am Neusiedler See;195.38;340;
10311;Oslip;196.77;250;
10312;Purbach am Neusiedler See;285.19;827;
10313;Sankt Margarethen im Burgenland;356.12;955;
10314;Schützen am Gebirge;81.18;115;
10315;Siegendorf;399.61;1,246;
10316;Steinbrunn;160.1;469;
10317;Trausdorf an der Wulka;229.44;474;
10318;Wimpassing an der Leitha;361.82;616;
10319;Wulkaprodersdorf;294.66;584;
10320;Loretto;103.38;49;
10321;Stotzing;106;87;
10322;Zillingtal;183.38;182;
10323;Zagersdorf;174.5;192;
10401;Bocksdorf;456.9;372;
10402;Burgauberg-Neudauberg;201.75;269;
10403;Eberau;143.38;133;
10404;Gerersdorf-Sulz;287.63;288;
10405;Güssing;265.28;972;
10406;Güttenbach;167.68;148;
10407;Heiligenbrunn;218.44;163;
10408;Kukmirn;190.66;383;
10409;Neuberg im Burgenland;282.86;274;
10410;Neustift bei Güssing;94.19;42;
10411;Olbendorf;167.43;244;
10412;Ollersdorf im Burgenland;368.37;339;
10413;Sankt Michael im Burgenland;241.36;238;
10414;Stegersbach;303.27;815;
10415;Stinatz;185.14;226;
10416;Strem;1,274.4;1,111;
10417;Tobaj;436.11;585;
10418;Hackerberg;164.97;60;
10419;Wörterberg;153.4;73;
10420;Großmürbisch;433.36;102;
10421;Inzenhof;149.64;49;
10422;Kleinmürbisch;164.28;38;
10423;Tschanigraben;426.42;29;
10424;Heugraben;57.53;13;
10425;Rohr im Burgenland;230.71;87;
10426;Bildein;299.61;100;
10427;Rauchwart;353.78;163;
10428;Moschendorf;306.19;118;
10501;Deutsch Kaltenbrunn;411.52;706;
10502;Eltendorf;276.73;249;
10503;Heiligenkreuz im Lafnitztal;612.13;773;
10504;Jennersdorf;163.27;673;
10505;Minihof-Liebau;227.83;243;
10506;Mogersdorf;135.62;156;
10507;Neuhaus am Klausenbach;201.76;186;
10508;Rudersdorf;501.23;1,075;
10509;Sankt Martin an der Raab;167.06;328;
10510;Weichselbaum;119.7;85;
10511;Königsdorf;952.65;741;
10512;Mühlgraben;165.33;63;
10601;Draßburg;141.18;173;
10602;Forchtenstein;100.21;281;
10603;Hirm;155.56;157;
10604;Loipersbach im Burgenland;60.45;73;
10605;Marz;594.18;1,245;
10606;Mattersburg;220.65;1,663;
10607;Neudörfl;141.16;676;
10608;Pöttelsdorf;504.13;387;
10609;Pöttsching;204.99;614;
10610;Rohrbach bei Mattersburg;150.3;396;
10611;Bad Sauerbrunn;129.81;294;
