@id,@type,@lat,@lon,name,power,plant:source,generator:source,plant:output:electricity,generator:output:electricity,generator:method,plant:method
266317423,node,48.0487050,16.6987445,,generator,,wind,,2 MW,wind_turbine,
266320516,node,48.0301312,16.7259798,,generator,,wind,,1.8 MW,wind_turbine,
266320517,node,48.0373276,16.7257143,,generator,,wind,,1.8 MW,wind_turbine,
266320518,node,48.0368583,16.7197531,,generator,,wind,,1.8 MW,wind_turbine,
275671483,node,47.2682136,9.6313228,Kleinwasserkraftwerk Zündt,generator,,hydro,,8 kW,run-of-the-river,
278220915,node,48.0573897,16.6752947,,generator,,wind,,2 MW,wind_turbine,
278220918,node,48.0560343,16.6809971,,generator,,wind,,2 MW,wind_turbine,
278220921,node,48.0520252,16.6857536,,generator,,wind,,2 MW,wind_turbine,
278220979,node,48.0434238,16.6941378,,generator,,wind,,2 MW,wind_turbine,
278220985,node,48.0404009,16.6973946,,generator,,wind,,2 MW,wind_turbine,
278220998,node,48.0381230,16.7037893,,generator,,wind,,2 MW,wind_turbine,
278221227,node,48.0518951,16.6918458,,generator,,wind,,2 MW,wind_turbine,
278394539,node,48.0338225,16.7263995,,generator,,wind,,1.8 MW,wind_turbine,
283549479,node,48.3387230,16.4460284,,generator,,wind,,660 kW,wind_turbine,
283549480,node,48.3407628,16.4474362,,generator,,wind,,660 kW,wind_turbine,
283549481,node,48.3424788,16.4489354,,generator,,wind,,660 kW,wind_turbine,
283549484,node,48.3372658,16.4449413,,generator,,wind,,600 kW,wind_turbine,
292279468,node,48.1113648,16.3251800,,generator,,wind,,600 kW,wind_turbine,
292279473,node,48.1096195,16.3245998,,generator,,wind,,600 kW,wind_turbine,
292869203,node,48.1851060,16.4639497,Windkraftanlage Freudenau,generator,,wind,,600 kW,wind_turbine,
293944707,node,47.9441206,16.8891621,,generator,,wind,,1.8 MW,wind_turbine,
293947641,node,48.1956754,16.4555481,,generator,,wind,,225 kW,wind_turbine,
305185399,node,48.1264483,16.4323774,EA-WP-UNT-3,generator,,wind,,1 MW,wind_turbine,
312162191,node,48.1222160,16.4125850,EA-WP-UNT-2,generator,,wind,,1 MW,wind_turbine,
312162238,node,48.1246485,16.4115140,EA-WP-UNT-1,generator,,wind,,1 MW,wind_turbine,
329138194,node,48.2467202,15.7253382,22268,generator,,wind,,2 MW,wind_turbine,
329138217,node,48.2362579,15.7255644,44527,generator,,wind,,600 kW,wind_turbine,
329138229,node,48.2365064,15.7280562,44528,generator,,wind,,600 kW,wind_turbine,
329138240,node,48.2361210,15.7219556,41214,generator,,wind,,500 kW,wind_turbine,
329138290,node,48.2373823,15.7128796,41210,generator,,wind,,500 kW,wind_turbine,
329572045,node,48.2493987,15.7389048,,generator,,wind,,110 kW,wind_turbine,
332236271,node,48.0597340,16.7694893,,generator,,wind,,0.6 MW,wind_turbine,
332238844,node,48.0566424,16.7677342,,generator,,wind,,0.6 MW,wind_turbine,
