@id,@type,@lat,@lon,name,power,plant:source,generator:source,plant:output:electricity,generator:output:electricity
846636224,node,47.4909030,12.0744242,,generator,,solar,,yes
1302341712,node,48.2679044,14.2511434,,generator,,solar,,yes
1302341734,node,48.2679817,14.2511206,,generator,,solar,,yes
1834160570,node,47.6568857,13.7825034,Photovoltaik Loser,generator,,solar,,yes
1881055775,node,48.2944022,13.3323733,,generator,,solar,,yes
1881055801,node,48.2944163,13.3320738,,generator,,solar,,yes
2206214619,node,48.0886587,15.1427610,,generator,,solar,,yes
2230781279,node,46.6995540,15.3878343,,generator,,solar,,
2300679873,node,47.3818142,16.1099772,,generator,,solar,,yes
2301193100,node,48.3722732,14.5987457,,generator,,solar,,
2301193101,node,48.3720594,14.5988638,,generator,,solar,,
2317527007,node,46.9911701,15.9118759,,generator,,solar,,yes
2380361571,node,46.8255364,15.5942616,,generator,,solar,,yes
2380361595,node,46.8259897,15.5948034,,generator,,solar,,yes
2381230846,node,47.0599309,15.4418100,,generator,,solar,,
2381230847,node,47.0592548,15.4429580,,generator,,solar,,
2381230848,node,47.0592603,15.4422847,,generator,,solar,,
2381554945,node,47.2187954,15.4415159,e5,generator,,solar,,0.85 MW
2391318449,node,46.9910222,15.2788087,,generator,,solar,,
2432393789,node,47.5817734,14.5917609,,generator,,solar,,
2462736785,node,47.7184611,14.2870071,,generator,,solar,,
2462736794,node,47.7204618,14.2868797,,generator,,solar,,
2704244493,node,48.6631866,14.9335539,,generator,,solar,,
2938569085,node,48.3518096,15.7510631,,generator,,solar,,yes
2938569087,node,48.3523577,15.7431550,,generator,,solar,,21 kW
2938569118,node,48.3672320,15.7207801,,generator,,solar,,40 kW
3410472639,node,48.1100475,14.8493443,,generator,,solar,,
3411425360,node,48.3484130,15.7515717,,generator,,solar,,yes
3423989708,node,48.1550495,15.4098533,,generator,,solar,,8.32 kW
3423989731,node,48.1561298,15.4201143,,generator,,solar,,50 kW
3468242381,node,48.3672904,15.7212641,,generator,,solar,,12 kW
3999588734,node,48.3979242,15.5938240,,generator,,solar,,yes
4010259924,node,48.7205611,14.9687744,,generator,,solar,,
4013504452,node,47.0673389,16.3259097,,generator,,solar,,
4013504453,node,47.0676577,16.3257221,,generator,,solar,,
4013504454,node,47.0687692,16.3250701,,generator,,solar,,
4013504456,node,47.0691067,16.3248157,,generator,,solar,,
4013504463,node,47.0694648,16.3246047,,generator,,solar,,
4040077848,node,46.7417767,15.9853750,,generator,,solar,,yes
4067025951,node,48.0176169,16.7830312,,generator,,solar,,yes
4081055111,node,48.1406419,16.2788991,,generator,,solar,,yes
4081055115,node,48.1406920,16.2787181,,generator,,solar,,4.13 kW
4157677140,node,48.2618776,15.7659255,,generator,,solar,,
4157677141,node,48.2613925,15.7656784,,generator,,solar,,
4210703557,node,48.5885358,16.4919233,SmartFlower,generator,,solar,,yes
4253154451,node,48.4506923,15.6116162,,generator,,solar,,
4422418952,node,48.6614671,15.0232118,,generator,,solar,,
4523900198,node,48.4008628,14.7763895,,generator,,solar,,
4663667304,node,47.8304151,13.0264584,Smartflower,generator,,solar,,
4664148797,node,47.9223750,13.8801059,Sonnenkraftwerk Oberreisenberg,generator,,solar,,
4672776540,node,47.4098155,15.7200767,Photovoltaikanlage Maschienenhalle,generator,,solar,,
4672776541,node,47.4093184,15.7209104,Photovoltaikanlage Heizwerk I,generator,,solar,,
4672776542,node,47.4092452,15.7208566,Photovoltaikanlage Heizwerk Strallegg II,generator,,solar,,
4672776543,node,47.4110575,15.7228003,Photovoltaikanlage Gesundheitshaus,generator,,solar,,
4710212953,node,47.0602641,15.4431118,,generator,,solar,,yes
4852282682,node,48.2828006,14.3727664,PV Anlage,generator,,solar,,yes
4944268493,node,48.2428031,13.7529194,,generator,,solar,,yes
4952702805,node,48.5550500,16.2522219,,generator,,solar,,
4990866294,node,48.1372042,14.7381554,,generator,,solar,,yes
5015873911,node,48.1464639,16.3760662,,generator,,solar,,yes
5197899422,node,48.2152541,15.8450769,,generator,,solar,,5 kW
5199998365,node,48.1652187,16.3716947,,generator,,solar,,255 MW
5200010727,node,48.2069715,16.3854769,BürgerInnen Solarkraftwerk Wien-Mitte,generator,,solar,,356 kW
5200203619,node,48.1283040,16.3101316,BürgerInnen Solarkraftwerk- Park&Ride-Anlage Siebenhirten,generator,,solar,,132 MW
5200203620,node,48.1855235,16.4586066,,generator,,solar,,286 MW
5226187883,node,48.0569328,14.1206510,,generator,,solar,,
5233337923,node,48.4306516,16.4095737,,generator,,solar,,
5251171847,node,48.1561550,16.1681553,,generator,,solar,,yes
5312326912,node,48.2201757,15.3515536,,generator,,solar,,100 kW
5351860259,node,48.1344216,16.3423036,,generator,,solar,,
5415027144,node,47.8832642,16.2402597,,generator,,solar,,
5415027145,node,47.8831041,16.2405268,,generator,,solar,,
5415027146,node,47.8829207,16.2407625,,generator,,solar,,
5525823798,node,48.3634110,15.7120636,,generator,,solar,,15 kW
5525823803,node,48.3633480,15.7118299,,generator,,solar,,25 kW
5525823805,node,48.3634954,15.7124609,,generator,,solar,,6 kW
5525823806,node,48.3635917,15.7139602,,generator,,solar,,28 kW
5525826068,node,48.3676305,15.7202902,,generator,,solar,,25 kW
5664820600,node,48.0718901,16.2009360,,generator,,solar,,yes
5741644765,node,47.2666308,11.4496690,,generator,,solar,,
5748507295,node,47.6683542,12.3515846,,generator,,solar,,3 kW
5764694781,node,48.0940131,16.3303802,,generator,,solar,,yes
5764694782,node,48.0947515,16.3300341,,generator,,solar,,yes
5771669088,node,47.0562450,15.6033218,,generator,,solar,,
5821285561,node,47.9517523,13.6129967,,generator,,solar,,yes
5821285562,node,47.9517463,13.6121918,,generator,,solar,,yes
5902168444,node,48.4202119,15.6567400,,generator,,solar,,
5957082585,node,47.8556044,14.7763746,,generator,,solar,,
5957082586,node,47.8557426,14.7764855,,generator,,solar,,
5957082587,node,47.8558850,14.7765964,,generator,,solar,,
5957082588,node,47.8557851,14.7760642,,generator,,solar,,
5957082589,node,47.8587576,14.7776204,,generator,,solar,,
5957082590,node,47.8589562,14.7775541,,generator,,solar,,
5957082607,node,47.8594648,14.7875562,,generator,,solar,,yes
5957082608,node,47.8592835,14.7875040,,generator,,solar,,yes
5957082609,node,47.8591067,14.7874358,,generator,,solar,,yes
6022616945,node,47.8342673,14.8802594,,generator,,solar,,
6022616946,node,47.8344842,14.8801768,,generator,,solar,,
6022616947,node,47.8347036,14.8800905,,generator,,solar,,
6022616956,node,47.8365395,14.8820342,,generator,,solar,,
6022616957,node,47.8364321,14.8823255,,generator,,solar,,
6022616958,node,47.8363164,14.8826128,,generator,,solar,,
6023393043,node,47.0616972,15.2940237,,generator,,solar,,
6076268560,node,47.1941081,15.6556041,,generator,,solar,,yes
6103713597,node,48.2321146,15.5467272,,generator,,solar,,
6191411465,node,47.6282366,16.4996771,,generator,,solar,,
6333971900,node,47.2124870,16.1635569,,generator,,solar,,yes
6345732216,node,47.1168021,13.7612138,,generator,,solar,,yes
6345732217,node,47.1168543,13.7611530,,generator,,solar,,yes
6345732219,node,47.1188143,13.7598939,,generator,,solar,,yes
6345732220,node,47.1188173,13.7600249,,generator,,solar,,yes
6345732221,node,47.1187442,13.7599004,,generator,,solar,,yes
6345732222,node,47.1187530,13.7600378,,generator,,solar,,yes
6345732223,node,47.1186989,13.7599948,,generator,,solar,,yes
6345732224,node,47.1187106,13.7602031,,generator,,solar,,yes
6345732225,node,47.1187179,13.7603405,,generator,,solar,,yes
6345732226,node,47.1187501,13.7603963,,generator,,solar,,yes
6345732227,node,47.1187398,13.7605058,,generator,,solar,,yes
6348528982,node,47.1295526,13.7980971,,generator,,solar,,yes
6348528983,node,47.1295421,13.7980274,,generator,,solar,,yes
6348528984,node,47.1298170,13.7974541,,generator,,solar,,yes
6348530193,node,47.1310786,13.7996633,,generator,,solar,,yes
6348530194,node,47.1310199,13.7997020,,generator,,solar,,yes
6348530195,node,47.1303637,13.7996194,,generator,,solar,,yes
6348540897,node,47.1282269,13.8059737,,generator,,solar,,yes
6348540905,node,47.1290130,13.8025084,,generator,,solar,,yes
6361341119,node,48.5101936,15.5091602,,generator,,solar,,yes
6385044083,node,47.9550143,14.7901630,,generator,,solar,,yes
6393111231,node,48.1640214,14.5168251,,generator,,solar,,yes
6504905984,node,47.1350293,13.7969674,,generator,,solar,,yes
6504912985,node,47.1349664,13.7975364,,generator,,solar,,yes
6504913051,node,47.1411862,13.8013527,,generator,,solar,,yes
6504913052,node,47.1406958,13.8012336,,generator,,solar,,yes
6504913185,node,47.1375023,13.8096475,,generator,,solar,,yes
6504913186,node,47.1370237,13.8095386,,generator,,solar,,yes
6504913187,node,47.1367903,13.8098136,,generator,,solar,,yes
6504913506,node,47.1359431,13.8157612,,generator,,solar,,yes
6507282731,node,47.4714499,13.3860906,,generator,,solar,,yes
6507282732,node,47.4713529,13.3868166,,generator,,solar,,yes
6545147186,node,48.0466158,14.4470024,,generator,,solar,,yes
6545147187,node,48.0466430,14.4465789,,generator,,solar,,yes
6548971637,node,47.5657648,15.9064825,,generator,,solar,,
6550414222,node,48.2555020,16.4286568,,generator,,solar,,yes
6665596684,node,47.3061469,11.5203721,,generator,,solar,,yes
6665602785,node,47.3060432,11.5202755,,generator,,solar,,yes
6665602786,node,47.3060414,11.5204740,,generator,,solar,,yes
6665602787,node,47.3060159,11.5206510,,generator,,solar,,yes
6665602788,node,47.3061505,11.5207368,,generator,,solar,,yes
6665602789,node,47.3062214,11.5208629,,generator,,solar,,yes
6665602790,node,47.3060359,11.5208307,,generator,,solar,,yes
6753906441,node,47.8021957,13.0431620,,generator,,solar,,yes
6755623375,node,47.8288371,13.0225207,,generator,,solar,,yes
6755623376,node,47.8287813,13.0223383,,generator,,solar,,yes
6755623377,node,47.8287592,13.0224000,,generator,,solar,,yes
6755623378,node,47.8287896,13.0225020,,generator,,solar,,yes
6755656968,node,47.8223819,13.0177907,,generator,,solar,,yes
6755656969,node,47.8223589,13.0178054,,generator,,solar,,yes
6758580031,node,47.8187843,13.0234392,,generator,,solar,,yes
6759752214,node,47.2192491,15.6266175,,generator,,solar,,yes
6820887257,node,47.9970645,14.0221569,,generator,,solar,,yes
6820887258,node,47.9970566,14.0224835,,generator,,solar,,yes
