@id,@type,@lat,@lon,name,operator,power,frequency,voltage
1380927825,node,46.7552114,12.9974464,,KELAG,substation,50,20000
4018721508,node,47.1683470,13.2526666,,,substation,50,30000
5645886026,node,47.0657070,13.3527727,,Verbund Hydro Power GmbH,substation,50,110000
5645904462,node,46.9828458,13.4548526,,KELAG,substation,50,20000
5653873949,node,46.8954518,13.3432254,,Verbund Hydro Power GmbH,substation,50,220000
5654710358,node,46.9922618,13.0469634,,KELAG,substation,50,110000
5658636668,node,47.0294669,12.8581613,,KELAG,substation,50,20000
5680260031,node,46.7214603,13.6454460,,Verbund Hydro Power GmbH,substation,50,20000
5680429507,node,46.6692828,13.7251827,,Verbund Hydro Power GmbH,substation,50,20000
5683331147,node,46.6325900,13.8287468,,Verbund Hydro Power GmbH,substation,50,20000
5761932804,node,46.5600895,13.7584180,,KELAG,substation,50,20000
5771775995,node,46.6292009,13.4611608,,VVT Vermögensverwaltung GmbH,substation,50,20000
5777524686,node,47.0288791,12.8544652,,Großglockner Seilbahn GmbH,substation,50,20000
5777524702,node,47.0372885,12.8734352,,KELAG,substation,50,20000
5794346236,node,46.7155778,13.8284866,,KNG-Kärnten Netz GmbH,substation,50,20000
7699924093,node,47.5929311,13.3149549,,Salzburg Netz,substation,,30000
7704469925,node,47.5844929,13.3192250,,Salzburg Netz,substation,50,30000
7850561242,node,48.3245190,14.3004040,Umspannwerk Nord,Linz AG Strom,substation,,
23899163,way,47.5222807,12.0761303,Umspannwerk Kirchbichl,,substation,,220000;110000
24253250,way,48.3583123,16.3782533,Umspannwerk Bisamberg,Austrian Power Grid AG,substation,,380000;220000;110000
24768685,way,47.2728400,11.4713662,Umspannwerk Thaur,TIWAG-Netz AG,substation,50,220000;110000
24830381,way,48.3247401,14.3008850,Umspannwerk Linz-Nord,Linz Netz,substation,50,110000
26209260,way,48.2007408,16.2368717,Umspannwerk Wien West,Wiener Netze,substation,50,110000
26524546,way,47.2799045,9.6155049,Umspannwerk Brederis,Vorarlberger Energienetze GmbH,substation,,110000
26644088,way,48.2576399,16.3900092,Umspannwerk Wien Nord,,substation,,380000;110000
26703085,way,47.4936113,10.7487458,,,substation,50,110000
27673934,way,48.2051052,16.3111490,Umspannwerk Kendlerstraße,Austrian Grid Power AG,substation,50,380000
27763479,way,48.1245976,14.4738968,Umspannwerk Ernsthofen,Austrian Power Grid AG,substation,,380000;220000;110000
27795895,way,48.1238348,16.4195774,Umspannwerk Wien Südost,Austrian Power Grid AG,substation,,380000;220000;110000
27797285,way,48.2250575,15.6892335,Umspannwerk Pottenbrunn,Netz NÖ,substation,,380000;110000
28596524,way,47.1625541,11.8507323,Schaltanlage Mayrhofen,,substation,50,220000
28968803,way,48.0650615,16.6150515,Umspannwerk Enzersdorf,Netz NÖ,substation,,110000
29563097,way,48.2669045,14.3421947,UW Hütte Süd 110kV,voestalpine Stahl GmbH,substation,50,110000
30042006,way,48.2687459,15.7373596,Schaltwerk Etzersdorf,Austrian Power Grid AG,substation,,380000
30076588,way,48.1466970,15.0478209,Umspannwerk Ybbsfeld,,substation,50,220000;110000
30244554,way,48.2180527,15.2696277,Umspannwerk Bergern,EVN;Verbund Austrian Power Grid AG,substation,50,110000
30842675,way,47.9703735,13.7975249,Schaltwerk Ohlsdorf,Energie AG,substation,50,110000
32293834,way,47.2220246,9.6426103,Umspannwerk Frastanz,,substation,,110000
32497342,way,48.2473236,14.4280146,Umspannwerk Wasserkraftwerk Abwinden-Asten,Austrian Power Grid,substation,,110000
32501080,way,48.2672016,14.3475040,Umspannwerk FHKW Linz-Süd,Linz Netz,substation,,110000
33041399,way,47.8310518,13.0296454,Umspannwerk Salzach Stich,Austrian Power Grid AG,substation,,220000
33058565,way,48.2047654,14.2238799,,Energie AG Oberösterreich,substation,50,110000
33482741,way,47.9937798,14.3779845,Kraftwerk Rosenau,,substation,50,110000
33631653,way,48.3567020,16.2407904,Umspannwerk Greifenstein,,substation,50,220000
33840061,way,48.0107661,13.5882739,Umspannwerk Timelkam,,substation,50,110000
38821658,way,47.2592344,12.7424019,Umspannwerk Kaprun,"Verbund Hydro Power, Austrian Power Grid AG",substation,50,380000;220000;110000
38868243,way,47.2777201,12.7398102,Umspannwerk Tauern,Austrian Power Grid AG,substation,,380000;220000
42306133,way,47.8920507,14.5172612,Umspannwerk Großraming,,substation,50,110000
45544115,way,48.3307663,16.3397514,,Austrian Power Grid AG,substation,,110000
47001881,way,48.3939886,15.7056168,Umspannwerk Theiß,Netz NÖ,substation,,380000;110000
47002504,way,48.4092572,15.6892309,Umspannwerk Stratzdorf,Netz NÖ,substation,50,110000;20000
50650855,way,48.0832552,14.0521115,Umspannwerk Sattledt,Austrian Grid Power AG,substation,,220000
59531071,way,48.3288984,15.8856141,Umspannwerk Dürnrohr,Austrian Power Grid;Netz Niederösterreich,substation,,380000;220000;110000
60222001,way,47.8447254,16.9006726,Umspannwerk Frauenkirchen,Netz Burgenland,substation,,110000;20000
61108302,way,47.3123674,9.5919204,Umspannwerk Meiningen,Vorarlberger Energienetze GmbH,substation,,380000;220000
67628695,way,48.3111014,14.3036410,Umspannwerk Linz-Mitte,Linz Netz,substation,,30000;10000
70497801,way,48.1895046,15.0656375,Umspannwerk Ybbs Persenbeug,Verbund,substation,50,220000
81216242,way,48.2106835,13.5149921,Umspannwerk Ried,,substation,50,110000
