@id,@type,@lat,@lon,name,operator,substation,frequency,voltage
353391291,node,48.4936150,14.5025637,,,minor_distribution,,20000
743379432,node,46.6651415,15.2020124,St.Lorenzen Radlitz,E-Steiermark,minor_distribution,50,20000;400
743379820,node,46.6617602,15.1629889,Sankt Lorenzen (Ort),,minor_distribution,50,20000;400
1242444757,node,47.4636924,11.9735487,,TINETZ-Stromnetz Tirol AG,minor_distribution,,25000;400
1380927825,node,46.7552114,12.9974464,,KELAG,transmission,50,20000
1499064700,node,46.6646742,15.1558697,St.Bartlmä Petzhütte,E-Steiermark,minor_distribution,50,20000;400
1678050777,node,46.6994526,15.2728071,Hörmsdorf Kolonie,E-Steiermark,minor_distribution,50,20000;400
1678060571,node,46.6621055,15.2416837,Stammeregg,E-Steiermark,minor_distribution,50,20000;400
1800899656,node,46.6496297,13.7889263,,KNG-Kärnten Netz GmbH,minor_distribution,50,20000
1902537488,node,46.6808225,15.2671850,Feisternitz,E-Steiermark,minor_distribution,50,20000;400
1902537495,node,46.6662180,15.2623543,Oberlatein Vouch,E-Steiermark,minor_distribution,50,20000;400
1937323227,node,47.9927166,12.9603351,,,minor_distribution,50,30000
2122656685,node,47.5235786,12.4171204,,,minor_distribution,,10000;400
2122656687,node,47.5227612,12.4252149,,,minor_distribution,,10000;400
2122656689,node,47.5231734,12.4099342,,,minor_distribution,,10000;400
2171602530,node,46.8637163,15.1942037,Greim Lenzbauer,E-Steiermark,minor_distribution,50,20000;400
2271681986,node,47.2722101,11.6063131,,HAIM,minor_distribution,,10000;400
2302323865,node,47.2679500,11.6155322,,HAIM,minor_distribution,,10000;400
2319499055,node,46.6634957,15.2726938,Kornriegel,E-Steiermark,minor_distribution,50,20000;400
2412313866,node,47.4658072,13.2075416,,,minor_distribution,50,30000
2461943976,node,46.8063495,15.1938644,Warnblick Schwemmhoisl,Energie Netze Steiermark,minor_distribution,50,20000;400
2461944002,node,46.8036636,15.1995593,Warnblick Halmbauer,Energie Netze Steiermark,minor_distribution,50,20000;400
2539487693,node,47.6559690,13.1318984,,,minor_distribution,50,30000
2610780203,node,46.6598946,15.1714745,St. Lorenzen Roda,,minor_distribution,50,20000;400
2656455467,node,46.6809479,15.2278319,Aibl Knass,E-Steiermark,minor_distribution,50,20000;400
2663421779,node,46.6748428,15.2589180,Feeisternitz Lichtenegg,E-Steiermark,minor_distribution,50,20000;400
2806566368,node,48.0208784,16.3054684,,Wienstrom,distribution,50,medium
2893891120,node,46.6539454,15.2273786,Bachholz/Maritsch,E-Steiermark,minor_distribution,50,20000;400
3231967441,node,46.8051669,15.1755333,Warnblick Herk,Energie Netze Steiermark,minor_distribution,50,20000;400
3253252151,node,48.0910996,16.2101454,,Wiener Netze,minor_distribution,,20000;400
3266910407,node,48.0796478,16.2141622,Trafostation Wiener Netze,Wiener Netze,,,20000;400
3298430756,node,47.1947773,15.1349365,Kleinalpe Koch,E-Steiermark,minor_distribution,50,20000;400
3304207657,node,46.7590491,15.1494394,Garanas Amtmann,E-Steiermark,minor_distribution,50,20000;400
3304207658,node,46.7735387,15.1325114,Garanas Kochgregor,E-Steiermark,minor_distribution,50,20000;400
