id,source,cterm,sgn
SM_0001,gas,ElmTerm_0029,37.71
SM_0002,coal,ElmTerm_0799,918.0
SM_0003,coal,ElmTerm_0029,26.73
SM_0004,biomass,ElmTerm_0029,11.97
SM_0005,hydro,ElmTerm_0086,10.08
SM_0006,wind,ElmTerm_0138,2700.0
SM_0007,wind,ElmTerm_0138,540.0
SM_0008,wind,ElmTerm_0138,1800.0
SM_0009,wind,ElmTerm_0105,562.5
SM_0010,hydro,ElmTerm_0129,11.34
SM_0011,hydro,ElmTerm_0129,11.34
SM_0012,hydro,ElmTerm_0129,11.34
SM_0013,wind,ElmTerm_0138,2160.0
SM_0014,wind,ElmTerm_0138,3060.0
SM_0015,gas,ElmTerm_0132,56.7
SM_0016,biomass,ElmTerm_0779,18.0
SM_0017,oil,ElmTerm_0779,45.0
SM_0018,wind,ElmTerm_0138,1800.0
SM_0019,wind,ElmTerm_0138,1800.0
SM_0020,wind,ElmTerm_0095,2880.0
SM_0021,wind,ElmTerm_0095,2880.0
SM_0022,wind,ElmTerm_0138,2880.0
SM_0023,hydro,ElmTerm_0085,24.3
SM_0024,wind,ElmTerm_0138,2700.0
SM_0025,wind,ElmTerm_0138,2880.0
SM_0026,wind,ElmTerm_0138,2880.0
SM_0027,wind,ElmTerm_0138,2880.0
SM_0028,wind,ElmTerm_0138,2880.0
SM_0029,wind,ElmTerm_0138,2700.0
SM_0030,wind,ElmTerm_0138,2880.0
SM_0031,wind,ElmTerm_0138,1350.0
SM_0032,wind,ElmTerm_0138,2880.0
SM_0033,wind,ElmTerm_0138,2880.0
SM_0034,gas,ElmTerm_0149,270.0
SM_0035,waste,ElmTerm_0166,31.5
SM_0036,biomass,ElmTerm_0144,18.0
SM_0037,biomass,ElmTerm_0145,18.0
SM_0038,wind,ElmTerm_0751,540.0
SM_0039,wind,ElmTerm_0751,540.0
SM_0040,wind,ElmTerm_0751,540.0
SM_0041,wind,ElmTerm_0751,540.0
SM_0042,wind,ElmTerm_0751,540.0
SM_0043,coal,ElmTerm_0751,778.5
SM_0044,coal,ElmTerm_0751,778.5
SM_0045,biomass,ElmTerm_0174,18.0
SM_0046,wind,ElmTerm_0188,2250.0
SM_0047,wind,ElmTerm_0188,2250.0
SM_0048,hydro,ElmTerm_0187,18.0
SM_0049,hydro,ElmTerm_0753,432.0
SM_0050,wind,ElmTerm_0826,405.0
SM_0051,wind,ElmTerm_0826,405.0
SM_0052,wind,ElmTerm_0826,405.0
SM_0053,wind,ElmTerm_0826,405.0
SM_0054,wind,ElmTerm_0826,405.0
SM_0055,coal,ElmTerm_0236,70.2
SM_0056,wind,ElmTerm_0519,540.0
SM_0057,wind,ElmTerm_0519,540.0
SM_0058,wind,ElmTerm_0519,540.0
SM_0059,wind,ElmTerm_0519,540.0
SM_0060,wind,ElmTerm_0519,540.0
SM_0061,wind,ElmTerm_0519,540.0
SM_0062,wind,ElmTerm_0519,540.0
SM_0063,wind,ElmTerm_0519,540.0
SM_0064,wind,ElmTerm_0519,540.0
SM_0065,wind,ElmTerm_0519,540.0
SM_0066,wind,ElmTerm_0519,540.0
SM_0067,wind,ElmTerm_0519,540.0
SM_0068,wind,ElmTerm_0519,540.0
SM_0069,wind,ElmTerm_0519,540.0
SM_0070,wind,ElmTerm_0519,540.0
SM_0071,wind,ElmTerm_0519,540.0
SM_0072,wind,ElmTerm_0519,540.0
SM_0073,wind,ElmTerm_0519,540.0
SM_0074,wind,ElmTerm_0519,540.0
SM_0075,wind,ElmTerm_0519,540.0
SM_0076,wind,ElmTerm_0255,540.0
SM_0077,wind,ElmTerm_0255,540.0
SM_0078,wind,ElmTerm_0519,540.0
SM_0079,wind,ElmTerm_0519,540.0
SM_0080,gas,ElmTerm_0236,67.5
SM_0081,wind,ElmTerm_0252,540.0
SM_0082,wind,ElmTerm_0275,900.0
SM_0083,wind,ElmTerm_0275,900.0
SM_0084,wind,ElmTerm_0275,900.0
SM_0085,wind,ElmTerm_0275,900.0
SM_0086,wind,ElmTerm_0275,900.0
SM_0087,wind,ElmTerm_0275,900.0
SM_0088,wind,ElmTerm_0275,900.0
SM_0089,wind,ElmTerm_0275,900.0
SM_0090,wind,ElmTerm_0275,900.0
SM_0091,wind,ElmTerm_0275,900.0
SM_0092,wind,ElmTerm_0275,900.0
