id,unom,desc
ElmTerm_virtual_0004,380.0,virtual terminal
ElmTerm_0005,380.0,380-kV-Umspannwerk Großgartach
ElmTerm_0048,380.0,Lastverteilung/Schaltanlage Kühmoos
ElmTerm_virtual_0005,380.0,virtual terminal
ElmTerm_0010,380.0,EnBW Umspannwerk Wendlingen
ElmTerm_virtual_0003,380.0,virtual terminal
ElmTerm_virtual_0007,380.0,virtual terminal
ElmTerm_0035,380.0,Umspannwerk Dellmensingen
ElmTerm_0017,380.0,Umspannwerk Niederstotzingen
ElmTerm_0020,220.0,Umspannwerk Stockach
ElmTerm_virtual_0012,220.0,virtual terminal
ElmTerm_virtual_0013,220.0,virtual terminal
ElmTerm_virtual_0014,220.0,virtual terminal
ElmTerm_virtual_0015,380.0,virtual terminal
ElmTerm_virtual_0016,380.0,virtual terminal
ElmTerm_virtual_0017,220.0,virtual terminal
ElmTerm_virtual_0018,220.0,virtual terminal
ElmTerm_virtual_0019,220.0,virtual terminal
ElmTerm_0030,380.0,Umspannwerk Trossingen
ElmTerm_virtual_0023,380.0,virtual terminal
ElmTerm_virtual_0022,380.0,virtual terminal
ElmTerm_0009,220.0,Umspannstation Hoheneck Amprion
ElmTerm_0007,220.0,Umspannwerk Hoheneck EnBW
ElmTerm_virtual_0024,380.0,virtual terminal
ElmTerm_virtual_0002,220.0,virtual terminal
ElmTerm_virtual_0026,220.0,virtual terminal
ElmTerm_virtual_0028,220.0,virtual terminal
ElmTerm_virtual_0029,220.0,virtual terminal
ElmTerm_virtual_0030,220.0,virtual terminal
ElmTerm_0798,220.0,floating end terminal
ElmTerm_0033,220.0,Bühl
ElmTerm_virtual_0031,220.0,virtual terminal
ElmTerm_virtual_0032,220.0,virtual terminal
ElmTerm_0041,380.0,380kV-Umspannwerk Pulverdingen
ElmTerm_virtual_0033,380.0,virtual terminal
ElmTerm_virtual_0034,380.0,virtual terminal
ElmTerm_0075,380.0,380-kV-Umspannwerk Eichstetten
ElmTerm_virtual_0035,380.0,virtual terminal
ElmTerm_0065,380.0,Philippsburg 380 kV
ElmTerm_tieline_0001,380.0,tieline terminal
ElmTerm_virtual_0036,380.0,virtual terminal
ElmTerm_virtual_0037,380.0,virtual terminal
ElmTerm_virtual_0038,380.0,virtual terminal
ElmTerm_0032,380.0,Umspannwerk Rotensohl
ElmTerm_0046,220.0,220-kV-Umspannwerk Eichstetten
ElmTerm_0021,220.0,Umspannwerk Gurtweil
ElmTerm_virtual_0040,380.0,virtual terminal
ElmTerm_tieline_0003,380.0,tieline terminal
ElmTerm_virtual_0041,380.0,virtual terminal
ElmTerm_virtual_0042,220.0,virtual terminal
ElmTerm_0049,220.0,Lastverteilung/Schaltanlage Kühmoos
ElmTerm_virtual_0043,220.0,virtual terminal
ElmTerm_virtual_0044,380.0,virtual terminal
ElmTerm_virtual_0045,380.0,virtual terminal
ElmTerm_virtual_0046,380.0,virtual terminal
ElmTerm_virtual_0049,220.0,virtual terminal
ElmTerm_virtual_0050,220.0,virtual terminal
ElmTerm_0071,220.0, 
ElmTerm_0743,220.0,added terminal voltage
ElmTerm_virtual_0051,380.0,virtual terminal
ElmTerm_0072,380.0,Kabelanfang PSP Wehr
ElmTerm_virtual_0052,380.0,virtual terminal
ElmTerm_virtual_0053,380.0,virtual terminal
ElmTerm_virtual_0054,220.0,virtual terminal
ElmTerm_tieline_0004,220.0,tieline terminal
ElmTerm_0799,380.0,floating end terminal
ElmTerm_virtual_0048,380.0,virtual terminal
ElmTerm_0061,220.0,Station Rheinau
ElmTerm_0066,220.0,Umspannwerk Altlußheim
ElmTerm_0745,380.0,added terminal voltage
ElmTerm_0008,380.0,Umspannstation Hoheneck Amprion
ElmTerm_0063,380.0, 
ElmTerm_virtual_0060,380.0,virtual terminal
ElmTerm_0057,220.0,Umspannwerk Weier
ElmTerm_0067,220.0,Umspannanlage Heidelberg-Süd
ElmTerm_0074,220.0,Umspannwerk Neurott
ElmTerm_virtual_0006,220.0,virtual terminal
ElmTerm_virtual_0061,380.0,virtual terminal
ElmTerm_0024,220.0,220-kV-Umspannwerk Kuppenheim
ElmTerm_virtual_0062,220.0,virtual terminal
ElmTerm_0034,220.0,Drehstromschaltwerk Neckarwestheim
ElmTerm_virtual_0063,220.0,virtual terminal
ElmTerm_0069,220.0,Mannheim
ElmTerm_virtual_0011,220.0,virtual terminal
ElmTerm_virtual_0066,380.0,virtual terminal
ElmTerm_virtual_0067,380.0,virtual terminal
ElmTerm_virtual_0068,380.0,virtual terminal
ElmTerm_virtual_0070,380.0,virtual terminal
ElmTerm_virtual_0071,380.0,virtual terminal
ElmTerm_virtual_0072,380.0,virtual terminal
ElmTerm_0054,380.0,Umspannwerk Hüffenhardt
ElmTerm_virtual_0073,380.0,virtual terminal
ElmTerm_0746,380.0,added terminal voltage
ElmTerm_virtual_0025,380.0,virtual terminal
ElmTerm_0052,220.0,Beuren
ElmTerm_virtual_0074,380.0,virtual terminal
ElmTerm_0018,380.0,Umspannwerk Obermooweiler
ElmTerm_0059,380.0,Karlsruhe-Daxlanden
ElmTerm_0060,220.0,Karlsruhe-Daxlanden
ElmTerm_virtual_0076,380.0,virtual terminal
ElmTerm_0064,380.0, 
ElmTerm_virtual_0077,220.0,virtual terminal
ElmTerm_virtual_0020,220.0,virtual terminal
ElmTerm_0078,380.0, 
ElmTerm_0070,380.0, 
ElmTerm_0028,220.0,Karlsruhe-West
ElmTerm_virtual_0055,220.0,virtual terminal
ElmTerm_virtual_0064,220.0,virtual terminal
ElmTerm_virtual_0058,220.0,virtual terminal
ElmTerm_virtual_0079,220.0,virtual terminal
ElmTerm_0748,380.0,added terminal voltage
ElmTerm_0047,380.0,Schwörstadt
ElmTerm_0081,380.0,Föhring
ElmTerm_0102,380.0,Umspannwerk Ottenhofen
ElmTerm_virtual_0081,380.0,virtual terminal
ElmTerm_0092,380.0,Umspannwerk Redwitz
ElmTerm_0093,380.0,Umspannwerk Oberhaid
ElmTerm_virtual_0082,380.0,virtual terminal
ElmTerm_0127,380.0,Isar
ElmTerm_virtual_0084,380.0,virtual terminal
ElmTerm_0088,380.0,Umspannwerk Raitersaich
ElmTerm_virtual_0080,380.0,virtual terminal
ElmTerm_virtual_0085,380.0,virtual terminal
ElmTerm_0118,380.0,Umspannwerk Aschaffenburg
ElmTerm_virtual_0087,380.0,virtual terminal
ElmTerm_0094,380.0,Umspannwerk Eltmann
ElmTerm_virtual_0088,380.0,virtual terminal
ElmTerm_0117,380.0,Umspannwerk Lechhausen; Übernahmestation Lechhausen
ElmTerm_0099,380.0,Umspannwerk Pleinting
ElmTerm_virtual_0086,220.0,virtual terminal
ElmTerm_0122,220.0,Umspannwerk Krün
ElmTerm_0100,220.0,Umspannwerk Pleinting
ElmTerm_virtual_0089,220.0,virtual terminal
ElmTerm_0087,380.0,Station Meitingen
ElmTerm_0082,380.0,Umspannwerk Oberbachern
ElmTerm_virtual_0090,380.0,virtual terminal
ElmTerm_0124,380.0,Umspannwerk Meitingen
ElmTerm_virtual_0091,380.0,virtual terminal
ElmTerm_0126,220.0,Umspannwerk Altheim
ElmTerm_0095,220.0,Umspannwerk Sittling
ElmTerm_0138,220.0,Umspannwerk Ludersheim
ElmTerm_0129,380.0,Umspannwerk Plattling
ElmTerm_virtual_0092,380.0,virtual terminal
