id,desc,buslv.cterm,buslv.__switch__.on_off,bushv.cterm,bushv.__switch__.on_off,typ_id
ElmTr2_0001, ,ElmTerm_0049,1,ElmTerm_0048,1,TypTr2_0002
ElmTr2_0002, ,ElmTerm_0023,1,ElmTerm_0022,1,TypTr2_0002
ElmTr2_0003, ,ElmTerm_0747,1,ElmTerm_0018,1,TypTr2_0002
ElmTr2_0004, ,ElmTerm_0121,1,ElmTerm_0120,1,TypTr2_0002
ElmTr2_0005, ,ElmTerm_0778,1,ElmTerm_0019,1,TypTr2_0002
ElmTr2_0006, ,ElmTerm_0004,1,ElmTerm_0003,1,TypTr2_0002
ElmTr2_0007, ,ElmTerm_0046,1,ElmTerm_0744,1,TypTr2_0002
ElmTr2_0008, ,ElmTerm_0103,1,ElmTerm_0102,1,TypTr2_0002
ElmTr2_0009, ,ElmTerm_0111,1,ElmTerm_0110,1,TypTr2_0002
ElmTr2_0010, ,ElmTerm_0083,1,ElmTerm_0082,1,TypTr2_0002
ElmTr2_0011, ,ElmTerm_0036,1,ElmTerm_0035,1,TypTr2_0002
ElmTr2_0012, ,ElmTerm_0137,1,ElmTerm_0779,1,TypTr2_0002
ElmTr2_0013, ,ElmTerm_0741,1,ElmTerm_0013,1,TypTr2_0002
ElmTr2_0014, ,ElmTerm_0016,1,ElmTerm_0015,1,TypTr2_0002
ElmTr2_0015, ,ElmTerm_0011,1,ElmTerm_0010,1,TypTr2_0002
ElmTr2_0016, ,ElmTerm_0100,1,ElmTerm_0099,1,TypTr2_0002
ElmTr2_0017, ,ElmTerm_0777,1,ElmTerm_0032,1,TypTr2_0002
ElmTr2_0018, ,ElmTerm_0098,1,ElmTerm_0097,1,TypTr2_0002
ElmTr2_0019, ,ElmTerm_0140,1,ElmTerm_0139,1,TypTr2_0002
ElmTr2_0020, ,ElmTerm_0786,1,ElmTerm_0001,1,TypTr2_0002
ElmTr2_0021, ,ElmTerm_0039,1,ElmTerm_0038,1,TypTr2_0002
ElmTr2_0022, ,ElmTerm_0042,1,ElmTerm_0041,1,TypTr2_0002
ElmTr2_0023, ,ElmTerm_0009,1,ElmTerm_0008,1,TypTr2_0002
ElmTr2_0024, ,ElmTerm_0007,1,ElmTerm_0746,1,TypTr2_0002
ElmTr2_0025, ,ElmTerm_0060,1,ElmTerm_0059,1,TypTr2_0002
ElmTr2_0026, ,ElmTerm_0776,1,ElmTerm_0058,1,TypTr2_0002
