voltage,length,id,substations,sh_lines,idx
380.0,23.245894462381226,w26504547,"['ElmTerm_virtual_0004', 'ElmTerm_0005']","LINESTRING (9.0844334 48.953202, 9.086561 48.9551135, 9.089227299999999 48.9575158, 9.088705300000001 48.9601552, 9.0880206 48.9637273, 9.08732 48.9674019, 9.086611599999999 48.9711031, 9.0858024 48.9752127, 9.090337999999999 48.9775102, 9.0946876 48.979721, 9.0991005 48.9819586, 9.1034349 48.9841872, 9.1067903 48.9866682, 9.110938000000001 48.9897193, 9.1155183 48.9930458, 9.1212225 48.997218, 9.122890699999999 48.9990728, 9.124504 49.0017991, 9.126416900000001 49.0050749, 9.126403099999999 49.0078056, 9.126401400000001 49.0122305, 9.1264097 49.0170294, 9.1264123 49.021886, 9.126071700000001 49.0252754, 9.125599100000001 49.0298075, 9.1251596 49.0341159, 9.1246852 49.0388161, 9.1242283 49.0433278, 9.123836799999999 49.0470344, 9.123423000000001 49.0509338, 9.1229151 49.0558599, 9.1224603 49.0601554, 9.1221104 49.0637716, 9.1215919 49.0688184, 9.1212673 49.0726017, 9.120915800000001 49.0766816, 9.1204933 49.081306, 9.120106399999999 49.0856059, 9.1197564 49.0896706, 9.119342899999999 49.0942867, 9.1190266 49.0977799, 9.118634800000001 49.1022743, 9.118335200000001 49.1057417, 9.1180258 49.1091923, 9.117668699999999 49.1130382, 9.1192981 49.1162543, 9.1205111 49.118721, 9.122055 49.1218295, 9.123697099999999 49.1250989, 9.1270682 49.1274426, 9.130631599999999 49.1299044, 9.1342485 49.1323911, 9.1380303 49.1350385, 9.1417734 49.1376085, 9.1455836 49.140224, 9.1488546 49.1417909, 9.148648 49.1423823, 9.148618799999999 49.1426103)",ElmLne_9
380.0,0.6704625451161356,w26660204,"['ElmTerm_0048', 'ElmTerm_virtual_0005']","LINESTRING (7.9596547 47.5962639, 7.9594197 47.5962583, 7.9590635 47.5962516, 7.9582823 47.5962508, 7.958124 47.5962456, 7.9565402 47.5965135, 7.9549564 47.597428, 7.9529823 47.5973475, 7.9519306 47.5964343)",ElmLne_10
380.0,0.3970870367135998,w28434522,"['ElmTerm_0010', 'ElmTerm_virtual_0003']","LINESTRING (9.403211499999999 48.6674163, 9.403429299999999 48.6677022, 9.4067405 48.6701079)",ElmLne_14
380.0,0.10400803119309046,w28434868,"['ElmTerm_virtual_0003', 'ElmTerm_virtual_0007']","LINESTRING (9.4067405 48.6701079, 9.4077778 48.669471)",ElmLne_15
380.0,40.56412905722045,w31105066,"['ElmTerm_0035', 'ElmTerm_0017']","LINESTRING (9.8848947 48.302972, 9.8863906 48.3020557, 9.8893524 48.2989649, 9.891871 48.2963081, 9.8934642 48.2961421, 9.8971201 48.2957281, 9.9016348 48.2952361, 9.9063228 48.2955427, 9.9123175 48.2959228, 9.9187897 48.2963294, 9.924315 48.2966845, 9.9300496 48.2970469, 9.9370127 48.2974965, 9.943823 48.2979141, 9.9499765 48.2997789, 9.955503999999999 48.3014345, 9.9616594 48.3032935, 9.9672144 48.3049671, 9.9729008 48.3066816, 9.9780698 48.3082197, 9.9842947 48.3100998, 9.9895584 48.3105211, 9.996394199999999 48.3110809, 9.998636599999999 48.3136319, 10.0013427 48.3167087, 10.0047385 48.3205597, 10.0092847 48.3234257, 10.0142097 48.3265433, 10.0181729 48.3290351, 10.0216738 48.3312528, 10.0268412 48.3322628, 10.032915 48.3334478, 10.0388295 48.3345961, 10.0437628 48.3355594, 10.0486498 48.3365094, 10.0548324 48.3377259, 10.0609769 48.3389165, 10.0672743 48.3401412, 10.0705548 48.3425482, 10.0735857 48.3447998, 10.0780737 48.348098, 10.0825151 48.3513901, 10.0864198 48.3542616, 10.0900046 48.3569218, 10.093805 48.359707, 10.0979429 48.3627558, 10.1016683 48.3655161, 10.1059193 48.3686273, 10.1086881 48.3706731, 10.1117108 48.3729128, 10.1134488 48.3773453, 10.1151665 48.3817655, 10.1167384 48.3858758, 10.1181917 48.3896328, 10.1194595 48.3928718, 10.1210099 48.3968464, 10.1226037 48.4010178, 10.1242809 48.4053344, 10.1257794 48.4091578, 10.1273382 48.4131682, 10.1289519 48.4173188, 10.1303516 48.421025, 10.1319173 48.4249623, 10.1336326 48.4293929, 10.1337957 48.4338431, 10.1339001 48.436673, 10.1340666 48.4410736, 10.1342006 48.4454923, 10.135987 48.4480339, 10.1387667 48.4521989, 10.1410571 48.4555716, 10.1438364 48.4597409, 10.146134 48.4630563, 10.1499966 48.4663395, 10.153537 48.469329, 10.1573699 48.4725654, 10.1612084 48.4757933, 10.1653328 48.479285, 10.1694766 48.4827699, 10.1736014 48.4862567, 10.1776239 48.4896454, 10.1814949 48.4929301, 10.1857438 48.4956473, 10.1898477 48.498287, 10.194217 48.5011126, 10.198436 48.5038169, 10.2024323 48.5063957, 10.2067996 48.5091929, 10.2106273 48.5116487, 10.214243 48.5140065, 10.2182608 48.5165828, 10.222046 48.5190313, 10.2261056 48.5216389, 10.2301699 48.5242851, 10.2326376 48.5270909, 10.234163 48.5289321)",ElmLne_24
220.0,2.2375759898939993,w40284792,"['ElmTerm_0020', 'ElmTerm_virtual_0012']","LINESTRING (9.0125203 47.8445065, 9.010183899999999 47.8431387, 9.007483199999999 47.841412, 9.003696400000001 47.8408349, 8.9996727 47.8402101, 8.9965028 47.839726, 8.9929913 47.8391714, 8.9887754 47.838536, 8.984924299999999 47.8379225)",ElmLne_31
220.0,20.065813770099528,w40692628,"['ElmTerm_virtual_0013', 'ElmTerm_virtual_0014']","LINESTRING (8.249750499999999 48.8491774, 8.2468187 48.8470888, 8.2436056 48.8459341, 8.242368900000001 48.8447519, 8.239486899999999 48.8422886, 8.2372657 48.840403, 8.234632100000001 48.8381509, 8.2318742 48.8358179, 8.229232700000001 48.8335238, 8.226547 48.8312368, 8.223999900000001 48.829048, 8.221594100000001 48.8270157, 8.2189634 48.8246709, 8.2150344 48.8238524, 8.2112154 48.8229342, 8.207608799999999 48.8221126, 8.2034717 48.8211524, 8.199172300000001 48.8199476, 8.196457499999999 48.8191869, 8.194902799999999 48.8187512, 8.1930403 48.8168, 8.191117999999999 48.814917, 8.1905284 48.8132763, 8.1879936 48.8106601, 8.1860093 48.808521, 8.1838607 48.8062944, 8.1819054 48.8042683, 8.179550300000001 48.8018063, 8.177219900000001 48.7993838, 8.174630199999999 48.7973616, 8.172049700000001 48.7953589, 8.169321399999999 48.7932408, 8.1664189 48.7909831, 8.1637302 48.788912, 8.1608258 48.7866361, 8.157848 48.7843124, 8.1551942 48.782248, 8.152005900000001 48.779776, 8.1489882 48.7774247, 8.146088000000001 48.7751696, 8.145759 48.7724203, 8.145412800000001 48.7696262, 8.145122199999999 48.7670231, 8.1448532 48.7640653, 8.1445303 48.7611711, 8.1442329 48.7583914, 8.1439576 48.7558129, 8.141141899999999 48.7537634, 8.1382987 48.7516987, 8.1355679 48.7497334, 8.132471199999999 48.747509, 8.129334099999999 48.7452121, 8.1263699 48.7430841, 8.1232685 48.7408619, 8.120058 48.7384799, 8.117068400000001 48.7363552, 8.1154531 48.7333534, 8.113771399999999 48.7303783, 8.112154500000001 48.7272209, 8.1105757 48.7243362, 8.108946299999999 48.7212598, 8.1070118 48.7184581, 8.1049857 48.7154562, 8.1031212 48.7127098, 8.101753499999999 48.7101024, 8.100107700000001 48.7070611)",ElmLne_33
380.0,1.5408895713410367,w40854817,"['ElmTerm_virtual_0015', 'ElmTerm_virtual_0016']","LINESTRING (8.821979499999999 48.9393723, 8.8243867 48.9377448, 8.8266534 48.9357051, 8.8287318 48.9338182, 8.8307482 48.9319816, 8.832977100000001 48.9299495, 8.8342098 48.9281594)",ElmLne_34
220.0,0.31475424382441336,w40897681,"['ElmTerm_virtual_0017', 'ElmTerm_virtual_0018']","LINESTRING (8.4286507 48.9598157, 8.4250901 48.9614117)",ElmLne_36
220.0,0.23072466725322632,w40897682,"['ElmTerm_virtual_0018', 'ElmTerm_virtual_0019']","LINESTRING (8.4281544 48.9619193, 8.4250901 48.9614117)",ElmLne_37
