name,source,capacity(MW),assigned_term,dist_to_term,sh_pp_og,idx
Wasserkraftwerk Karlstor,hydro,3.0,ElmTerm_0067,7.330477307231025,POINT (8.717092600000001 49.41614),SM_0001
,wind,1.5,ElmTerm_0037,19.281984747071153,POINT (8.5831344 47.8890609),SM_0002
,wind,1.5,ElmTerm_0013,9.063396276610687,POINT (9.636163 48.532873),SM_0003
,wind,1.5,ElmTerm_0032,21.92107240205212,POINT (9.947486 48.659704),SM_0004
,wind,1.5,ElmTerm_0032,22.21781681139607,POINT (9.946018 48.655263),SM_0005
,wind,1.5,ElmTerm_0032,22.0897590764889,POINT (9.946545 48.657319),SM_0006
,wind,1.5,ElmTerm_0032,24.20531179294139,POINT (9.923314899999999 48.6450855),SM_0007
,wind,0.66,ElmTerm_0032,22.796676839824354,POINT (9.936788 48.656202),SM_0008
,wind,0.66,ElmTerm_0032,22.69480063594751,POINT (9.937226000000001 48.657863),SM_0009
,wind,0.66,ElmTerm_0032,23.0025073790361,POINT (9.936229000000001 48.652437),SM_0010
,wind,0.66,ElmTerm_0032,22.89039113401937,POINT (9.936643999999999 48.654305),SM_0011
,wind,0.6,ElmTerm_0040,23.988151549500735,POINT (8.575825 48.397013),SM_0012
,wind,0.85,ElmTerm_0012,22.062484672528527,POINT (9.8582971 48.6652641),SM_0013
,wind,0.85,ElmTerm_0012,22.097703948063472,POINT (9.8583605 48.6637983),SM_0014
,wind,0.85,ElmTerm_0012,22.132963119766444,POINT (9.8584228 48.662379),SM_0015
,wind,0.85,ElmTerm_0012,22.078244422198605,POINT (9.8589614 48.6668708),SM_0016
,wind,0.66,ElmTerm_0013,20.645132956327497,POINT (9.934368599999999 48.5709547),SM_0017
,wind,2.0,ElmTerm_0013,20.908410332544495,POINT (9.9391508 48.5705234),SM_0018
,wind,0.66,ElmTerm_0013,21.132864821286386,POINT (9.940258099999999 48.5730308),SM_0019
,wind,0.66,ElmTerm_0013,20.935596046615643,POINT (9.937021 48.5730061),SM_0020
,wind,2.0,ElmTerm_0013,13.484876247697624,POINT (9.748494300000001 48.5826492),SM_0021
,wind,0.85,ElmTerm_0013,9.971989843944089,POINT (9.707134 48.554635),SM_0022
,wind,0.85,ElmTerm_0013,9.635808550431785,POINT (9.708501 48.551586),SM_0023
,wind,0.85,ElmTerm_0013,9.491290682956935,POINT (9.703389 48.550331),SM_0024
,wind,0.85,ElmTerm_0096,7.283054878528063,POINT (9.599740000000001 49.733039),SM_0025
,wind,0.6,ElmTerm_0012,21.536605609907173,POINT (9.8497653 48.6612278),SM_0026
,wind,0.66,ElmTerm_0040,23.925692041191006,POINT (8.5757668 48.3955133),SM_0027
,wind,0.6,ElmTerm_0052,14.695457496767183,POINT (8.6885157 47.8695228),SM_0028
,wind,0.6,ElmTerm_0052,14.946670690408306,POINT (8.6844561 47.8692198),SM_0029
,wind,1.5,ElmTerm_0013,9.345858519862173,POINT (9.628231899999999 48.5322732),SM_0030
,wind,1.5,ElmTerm_0040,27.07645468202195,POINT (8.507076 48.301644),SM_0031
,wind,0.85,ElmTerm_0040,32.899621475189676,POINT (8.444988 48.39167),SM_0032
,wind,0.85,ElmTerm_0014,32.815947990940145,POINT (8.445373 48.393525),SM_0033
,wind,0.85,ElmTerm_0014,23.26065408642421,POINT (8.523777300000001 48.4669473),SM_0034
,wind,0.85,ElmTerm_0096,7.605436447653016,POINT (9.599176 49.730118),SM_0035
