name,source,capacity(MW),assigned_term,lat,lon,sh_pp_agg,idx
Kombiblock,gas,41.9,ElmTerm_0029,8.64158407779194,48.89005251550222,POINT (8.64158407779194 48.89005251550222),SM_0001
,coal,1020.0,ElmTerm_0799,9.2072627,49.1777563,POINT (9.207262699999999 49.1777563),SM_0002
Wirbelschichtblock,coal,29.7,ElmTerm_0029,8.64158407779194,48.89005251550222,POINT (8.64158407779194 48.89005251550222),SM_0003
Biomasseblock,biomass,13.3,ElmTerm_0029,8.64158407779194,48.89005251550222,POINT (8.64158407779194 48.89005251550222),SM_0004
Laufwasserkraftwerk Mühltal,hydro,11.2,ElmTerm_0086,11.293972749310488,48.052042789622035,POINT (11.29397274931049 48.05204278962204),SM_0005
Windkraftanlage Winnberg 2,wind,3000.0,ElmTerm_0138,11.326954195915937,49.39348134884771,POINT (11.32695419591594 49.39348134884771),SM_0006
Windkraftanlage Deining 2,wind,600.0,ElmTerm_0138,11.326954195915937,49.39348134884771,POINT (11.32695419591594 49.39348134884771),SM_0007
Windkraftwerk Pilsach 1,wind,2000.0,ElmTerm_0138,11.326954195915937,49.39348134884771,POINT (11.32695419591594 49.39348134884771),SM_0008
,wind,625.0,ElmTerm_0105,10.972903946853963,49.55850741164437,POINT (10.97290394685396 49.55850741164437),SM_0009
Laufwasserkraftwerk Landau,hydro,12.6,ElmTerm_0129,12.851745119882445,48.763297852608254,POINT (12.85174511988244 48.76329785260825),SM_0010
Laufwasserkraftwerk Ettling,hydro,12.6,ElmTerm_0129,12.851745119882445,48.763297852608254,POINT (12.85174511988244 48.76329785260825),SM_0011
Laufwasserkraftwerk Pielweichs,hydro,12.6,ElmTerm_0129,12.851745119882445,48.763297852608254,POINT (12.85174511988244 48.76329785260825),SM_0012
Windkraftanlage Harenzhofen,wind,2400.0,ElmTerm_0138,11.326954195915937,49.39348134884771,POINT (11.32695419591594 49.39348134884771),SM_0013
Windkraftanlage Winnberg 3,wind,3400.0,ElmTerm_0138,11.326954195915937,49.39348134884771,POINT (11.32695419591594 49.39348134884771),SM_0014
,gas,63.0,ElmTerm_0132,12.747462509137112,48.148745343941634,POINT (12.74746250913711 48.14874534394163),SM_0015
,biomass,20.0,ElmTerm_0779,11.80760570062169,48.45542681955668,POINT (11.80760570062169 48.45542681955668),SM_0016
,oil,50.0,ElmTerm_0779,11.80760570062169,48.45542681955668,POINT (11.80760570062169 48.45542681955668),SM_0017
Windkraftanlage Neumarkt 1,wind,2000.0,ElmTerm_0138,11.326954195915937,49.39348134884771,POINT (11.32695419591594 49.39348134884771),SM_0018
Windkraftwerk Pilsach 2,wind,2000.0,ElmTerm_0138,11.326954195915937,49.39348134884771,POINT (11.32695419591594 49.39348134884771),SM_0019
Windkraftanlage Berching 7,wind,3200.0,ElmTerm_0095,11.79241387643633,48.8382240503595,POINT (11.79241387643633 48.8382240503595),SM_0020
Windkraftanlage Berching 6,wind,3200.0,ElmTerm_0095,11.79241387643633,48.8382240503595,POINT (11.79241387643633 48.8382240503595),SM_0021
Windkraftanlage Berching 3,wind,3200.0,ElmTerm_0138,11.326954195915937,49.39348134884771,POINT (11.32695419591594 49.39348134884771),SM_0022
,hydro,27.0,ElmTerm_0085,11.813232930463515,48.2212664832132,POINT (11.81323293046352 48.2212664832132),SM_0023
Windkraftanlage Unterried 1,wind,3000.0,ElmTerm_0138,11.326954195915937,49.39348134884771,POINT (11.32695419591594 49.39348134884771),SM_0024
Windkraftanlage Pilsach 5,wind,3200.0,ElmTerm_0138,11.326954195915937,49.39348134884771,POINT (11.32695419591594 49.39348134884771),SM_0025
Windkraftwerk Pilsach 3,wind,3200.0,ElmTerm_0138,11.326954195915937,49.39348134884771,POINT (11.32695419591594 49.39348134884771),SM_0026
