name,geometry
Umspannwerk Mühlhausen,"POLYGON ((9.213984099999999 48.852172, 9.214874999999999 48.8534145, 9.2163153 48.852914, 9.217455299999999 48.8525179, 9.216643100000001 48.8515684, 9.21645 48.8516175, 9.216108800000001 48.8511941, 9.2151207 48.8515513, 9.213984099999999 48.852172))"
Umspannwerk Weilimdorf,"POLYGON ((9.095496199999999 48.8281212, 9.097923 48.8286391, 9.098392799999999 48.8275405, 9.098940199999999 48.8275391, 9.098947300000001 48.8274294, 9.0984731 48.8273643, 9.0982678 48.827324, 9.097995900000001 48.8272363, 9.0974827 48.8270512, 9.0971099 48.8270309, 9.097029300000001 48.8271047, 9.0965565 48.8269956, 9.0961987 48.8272545, 9.096119099999999 48.8273257, 9.095774499999999 48.8276878, 9.095496199999999 48.8281212))"
Umspannwerk Herbertingen,"POLYGON ((9.429680599999999 48.0631178, 9.4219033 48.0641462, 9.422040600000001 48.0644503, 9.4206416 48.0646051, 9.424359000000001 48.0656015, 9.4249341 48.0652974, 9.4289424 48.0644141, 9.429680599999999 48.0631178))"
Umspannwerk Herbertingen,"POLYGON ((9.429680599999999 48.0631178, 9.4219033 48.0641462, 9.422040600000001 48.0644503, 9.4206416 48.0646051, 9.424359000000001 48.0656015, 9.4249341 48.0652974, 9.4289424 48.0644141, 9.429680599999999 48.0631178))"
380-kV-Umspannwerk Großgartach,"POLYGON ((9.1472456 49.1425597, 9.1476606 49.1427061, 9.148947700000001 49.1431368, 9.1496046 49.143405, 9.150256199999999 49.143764, 9.150321999999999 49.1438003, 9.150397099999999 49.143839, 9.150568 49.1439301, 9.150513399999999 49.1439848, 9.151006000000001 49.1441583, 9.1534613 49.1450234, 9.154055700000001 49.1450612, 9.154559300000001 49.1444272, 9.154387 49.1435012, 9.1517023 49.1425669, 9.151404400000001 49.1429197, 9.1508897 49.1427359, 9.151133099999999 49.1424214, 9.149604800000001 49.1418967, 9.149457699999999 49.1419296, 9.1492299 49.1422143, 9.148324499999999 49.1419001, 9.147618100000001 49.142067, 9.1472456 49.1425597))"
380-kV-Umspannwerk Großgartach,"POLYGON ((9.1472456 49.1425597, 9.1476606 49.1427061, 9.148947700000001 49.1431368, 9.1496046 49.143405, 9.150256199999999 49.143764, 9.150321999999999 49.1438003, 9.150397099999999 49.143839, 9.150568 49.1439301, 9.150513399999999 49.1439848, 9.151006000000001 49.1441583, 9.1534613 49.1450234, 9.154055700000001 49.1450612, 9.154559300000001 49.1444272, 9.154387 49.1435012, 9.1517023 49.1425669, 9.151404400000001 49.1429197, 9.1508897 49.1427359, 9.151133099999999 49.1424214, 9.149604800000001 49.1418967, 9.149457699999999 49.1419296, 9.1492299 49.1422143, 9.148324499999999 49.1419001, 9.147618100000001 49.142067, 9.1472456 49.1425597))"
Umspannwerk Hoheneck EnBW,"POLYGON ((9.2008039 48.9137142, 9.2003913 48.9137428, 9.2000876 48.9137616, 9.1999896 48.9137688, 9.199953799999999 48.9135721, 9.199918200000001 48.9135734, 9.198887299999999 48.9136579, 9.198911600000001 48.9137907, 9.198344799999999 48.9138254, 9.197766 48.9138611, 9.197517899999999 48.9138739, 9.197412099999999 48.9138792, 9.197407 48.9138422, 9.1970767 48.9138637, 9.1965556 48.9138974, 9.196588999999999 48.9141025, 9.196106500000001 48.9141346, 9.1961253 48.9143644, 9.195991100000001 48.9145544, 9.1954536 48.9146125, 9.195166199999999 48.9146427, 9.1947408 48.9146696, 9.1942222 48.9146999, 9.1941373 48.9141619, 9.193951200000001 48.91417, 9.1939122 48.9138751, 9.1931422 48.9139139, 9.1931657 48.9137533, 9.193175200000001 48.9136045, 9.1931505 48.9134249, 9.193128099999999 48.9133571, 9.1931189 48.9132859, 9.193109400000001 48.9132238, 9.1931054 48.9131913, 9.193089799999999 48.9130836, 9.193088100000001 48.9130235, 9.193084600000001 48.9124508, 9.1936853 48.9124207, 9.193588 48.9117335, 9.194379899999999 48.9116799, 9.1944097 48.911842, 9.1965786 48.9116963, 9.196623199999999 48.9119865, 9.200770199999999 48.9116973, 9.2007671 48.912782, 9.2007627 48.9134255, 9.2007832 48.9135799, 9.2008039 48.9137142))"
Umspannstation Hoheneck Amprion,"POLYGON ((9.188545100000001 48.9137803, 9.1887647 48.9150116, 9.1888782 48.9154833, 9.192027599999999 48.9152953, 9.192777599999999 48.9152258, 9.1928801 48.9147209, 9.1928517 48.9134461, 9.1914917 48.9133826, 9.190007 48.9135063, 9.1892143 48.9136221, 9.1892295 48.9136981, 9.188545100000001 48.9137803))"
Umspannstation Hoheneck Amprion,"POLYGON ((9.188545100000001 48.9137803, 9.1887647 48.9150116, 9.1888782 48.9154833, 9.192027599999999 48.9152953, 9.192777599999999 48.9152258, 9.1928801 48.9147209, 9.1928517 48.9134461, 9.1914917 48.9133826, 9.190007 48.9135063, 9.1892143 48.9136221, 9.1892295 48.9136981, 9.188545100000001 48.9137803))"
EnBW Umspannwerk Wendlingen,"POLYGON ((9.3970834 48.6672464, 9.3976978 48.6681028, 9.397876 48.6683512, 9.398212300000001 48.668267, 9.398561000000001 48.6687949, 9.399275899999999 48.6685345, 9.399676899999999 48.6683884, 9.402409799999999 48.6672974, 9.402780399999999 48.6677367, 9.4031594 48.6677513, 9.4042855 48.6673205, 9.403408199999999 48.6664005, 9.403291299999999 48.6663745, 9.402832800000001 48.6665479, 9.4026099 48.6663145, 9.4025193 48.6662248, 9.402806699999999 48.6661203, 9.402955800000001 48.6659692, 9.4031874 48.6658621, 9.403231 48.6657977, 9.4031859 48.6657473, 9.4031708 48.6657323, 9.4025274 48.6650953, 9.4024641 48.66509, 9.401692499999999 48.6652614, 9.400804000000001 48.6655286, 9.3993614 48.6661597, 9.397847000000001 48.6668418, 9.3970992 48.6670902, 9.3970834 48.6672464))"
