voltage,name,idx,sh_terminals,trafos
380.0,380-kV-Umspannwerk Großgartach,ElmTerm_0005,"LINESTRING (9.151354002610342 49.14974656582618, 9.150738244338381 49.14971592558869, 9.150128415104563 49.14962429995845, 9.149530387943297 49.14947257134038, 9.148949922256937 49.149262200964, 9.14839260834675 49.14899521481104, 9.147863813571421 49.14867418410411, 9.147368630651824 49.1483022005444, 9.146911828620009 49.14788284653695, 9.146497806885073 49.14742016069007, 9.14613055285845 49.14691859892142, 9.14581360354698 49.146382991545, 9.14555001148384 49.14581849675265, 9.14534231532569 49.1452305509378, 9.145192515399364 49.14462481634004, 9.145102054433819 49.14400712651469, 9.145071803663038 49.14338343015242, 9.145102054433819 49.14275973379014, 9.145192515399364 49.14214204396478, 9.14534231532569 49.14153630936703, 9.14555001148384 49.14094836355217, 9.14581360354698 49.14038386875982, 9.14613055285845 49.13984826138341, 9.146497806885073 49.13934669961476, 9.146911828620009 49.13888401376789, 9.147368630651824 49.13846465976043, 9.147863813571421 49.13809267620072, 9.14839260834675 49.13777164549379, 9.148949922256937 49.13750465934082, 9.149530387943297 49.13729428896445, 9.150128415104563 49.13714256034637, 9.150738244338381 49.13705093471614, 9.151354002610342 49.13702029447865, 9.151969759816257 49.13705093471614, 9.152579585892912 49.13714256034637, 9.153177607927221 49.13729428896445, 9.153758066713856 49.13750465934082, 9.154315372216709 49.13777164549379, 9.154844157400175 49.13809267620072, 9.155339329911998 49.13846465976043, 9.155796121120089 49.13888401376789, 9.156210132031299 49.13934669961476, 9.156577375650148 49.13984826138341, 9.156894315369758 49.14038386875982, 9.157157899025561 49.14094836355217, 9.157365588283989 49.14153630936703, 9.157515383083359 49.14214204396478, 9.15760584089174 49.14275973379014, 9.157636090596476 49.14338343015242, 9.15760584089174 49.14400712651469, 9.157515383083359 49.14462481634004, 9.157365588283989 49.1452305509378, 9.157157899025561 49.14581849675265, 9.156894315369758 49.146382991545, 9.156577375650148 49.14691859892142, 9.156210132031299 49.14742016069007, 9.155796121120089 49.14788284653695, 9.155339329911998 49.1483022005444, 9.154844157400175 49.14867418410411, 9.154315372216709 49.14899521481104, 9.153758066713856 49.149262200964, 9.153177607927221 49.14947257134038, 9.152579585892912 49.14962429995845, 9.151969759816257 49.14971592558869, 9.151354002610342 49.14974656582618)",['ElmTr2_0028']
380.0,Lastverteilung/Schaltanlage Kühmoos,ElmTerm_0048,"LINESTRING (7.958075914315601 47.60090481250899, 7.957549110606845 47.60087868065981, 7.95702737963846 47.60080053677626, 7.95651574599379 47.60067113342664, 7.956019137031444 47.60049171683598, 7.955542335430336 47.60026401488411, 7.955089933127435 47.59999022046529, 7.954666287091948 47.59967297036946, 7.954275477361964 47.59931531988846, 7.95392126774779 47.59892071339194, 7.953607069580601 47.59849295115617, 7.953335908855655 47.59803615276533, 7.95311039708665 47.59755471743762, 7.952932706152049 47.59705328165844, 7.952804547375758 47.59653667452844, 7.952727155043716 47.5960098712567, 7.952701274515242 47.5954779452467, 7.952727155043716 47.59494601923671, 7.952804547375758 47.59441921596496, 7.952932706152049 47.59390260883497, 7.95311039708665 47.59340117305578, 7.953335908855655 47.59291973772807, 7.953607069580601 47.59246293933722, 7.95392126774779 47.59203517710146, 7.954275477361964 47.59164057060493, 7.954666287091948 47.59128292012393, 7.955089933127435 47.5909656700281, 7.955542335430336 47.59069187560929, 7.956019137031444 47.59046417365742, 7.95651574599379 47.59028475706675, 7.95702737963846 47.59015535371714, 7.957549110606845 47.59007720983359, 7.958075914315601 47.59005107798441, 7.958602717347237 47.59007720983359, 7.959124446310286 47.59015535371714, 7.959636076698465 47.59028475706675, 7.96013268127831 47.59046417365742, 7.960609477539327 47.59069187560929, 7.961061873749763 47.5909656700281, 7.961485513174538 47.59128292012393, 7.961876316029614 47.59164057060493, 7.962230518768878 47.59203517710146, 7.962544710325357 47.59246293933722, 7.962815864957838 47.59291973772807, 7.963041371386751 47.59340117305578, 7.963219057938854 47.59390260883497, 7.963347213458652 47.59441921596496, 7.963424603785359 47.59494601923671, 7.963450483636714 47.5954779452467, 7.963424603785359 47.5960098712567, 7.963347213458652 47.59653667452844, 7.963219057938854 47.59705328165844, 7.963041371386751 47.59755471743762, 7.962815864957838 47.59803615276533, 7.962544710325357 47.59849295115617, 7.962230518768878 47.59892071339194, 7.961876316029614 47.59931531988846, 7.961485513174538 47.59967297036946, 7.961061873749763 47.59999022046529, 7.960609477539327 47.60026401488411, 7.96013268127831 47.60049171683598, 7.959636076698465 47.60067113342664, 7.959124446310286 47.60080053677626, 7.958602717347237 47.60087868065981, 7.958075914315601 47.60090481250899)",['ElmTr2_0001']
380.0,EnBW Umspannwerk Wendlingen,ElmTerm_0010,"LINESTRING (9.400588989804362 48.672599746789, 9.400042888265471 48.67257255336738, 9.399502045133641 48.67249123499003, 9.398971669060682 48.67235657479738, 9.398456867917821 48.67216986964069, 9.397962599601817 48.6719329175927, 9.397493624284625 48.67164800063114, 9.397054458566554 48.67131786266212, 9.396649331974681 48.67094568309475, 9.396282146225502 48.67053504622172, 9.395956437644458 48.67008990670057, 9.395675343104328 48.66961455146826, 9.395441569810801 48.66911355845551, 9.395257369226302 48.66859175249892, 9.395124515383424 48.66805415887509, 9.395044287796942 48.6675059549045, 9.395017459139099 48.66695242009106, 9.395044287796942 48.66639888527762, 9.395124515383424 48.66585068130703, 9.395257369226302 48.6653130876832, 9.395441569810801 48.66479128172661, 9.395675343104328 48.66429028871386, 9.395956437644458 48.66381493348155, 9.396282146225502 48.66336979396041, 9.396649331974681 48.66295915708738, 9.397054458566554 48.66258697751999, 9.397493624284625 48.66225683955098, 9.397962599601817 48.66197192258943, 9.398456867917821 48.66173497054143, 9.398971669060682 48.66154826538474, 9.399502045133641 48.6614136051921, 9.400042888265471 48.66133228681474, 9.400588989804362 48.66130509339312, 9.401135090481507 48.66133228681474, 9.401675931061227 48.6614136051921, 9.402206302989779 48.66154826538474, 9.40272109855521 48.66173497054143, 9.403215360075096 48.66197192258943, 9.403684327638656 48.66225683955098, 9.40412348494354 48.66258697751999, 9.404528602785994 48.66295915708738, 9.404895779785754 48.66336979396041, 9.405221479953619 48.66381493348155, 9.405502566740111 48.66429028871386, 9.405736333237519 48.66479128172661, 9.405920528244589 48.6653130876832, 9.406053377943065 48.66585068130703, 9.406133602977434 48.66639888527762, 9.406160430773532 48.66695242009106, 9.406133602977434 48.6675059549045, 9.406053377943065 48.66805415887509, 9.405920528244589 48.66859175249892, 9.405736333237519 48.66911355845551, 9.405502566740111 48.66961455146826, 9.405221479953619 48.67008990670057, 9.404895779785754 48.67053504622172, 9.404528602785994 48.67094568309475, 9.40412348494354 48.67131786266212, 9.403684327638656 48.67164800063114, 9.403215360075096 48.6719329175927, 9.40272109855521 48.67216986964069, 9.402206302989779 48.67235657479738, 9.401675931061227 48.67249123499003, 9.401135090481507 48.67257255336738, 9.400588989804362 48.672599746789)",['ElmTr2_0015']
380.0,Umspannwerk Dellmensingen,ElmTerm_0035,"LINESTRING (9.885515158824255 48.30962351432147, 9.884979323093582 48.30959679369389, 9.884448646893249 48.30951688914544, 9.88392824096244 48.30938457020058, 9.883423117155264 48.30920111116309, 9.882938140171525 48.30896827884379, 9.882477980703873 48.30868831554518, 9.88204707045267 48.30836391746689, 9.881649559441948 48.30799820873974, 9.881289276047688 48.30759471133868, 9.880969690123573 48.30715731116427, 9.88069387957947 48.30669022061929, 9.880464500734798 48.30619793804103, 9.880283762732345 48.30568520437982, 9.880153406259231 48.30515695754112, 9.880074686779995 48.30461828483073, 9.880048362443477 48.30407437396134, 9.880074686779995 48.30353046309195, 9.880153406259231 48.30299179038157, 9.880283762732345 48.30246354354286, 9.880464500734798 48.30195080988165, 9.88069387957947 48.30145852730339, 9.880969690123573 48.30099143675841, 9.881289276047688 48.300554036584, 9.881649559441948 48.30015053918294, 9.88204707045267 48.29978483045578, 9.882477980703873 48.2994604323775, 9.882938140171525 48.2991804690789, 9.883423117155264 48.2989476367596, 9.88392824096244 48.2987641777221, 9.884448646893249 48.29863185877725, 9.884979323093582 48.29855195422878, 9.885515158824255 48.29852523360123, 9.886050993681639 48.29855195422878, 9.886581667295678 48.29863185877725, 9.887102069026566 48.2987641777221, 9.887607187181604 48.2989476367596, 9.888092157278193 48.2991804690789, 9.88855230888835 48.2994604323775, 9.888983210613677 48.29978483045578, 9.889380712757784 48.30015053918294, 9.889740987285425 48.300554036584, 9.890060564683665 48.30099143675841, 9.890336367370274 48.30145852730339, 9.890565739327796 48.30195080988165, 9.890746471678108 48.30246354354286, 9.890876823951306 48.30299179038157, 9.890955540844244 48.30353046309195, 9.890981864307477 48.30407437396134, 9.890955540844244 48.30461828483073, 9.890876823951306 48.30515695754112, 9.890746471678108 48.30568520437982, 9.890565739327796 48.30619793804103, 9.890336367370274 48.30669022061929, 9.890060564683665 48.30715731116427, 9.889740987285425 48.30759471133868, 9.889380712757784 48.30799820873974, 9.888983210613677 48.30836391746689, 9.88855230888835 48.30868831554518, 9.888092157278193 48.30896827884379, 9.887607187181604 48.30920111116309, 9.88710206902657 48.30938457020058, 9.886581667295678 48.30951688914544, 9.886050993681639 48.30959679369389, 9.885515158824255 48.30962351432147)",['ElmTr2_0011']
380.0,Umspannwerk Niederstotzingen,ElmTerm_0017,"LINESTRING (10.23164158519251 48.5342191153623, 10.23121168459241 48.53419765443552, 10.23078592359629 48.5341334783356, 10.23036840254012 48.5340272051135, 10.22996314242027 48.53387985823843, 10.22957404616749 48.53369285674133, 10.22920486105752 48.53346800154886, 10.22885914262022 48.53320745813944, 10.22854022039498 48.53291373568852, 10.22825116586226 48.53258966290388, 10.22799476286034 48.53223836078359, 10.2277734807721 48.5318632125591, 10.22758945074045 48.5314678311129, 10.22744444514128 48.53105602418444, 10.22733986051202 48.53063175769957, 10.22727670410012 48.53019911757647, 10.22725558416117 48.52976227037603, 10.22727670410012 48.52932542317558, 10.22733986051202 48.52889278305248, 10.22744444514128 48.52846851656762, 10.22758945074045 48.52805670963917, 10.2277734807721 48.52766132819296, 10.22799476286034 48.52728617996847, 10.22825116586226 48.52693487784818, 10.22854022039498 48.52661080506353, 10.22885914262022 48.52631708261263, 10.22920486105752 48.5260565392032, 10.22957404616749 48.52583168401073, 10.22996314242027 48.52564468251363, 10.23036840254012 48.52549733563856, 10.23078592359629 48.52539106241645, 10.23121168459241 48.52532688631655, 10.23164158519251 48.52530542538975, 10.23207148521039 48.52532688631655, 10.23249724448223 48.52539106241645, 10.23291476273831 48.52549733563856, 10.23332001908989 48.52564468251363, 10.233709110751 48.52583168401073, 10.23407829062238 48.5260565392032, 10.23442400337548 48.52631708261263, 10.23474291968935 48.52661080506353, 10.23503196831069 48.52693487784818, 10.23528836562842 48.52728617996847, 10.23550964247806 48.52766132819296, 10.23569366791804 48.52805670963917, 10.23583866974893 48.52846851656762, 10.23594325157811 48.52889278305248, 10.23600640626573 48.52932542317558, 10.23602752562246 48.52976227037603, 10.23600640626573 48.53019911757647, 10.23594325157811 48.53063175769957, 10.23583866974893 48.53105602418444, 10.23569366791804 48.5314678311129, 10.23550964247806 48.5318632125591, 10.23528836562842 48.53223836078359, 10.23503196831069 48.53258966290388, 10.23474291968935 48.53291373568852, 10.23442400337548 48.53320745813944, 10.23407829062238 48.53346800154886, 10.233709110751 48.53369285674133, 10.23332001908989 48.53387985823843, 10.23291476273831 48.5340272051135, 10.23249724448223 48.5341334783356, 10.23207148521039 48.53419765443552, 10.23164158519251 48.5342191153623)",[]
220.0,Umspannwerk Stockach,ElmTerm_0020,"LINESTRING (9.013402387259358 47.84826430670143, 9.013120128894617 47.84825026687487, 9.012840588614843 47.8482082826064, 9.012566458555156 47.84813875822748, 9.01230037875316 47.84804236329588, 9.012044911723365 47.84792002614748, 9.011802517777969 47.84777292495592, 9.011575531331751 47.84760247638607, 9.011366138419275 47.84741032195083, 9.011176355640995 47.84719831220245, 9.011008010741058 47.84696848891072, 9.010862725003873 47.84672306539957, 9.010741897639084 47.84646440523156, 9.010646692305308 47.84619499944554, 9.010578025902499 47.84591744256645, 9.010536559740927 47.8456344076188, 9.010522693171799 47.84534862038386, 9.010536559740927 47.84506283314891, 9.010578025902499 47.84477979820127, 9.010646692305308 47.84450224132219, 9.010741897639084 47.84423283553615, 9.010862725003873 47.84397417536815, 9.011008010741058 47.84372875185699, 9.011176355640995 47.84349892856527, 9.011366138419275 47.84328691881689, 9.011575531331751 47.84309476438165, 9.011802517777969 47.84292431581179, 9.012044911723365 47.84277721462023, 9.01230037875316 47.84265487747183, 9.012566458555156 47.84255848254023, 9.012840588614843 47.84248895816131, 9.013120128894617 47.84244697389285, 9.013402387259358 47.84243293406629, 9.013684645403533 47.84244697389285, 9.013964185030082 47.84248895816131, 9.014238314028992 47.84255848254023, 9.01450439240342 47.84265487747183, 9.014759857693717 47.84277721462023, 9.015002249654536 47.84292431581179, 9.015229233947363 47.84309476438165, 9.015438624620389 47.84328691881689, 9.015628405159214 47.84349892856527, 9.01579674790576 47.84372875185699, 9.015942031658366 47.84397417536815, 9.016062857283659 47.84423283553615, 9.016158061189868 47.84450224132219, 9.016226726531896 47.84477979820127, 9.016268192040245 47.84506283314891, 9.016282058388807 47.84534862038386, 9.016268192040245 47.8456344076188, 9.016226726531896 47.84591744256645, 9.016158061189868 47.84619499944554, 9.016062857283659 47.84646440523156, 9.015942031658366 47.84672306539957, 9.01579674790576 47.84696848891072, 9.015628405159214 47.84719831220245, 9.015438624620389 47.84741032195083, 9.015229233947363 47.84760247638607, 9.015002249654536 47.84777292495592, 9.014759857693717 47.84792002614748, 9.01450439240342 47.84804236329588, 9.014238314028992 47.84813875822748, 9.013964185030082 47.8482082826064, 9.013684645403533 47.84825026687487, 9.013402387259358 47.84826430670143)",[]
380.0,Umspannwerk Trossingen,ElmTerm_0030,"LINESTRING (8.616647722207359 48.06952918669366, 8.616301231426293 48.06951197037847, 8.615958077227928 48.06946048723547, 8.615621564388329 48.06937523307543, 8.615294933732102 48.06925702894254, 8.614981330920614 48.0691070132072, 8.614683776156435 48.06892663060296, 8.614405135095739 48.06871761831292, 8.614148091248897 48.06848198923966, 8.613915120135081 48.06822201261998, 8.613708465439883 48.06794019217084, 8.613530117405611 48.06763924197723, 8.613381793662457 48.06732206035403, 8.613264922685195 48.06699170193366, 8.613180630034808 48.0666513482483, 8.613129727517574 48.06630427708999, 8.613112705366099 48.06595383094372, 8.613129727517574 48.06560338479744, 8.613180630034808 48.06525631363913, 8.613264922685195 48.06491595995377, 8.613381793662457 48.0645856015334, 8.613530117405611 48.0642684199102, 8.613708465439883 48.06396746971659, 8.613915120135081 48.06368564926746, 8.614148091248897 48.06342567264777, 8.614405135095739 48.06319004357452, 8.614683776156435 48.06298103128447, 8.614981330920614 48.06280064868023, 8.615294933732102 48.06265063294489, 8.615621564388329 48.06253242881201, 8.615958077227928 48.06244717465196, 8.616301231426293 48.06239569150896, 8.616647722207359 48.06237847519377, 8.616994212670907 48.06239569150896, 8.617337365928918 48.06244717465196, 8.617673877241474 48.06253242881201, 8.618000505842641 48.06265063294489, 8.618314106150034 48.06280064868023, 8.618611658057311 48.06298103128447, 8.61889029601809 48.06319004357452, 8.619147336641122 48.06342567264777, 8.619380304531132 48.06368564926746, 8.61958695612641 48.06396746971659, 8.619765301303779 48.0642684199102, 8.619913622542837 48.0645856015334, 8.620030491465041 48.06491595995377, 8.620114782588383 48.06525631363913, 8.620165684165265 48.06560338479744, 8.620182705999223 48.06595383094372, 8.620165684165265 48.06630427708999, 8.620114782588383 48.0666513482483, 8.620030491465041 48.06699170193366, 8.619913622542837 48.06732206035403, 8.619765301303779 48.06763924197723, 8.61958695612641 48.06794019217084, 8.619380304531132 48.06822201261998, 8.619147336641122 48.06848198923966, 8.61889029601809 48.06871761831292, 8.618611658057311 48.06892663060296, 8.618314106150034 48.0691070132072, 8.618000505842641 48.06925702894254, 8.617673877241474 48.06937523307543, 8.617337365928918 48.06946048723547, 8.616994212670907 48.06951197037847, 8.616647722207359 48.06952918669366)",[]
220.0,Umspannstation Hoheneck Amprion,ElmTerm_0009,"LINESTRING (9.190787464274273 48.91795544898152, 9.190445077874889 48.91793840987572, 9.190105988517432 48.9178874566542, 9.189773461831907 48.91780308002436, 9.189450700255009 48.91768609257926, 9.18914081218802 48.91753762097195, 9.188846782060024 48.91735909506517, 9.188571441584775 48.91715223416098, 9.188317442488103 48.916919030443, 9.18808723096855 48.91666172979049, 9.187883024137289 48.91638281014941, 9.187706788664256 48.91608495766835, 9.187560221836282 48.91577104082955, 9.18744473520962 48.91544408282376, 9.187361441014462 48.91510723243531, 9.187311141442354 48.91476373371759, 9.187294320919788 48.91441689475101, 9.187311141442354 48.91407005578444, 9.187361441014462 48.91372655706671, 9.18744473520962 48.91338970667826, 9.187560221836282 48.91306274867247, 9.187706788664256 48.91274883183367, 9.187883024137289 48.91245097935261, 9.18808723096855 48.91217205971153, 9.188317442488103 48.91191475905902, 9.188571441584775 48.91168155534103, 9.188846782060024 48.91147469443685, 9.18914081218802 48.91129616853007, 9.189450700255009 48.91114769692276, 9.189773461831907 48.91103070947766, 9.190105988517432 48.91094633284781, 9.190445077874889 48.9108953796263, 9.190787464274273 48.9108783405205, 9.191129850342609 48.9108953796263, 9.191468938719654 48.91094633284781, 9.191801463813071 48.91103070947766, 9.192124223247355 48.91114769692276, 9.192434108703562 48.91129616853007, 9.192728135852937 48.91147469443685, 9.193003473096192 48.91168155534103, 9.193257468831703 48.91191475905902, 9.193487676990094 48.91217205971153, 9.193691880589366 48.91245097935261, 9.193868113083774 48.91274883183367, 9.194014677300965 48.91306274867247, 9.194130161785013 48.91338970667826, 9.194213454388066 48.91372655706671, 9.194263752979756 48.91407005578444, 9.194280573171278 48.91441689475101, 9.194263752979756 48.91476373371759, 9.194213454388066 48.91510723243531, 9.194130161785013 48.91544408282376, 9.194014677300965 48.91577104082955, 9.193868113083774 48.91608495766835, 9.193691880589366 48.91638281014941, 9.193487676990094 48.91666172979049, 9.193257468831703 48.916919030443, 9.193003473096192 48.91715223416098, 9.192728135852937 48.91735909506517, 9.192434108703562 48.91753762097195, 9.192124223247355 48.91768609257926, 9.191801463813071 48.91780308002436, 9.191468938719654 48.9178874566542, 9.191129850342609 48.91793840987572, 9.190787464274273 48.91795544898152)",['ElmTr2_0023']
220.0,Umspannwerk Hoheneck EnBW,ElmTerm_0007,"LINESTRING (9.196756580618874 48.91935119274193, 9.19613852065665 48.91932043403602, 9.195526411885895 48.91922845414147, 9.194926149294771 48.91907613887494, 9.19434351381498 48.91886495511569, 9.193784116645329 48.9185969366788, 9.193253345208959 48.9182746647283, 9.192756311264802 48.91790124291927, 9.192297801673172 48.91748026750785, 9.191882232289863 48.91701579271738, 9.191513605432963 48.916512291694, 9.191195471332305 48.91597461342782, 9.190930893932974 48.91540793605445, 9.190722421382469 48.91481771698679, 9.190572061485959 48.91420964035709, 9.190481262366152 48.91358956227572, 9.190450898514207 48.91296345443356, 9.190481262366152 48.9123373465914, 9.190572061485959 48.91171726851002, 9.190722421382469 48.91110919188033, 9.190930893932974 48.91051897281267, 9.191195471332305 48.9099522954393, 9.191513605432963 48.90941461717311, 9.191882232289863 48.90891111614973, 9.192297801673172 48.90844664135926, 9.192756311264802 48.90802566594785, 9.193253345208959 48.90765224413881, 9.193784116645329 48.90732997218831, 9.19434351381498 48.90706195375142, 9.194926149294771 48.90685076999218, 9.195526411885895 48.90669845472565, 9.19613852065665 48.90660647483109, 9.196756580618874 48.90657571612518, 9.197374639501648 48.90660647483109, 9.197986745075539 48.90669845472565, 9.198587002475232 48.90685076999218, 9.199169630968539 48.90706195375142, 9.199729019625133 48.90732997218831, 9.200259781349024 48.90765224413881, 9.200756804754528 48.90802566594785, 9.201215303386322 48.90844664135926, 9.2016308618098 48.90891111614973, 9.201999478128045 48.90941461717311, 9.202317602516226 48.9099522954393, 9.202582171402499 48.91051897281267, 9.202790636966517 48.91110919188033, 9.202940991671595 48.91171726851002, 9.203031787594538 48.9123373465914, 9.203062150367035 48.91296345443356, 9.203031787594538 48.91358956227572, 9.202940991671595 48.91420964035709, 9.202790636966517 48.91481771698679, 9.202582171402499 48.91540793605445, 9.202317602516226 48.91597461342782, 9.201999478128045 48.916512291694, 9.2016308618098 48.91701579271738, 9.201215303386322 48.91748026750785, 9.200756804754528 48.91790124291927, 9.200259781349024 48.9182746647283, 9.199729019625133 48.9185969366788, 9.199169630968539 48.91886495511569, 9.198587002475232 48.91907613887494, 9.197986745075539 48.91922845414147, 9.197374639501648 48.91932043403602, 9.196756580618874 48.91935119274193)",['ElmTr2_0024']
220.0,Bühl,ElmTerm_0033,"LINESTRING (8.120618277683658 48.70714935107426, 8.120443942835395 48.707140699807, 8.120271286852422 48.70711482932168, 8.12010197250947 48.70707198876518, 8.119937630401463 48.7070125907155, 8.11977984323979 48.70693720720833, 8.119630130609675 48.70684656422804, 8.119489934335386 48.7067415347161, 8.119360604594327 48.70662313016411, 8.119243386913668 48.70649249087263, 8.119139410174816 48.70635087496947, 8.119049675741246 48.70619964629316, 8.118975047814411 48.70604026125856, 8.118916245110634 48.70587425483067, 8.118873833939155 48.70570322574212, 8.118848222747973 48.70552882109654, 8.11883965819009 48.70535272050601, 8.118848222747973 48.70517661991549, 8.118873833939155 48.70500221526991, 8.118916245110634 48.70483118618137, 8.118975047814411 48.70466517975348, 8.119049675741246 48.70450579471887, 8.119139410174816 48.70435456604257, 8.119243386913668 48.70421295013941, 8.119360604594327 48.70408231084792, 8.119489934335386 48.70396390629593, 8.119630130609675 48.70385887678399, 8.11977984323979 48.70376823380371, 8.119937630401463 48.70369285029653, 8.12010197250947 48.70363345224686, 8.120271286852422 48.70359061169036, 8.120443942835395 48.70356474120504, 8.120618277683658 48.70355608993778, 8.120792612456235 48.70356474120504, 8.120965268215047 48.70359061169036, 8.121134582193982 48.70363345224686, 8.121298923812112 48.70369285029653, 8.121456710376863 48.70376823380371, 8.121606422325955 48.70385887678399, 8.121746617861291 48.70396390629593, 8.121875946833867 48.70408231084792, 8.121993163746039 48.70421295013941, 8.122097139745938 48.70435456604257, 8.122186873498487 48.70450579471887, 8.122261500828399 48.70466517975348, 8.122320303042295 48.70483118618137, 8.122362713849762 48.70500221526991, 8.122388324816784 48.70517661991549, 8.122396889298978 48.70535272050601, 8.122388324816784 48.70552882109654, 8.122362713849762 48.70570322574212, 8.122320303042295 48.70587425483067, 8.122261500828399 48.70604026125856, 8.122186873498487 48.70619964629316, 8.122097139745938 48.70635087496947, 8.121993163746039 48.70649249087263, 8.121875946833867 48.70662313016411, 8.121746617861291 48.7067415347161, 8.121606422325955 48.70684656422804, 8.121456710376863 48.70693720720833, 8.121298923812112 48.7070125907155, 8.121134582193982 48.70707198876518, 8.120965268215047 48.70711482932168, 8.120792612456235 48.707140699807, 8.120618277683658 48.70714935107426)",[]
