voltage,name,idx,sh_terminals,trafos
380.0,virtual terminal,ElmTerm_virtual_0004,POINT (9.0844334 48.953202),[]
380.0,virtual terminal,ElmTerm_virtual_0005,POINT (7.9519306 47.5964343),[]
380.0,virtual terminal,ElmTerm_virtual_0003,POINT (9.4067405 48.6701079),[]
380.0,virtual terminal,ElmTerm_virtual_0007,POINT (9.4077778 48.669471),[]
220.0,virtual terminal,ElmTerm_virtual_0012,POINT (8.984924299999999 47.8379225),[]
220.0,virtual terminal,ElmTerm_virtual_0013,POINT (8.249750499999999 48.8491774),[]
220.0,virtual terminal,ElmTerm_virtual_0014,POINT (8.100107700000001 48.7070611),[]
380.0,virtual terminal,ElmTerm_virtual_0015,POINT (8.821979499999999 48.9393723),[]
380.0,virtual terminal,ElmTerm_virtual_0016,POINT (8.8342098 48.9281594),[]
220.0,virtual terminal,ElmTerm_virtual_0017,POINT (8.4286507 48.9598157),[]
220.0,virtual terminal,ElmTerm_virtual_0018,POINT (8.4250901 48.9614117),[]
220.0,virtual terminal,ElmTerm_virtual_0019,POINT (8.4281544 48.9619193),[]
380.0,virtual terminal,ElmTerm_virtual_0023,POINT (8.629806800000001 48.057655),[]
380.0,virtual terminal,ElmTerm_virtual_0022,POINT (8.625445599999999 48.0557059),[]
380.0,virtual terminal,ElmTerm_virtual_0024,POINT (8.605843 49.1616908),[]
220.0,virtual terminal,ElmTerm_virtual_0002,POINT (9.2692195 48.917123),[]
220.0,virtual terminal,ElmTerm_virtual_0026,POINT (9.2370128 48.9221859),[]
220.0,virtual terminal,ElmTerm_virtual_0028,POINT (9.206713000000001 48.9218334),[]
220.0,virtual terminal,ElmTerm_virtual_0029,POINT (9.2058418 48.9217454),[]
220.0,virtual terminal,ElmTerm_virtual_0030,POINT (9.2042725 48.924338),[]
220.0,floating end terminal,ElmTerm_0798,POINT (9.2057419 48.9239207),[]
220.0,virtual terminal,ElmTerm_virtual_0031,POINT (9.060580399999999 48.9085485),[]
220.0,virtual terminal,ElmTerm_virtual_0032,POINT (9.047101400000001 48.891837),[]
380.0,virtual terminal,ElmTerm_virtual_0033,POINT (9.075749099999999 48.9457539),[]
380.0,virtual terminal,ElmTerm_virtual_0034,POINT (7.7522233 48.1040774),[]
380.0,virtual terminal,ElmTerm_virtual_0035,POINT (8.4414088 49.2459253),[]
380.0,tieline terminal,ElmTerm_tieline_0001,POINT (9.8119158 47.1447222),[]
380.0,virtual terminal,ElmTerm_virtual_0036,POINT (9.810249499999999 47.6554385),[]
380.0,virtual terminal,ElmTerm_virtual_0037,POINT (8.0396091 47.5609839),[]
380.0,virtual terminal,ElmTerm_virtual_0038,POINT (8.0350968 47.5606405),['ElmTr2_0124']
380.0,virtual terminal,ElmTerm_virtual_0040,POINT (7.7488041 47.6284232),[]
380.0,tieline terminal,ElmTerm_tieline_0003,POINT (7.7529392 47.540561),[]
380.0,virtual terminal,ElmTerm_virtual_0041,POINT (7.9663026 47.594675),[]
220.0,virtual terminal,ElmTerm_virtual_0042,POINT (7.950278 47.5916739),[]
220.0,virtual terminal,ElmTerm_virtual_0043,POINT (7.9524142 47.5957386),[]
380.0,virtual terminal,ElmTerm_virtual_0044,POINT (7.9640998 47.5968971),[]
380.0,virtual terminal,ElmTerm_virtual_0045,POINT (7.9594533 47.6012865),[]
380.0,virtual terminal,ElmTerm_virtual_0046,POINT (7.9666633 47.5950182),[]
220.0,virtual terminal,ElmTerm_virtual_0049,POINT (8.982881000000001 47.8375894),[]
220.0,virtual terminal,ElmTerm_virtual_0050,POINT (8.9826642 47.8388681),[]
380.0,virtual terminal,ElmTerm_virtual_0051,POINT (7.9953862 47.5783675),['ElmTr2_0125']
380.0,virtual terminal,ElmTerm_virtual_0052,POINT (8.035414899999999 47.561071),[]
380.0,virtual terminal,ElmTerm_virtual_0053,POINT (8.039129900000001 47.5611523),[]
220.0,virtual terminal,ElmTerm_virtual_0054,POINT (9.7529041 47.6480811),[]
220.0,tieline terminal,ElmTerm_tieline_0004,POINT (9.7139115 47.4318032),[]
380.0,floating end terminal,ElmTerm_0799,POINT (9.207262699999999 49.1777563),[]
380.0,virtual terminal,ElmTerm_virtual_0048,POINT (9.143243999999999 49.1499291),[]
